fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.5366953
0.025,0.025,0.5321808
0.125,0.025,0.5233921
0.125,0.1,0.52074707
0.15,0.1,0.5204803
0.15,0.125,0.52041113
0.175,0.125,0.519065
0.175,0.175,0.5177881
0.225,0.175,0.5176318
0.225,0.2,0.5174114
0.275,0.2,0.5170451
0.275,0.275,0.51619494
0.35,0.275,0.5157454
0.35,0.3,0.51558256
0.375,0.3,0.5143524
0.375,0.325,0.51387626
0.45,0.325,0.51207745
0.45,0.375,0.51088405
0.5,0.375,0.5077468
0.5,0.4,0.50615215
0.525,0.4,0.50606424
0.525,0.45,0.50113714
0.55,0.45,0.5010482
0.55,0.5,0.50003856
0.575,0.5,0.5000262
0.575,0.525,0.49991605
0.65,0.525,0.49899948
0.65,0.55,0.49871692
0.7,0.55,0.4982049
0.7,0.575,0.49771246
0.725,0.575,0.49658474
0.725,0.6,0.4949814
0.75,0.6,0.49430102
0.75,0.675,0.49149513
0.775,0.675,0.49079624
0.775,0.875,0.47450182
0.8,0.875,0.47228783
0.8,0.9,0.46624285
0.825,0.9,0.46428195
0.825,0.95,0.45986104
0.85,0.95,0.4548387
0.85,1.0,0.4527067
1.0,1.0,0.36279964
