target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,role,source_run_id,ql_rev,original_acc_train,original_acc_test,original_gap,batch_size,epochs,extra_feats,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p05,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
ARCH_eff_control_HQNN_s43,loss,0.5445,0.48725,0.601525,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,hqnn,hqnn,1622,43,43,43,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.395,0.255,0.14,16,100,False,eff_control|hqnn,,0.5675,0.135,0.88,0.745,-0.021625269204378128,5,0.06,0.04,10.0,True,0.09,0.095,20.0,True
ARCH_eff_control_HQNN_s44,loss,0.55925,0.501324375,0.615050625,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,hqnn,hqnn,1622,44,43,44,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.395,0.255,0.14,16,100,False,eff_control|hqnn,,0.565,0.13,0.82,0.69,-0.007490185089409351,5,0.055,0.045,10.0,True,0.095,0.1,20.0,True
ARCH_eff_control_HQNN_s45,loss,0.54095,0.483925,0.59855125,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_HQNN_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,hqnn,hqnn,1622,45,43,45,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.395,0.255,0.14,16,100,False,eff_control|hqnn,,0.535,0.06999999999999995,0.865,0.795,-0.014685045927762985,5,0.05,0.04,10.0,True,0.085,0.1,20.0,True
ARCH_eff_control_QCNN_s43,loss,0.509525,0.45374875,0.566225625,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qcnn,qcnn,1622,43,43,43,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.88,0.81,0.0699999999999999,16,100,False,eff_control|qcnn,,0.5225,0.044999999999999984,0.205,0.16,-0.04168740287423134,5,0.075,0.045,10.0,True,0.12,0.095,20.0,True
ARCH_eff_control_QCNN_s44,loss,0.5155000000000001,0.45799375000000003,0.5729006249999999,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qcnn,qcnn,1622,44,43,44,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.88,0.81,0.0699999999999999,16,100,False,eff_control|qcnn,,0.5125,0.025000000000000022,0.27,0.245,-0.026294615119695663,5,0.125,0.05,10.0,True,0.16,0.1,20.0,True
ARCH_eff_control_QCNN_s45,loss,0.51665,0.460173125,0.5725756249999999,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QCNN_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qcnn,qcnn,1622,45,43,45,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.88,0.81,0.0699999999999999,16,100,False,eff_control|qcnn,,0.47750000000000004,-0.04500000000000004,0.415,0.46,-0.042742568999528885,5,0.11,0.05,10.0,True,0.15,0.09,20.0,True
ARCH_eff_control_QNN_s43,loss,0.55235,0.4943,0.609025,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qnn,qnn,1622,43,43,43,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.865,0.71,0.155,16,100,False,eff_control|qnn,,0.5675,0.135,0.435,0.3,-0.5671700239181519,5,0.13,0.05,10.0,True,0.165,0.095,20.0,True
ARCH_eff_control_QNN_s44,loss,0.49755000000000005,0.442098125,0.5533262499999999,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qnn,qnn,1622,44,43,44,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.865,0.71,0.155,16,100,False,eff_control|qnn,,0.45999999999999996,-0.07999999999999996,0.505,0.585,-0.8067807555198669,5,0.02,0.04,10.0,True,0.085,0.1,20.0,True
ARCH_eff_control_QNN_s45,loss,0.5413749999999999,0.48494875,0.5988525,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_QNN_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.865,0.71,0.155,16,100,False,eff_control|qnn,,0.5449999999999999,0.08999999999999997,0.615,0.525,-0.8045204877853394,5,0.05,0.05,10.0,True,0.14,0.095,20.0,True
ARCH_eff_control_mlp_qnn_s43,loss,0.5643124999999999,0.5083496875,0.61955,10000,200,200,0.005,0=member,reviewer_runs/architecture_control/ARCH_eff_control_mlp_qnn_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,architecture_control,mnist,mlp_qnn,mlp_qnn,1622,43,43,43,pv+stats,0.01,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_control,1622,False,0.865,0.71,0.155,16,100,False,eff_control|mlp_qnn,,0.5525,0.10499999999999998,0.825,0.72,-0.4721219837665558,5,0.05,0.05,10.0,True,0.09,0.095,20.0,True
