fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.84669304
0.025,0.075,0.71504724
0.05,0.075,0.698065
0.05,0.1,0.6714022
0.1,0.1,0.64512026
0.1,0.15,0.5783112
0.15,0.15,0.5683278
0.15,0.2,0.5680443
0.2,0.2,0.5617683
0.2,0.225,0.5610026
0.35,0.225,0.54501194
0.35,0.35,0.5126299
0.375,0.35,0.5108285
0.375,0.45,0.50348073
0.45,0.45,0.48595417
0.45,0.475,0.4828893
0.475,0.475,0.48098665
0.475,0.625,0.46616527
0.525,0.625,0.4617403
0.525,0.65,0.4613448
0.55,0.65,0.46071023
0.55,0.675,0.45962715
0.575,0.675,0.4590827
0.575,0.7,0.45735818
0.675,0.7,0.44614577
0.675,0.725,0.4416573
0.7,0.725,0.44164714
0.7,0.85,0.41351444
0.725,0.85,0.40971342
0.725,0.875,0.402737
0.75,0.875,0.40146586
0.75,0.9,0.3992462
0.825,0.9,0.37202883
0.825,0.925,0.3575977
0.85,0.925,0.3419133
0.85,0.95,0.32585144
0.925,0.95,0.23644471
0.925,1.0,0.22749138
1.0,1.0,0.026335655
