fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7151923
0.025,0.025,0.71036196
0.025,0.075,0.6838283
0.05,0.075,0.68041575
0.05,0.15,0.66656154
0.075,0.15,0.6529398
0.075,0.175,0.6374186
0.1,0.175,0.63319534
0.1,0.2,0.62295854
0.125,0.2,0.62111366
0.125,0.275,0.6150223
0.15,0.275,0.61406106
0.15,0.3,0.613534
0.175,0.3,0.612285
0.175,0.35,0.6107317
0.225,0.35,0.6081645
0.225,0.4,0.6070274
0.25,0.4,0.6059187
0.25,0.425,0.605869
0.275,0.425,0.6009901
0.275,0.475,0.5886183
0.3,0.475,0.58079517
0.3,0.5,0.5806524
0.325,0.5,0.5793595
0.325,0.525,0.5781902
0.35,0.525,0.57768047
0.35,0.575,0.57720816
0.375,0.575,0.5770932
0.375,0.6,0.57399124
0.425,0.6,0.5718837
0.425,0.625,0.56237394
0.575,0.625,0.54464906
0.575,0.675,0.53733903
0.6,0.675,0.5361906
0.6,0.7,0.5350044
0.675,0.7,0.5223845
0.675,0.775,0.49006876
0.725,0.775,0.4686246
0.725,0.875,0.43523726
0.75,0.875,0.43005025
0.75,0.925,0.4059606
0.775,0.925,0.39300278
0.775,0.975,0.3057538
1.0,0.975,0.1614767
1.0,1.0,0.13543998
