fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.82086074
0.025,0.025,0.8076011
0.225,0.025,0.71897495
0.225,0.075,0.6968404
0.25,0.075,0.69507986
0.25,0.2,0.62695026
0.3,0.2,0.62413824
0.3,0.225,0.6203669
0.375,0.225,0.59035224
0.375,0.25,0.5857757
0.4,0.25,0.5794885
0.4,0.275,0.5764561
0.425,0.275,0.56076777
0.425,0.325,0.52772367
0.45,0.325,0.5269664
0.45,0.35,0.5058584
0.475,0.35,0.49638647
0.475,0.375,0.49465048
0.525,0.375,0.47836915
0.525,0.45,0.4700319
0.6,0.45,0.4582575
0.6,0.675,0.4367915
0.625,0.675,0.43272716
0.625,0.7,0.43030837
0.675,0.7,0.42739388
0.675,0.725,0.4253562
0.7,0.725,0.424949
0.7,0.75,0.4211636
0.725,0.75,0.41697115
0.725,0.775,0.41630048
0.775,0.775,0.4127575
0.775,0.85,0.39752442
0.825,0.85,0.37964162
0.825,0.925,0.36517057
0.875,0.925,0.363351
0.875,1.0,0.3238243
1.0,1.0,0.016787875
