source_file,status,error,target_id,train_acc,train_loss,valid_acc,valid_loss,test_acc,test_loss,gap,membership_convention,n_member,n_nonmember,fpr_resolution,meta_target_id,meta_experiment,meta_dataset,meta_architecture,meta_model_type,meta_run_id,meta_model_seed,meta_data_seed,meta_seed,meta_membership_convention,meta_attack_feature_mode,meta_learning_rate,meta_n_wires,meta_depth,meta_ql_ent,meta_ql_op,meta_fm_kind,meta_reps,meta_fm_ent,meta_fm_op,meta_pad_mode,meta_vector_train,meta_vector_valid,meta_vector_test,resource_trainable_parameters_total,resource_trainable_parameters_quantum,resource_trainable_parameters_classical,resource_trainable_parameters_unclassified,resource_quantum_gate_count_total,resource_quantum_one_qubit_gates,resource_quantum_two_qubit_gates,resource_gate_count_scope,resource_qcnn_frontend_included,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s44/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d6_s44,0.9449999928474426,0.1861952841281891,0.8349999785423279,0.4265429675579071,0.7950000166893005,0.5705825686454773,0.1499999761581421,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d6_s44,multiseed_factorial,mnist,qnn,qnn,1790,44,43,44,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d6,44,MNIST,QNN,1790,eff_su2,6,5,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,44,43,eff_su2_r5_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r5_d6_s45/target_attack_data.pt,ok,,MNIST_QNN_eff_su2_r5_d6_s45,0.9649999737739563,0.1800483763217926,0.8450000286102295,0.3587324917316437,0.7749999761581421,0.6164577007293701,0.1899999976158142,0=member,200,200,0.005,MNIST_QNN_eff_su2_r5_d6_s45,multiseed_factorial,mnist,qnn,qnn,1790,45,43,45,0=member,pv+stats,0.05,6,6,linear,crz,eff_su2,5,linear,cx,wrap,200,200,200,166,138,28,0,223,168,55,fixed encoder plus downstream variational circuit,,multiseed_factorial,eff_su2_r5_d6,45,MNIST,QNN,1790,eff_su2,6,5,wrap,linear,cx,6,linear,crz,False,0.935,0.75,0.185,200,200,200,16,100,False,45,43,eff_su2_r5_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s43/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d2_s43,0.8050000071525574,0.4225524961948395,0.7400000095367432,0.5898882150650024,0.7799999713897705,0.6178476810455322,0.025000035762786865,0=member,200,200,0.005,MNIST_QNN_z_r1_d2_s43,multiseed_factorial,mnist,qnn,qnn,182,43,43,43,0=member,pv+stats,0.05,6,2,linear,crz,z,1,none,none,wrap,200,200,200,74,46,28,0,82,72,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,43,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,43,43,z_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s44/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d2_s44,0.8050000071525574,0.4271739721298218,0.7400000095367432,0.6110429167747498,0.7549999952316284,0.6467506289482117,0.050000011920928955,0=member,200,200,0.005,MNIST_QNN_z_r1_d2_s44,multiseed_factorial,mnist,qnn,qnn,182,44,43,44,0=member,pv+stats,0.05,6,2,linear,crz,z,1,none,none,wrap,200,200,200,74,46,28,0,82,72,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,44,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,44,43,z_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d2_s45/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d2_s45,0.8450000286102295,0.3908338248729706,0.7450000047683716,0.6286481022834778,0.7400000095367432,0.6675752401351929,0.10500001907348633,0=member,200,200,0.005,MNIST_QNN_z_r1_d2_s45,multiseed_factorial,mnist,qnn,qnn,182,45,43,45,0=member,pv+stats,0.05,6,2,linear,crz,z,1,none,none,wrap,200,200,200,74,46,28,0,82,72,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d2,45,MNIST,QNN,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,45,43,z_r1_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s43/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d6_s43,0.9049999713897705,0.2671602964401245,0.7799999713897705,0.5294627547264099,0.7200000286102295,0.6967173218727112,0.18499994277954102,0=member,200,200,0.005,MNIST_QNN_z_r1_d6_s43,multiseed_factorial,mnist,qnn,qnn,206,43,43,43,0=member,pv+stats,0.05,6,6,linear,crz,z,1,none,none,wrap,200,200,200,166,138,28,0,174,144,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,43,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,43,43,z_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s44/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d6_s44,0.9049999713897705,0.2799277603626251,0.7649999856948853,0.5561400055885315,0.7450000047683716,0.5946893095970154,0.15999996662139893,0=member,200,200,0.005,MNIST_QNN_z_r1_d6_s44,multiseed_factorial,mnist,qnn,qnn,206,44,43,44,0=member,pv+stats,0.05,6,6,linear,crz,z,1,none,none,wrap,200,200,200,166,138,28,0,174,144,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,44,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,44,43,z_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r1_d6_s45/target_attack_data.pt,ok,,MNIST_QNN_z_r1_d6_s45,0.925000011920929,0.21081849932670593,0.800000011920929,0.5699999332427979,0.7699999809265137,0.6350293755531311,0.15500003099441528,0=member,200,200,0.005,MNIST_QNN_z_r1_d6_s45,multiseed_factorial,mnist,qnn,qnn,206,45,43,45,0=member,pv+stats,0.05,6,6,linear,crz,z,1,none,none,wrap,200,200,200,166,138,28,0,174,144,30,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r1_d6,45,MNIST,QNN,206,z,6,1,wrap,linear,,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False,45,43,z_r1_d6,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s43/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d2_s43,0.6449999809265137,0.8422574400901794,0.5199999809265137,1.1792800426483154,0.45500001311302185,1.2746033668518066,0.18999996781349182,0=member,200,200,0.005,MNIST_QNN_z_r5_d2_s43,multiseed_factorial,mnist,qnn,qnn,326,43,43,43,0=member,pv+stats,0.05,6,2,linear,crz,z,5,none,none,wrap,200,200,200,74,46,28,0,226,216,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,43,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,43,43,z_r5_d2,0.05
reviewer_runs/multiseed_factorial/MNIST_QNN_z_r5_d2_s44/target_attack_data.pt,ok,,MNIST_QNN_z_r5_d2_s44,0.6200000047683716,0.9179276823997498,0.5049999952316284,1.1623417139053345,0.41999998688697815,1.427926778793335,0.20000001788139343,0=member,200,200,0.005,MNIST_QNN_z_r5_d2_s44,multiseed_factorial,mnist,qnn,qnn,326,44,43,44,0=member,pv+stats,0.05,6,2,linear,crz,z,5,none,none,wrap,200,200,200,74,46,28,0,226,216,10,fixed encoder plus downstream variational circuit,,multiseed_factorial,z_r5_d2,44,MNIST,QNN,326,z,6,5,wrap,linear,,2,linear,crz,False,0.59,0.365,0.2249999999999999,200,200,200,16,100,False,44,43,z_r5_d2,0.05
