target_id,structural_cell_id,fm_kind,reps,depth,model_seed,mode,shots,attack,n_simulator_seeds,mean_auc,sd_simulator
MNIST_QNN_eff_su2_r5_d2_p7_s143,eff_su2_r5_d2,eff_su2,5,2,143,noisy_shot,128,global_true_class_log_odds,10,0.53062875,0.011934486385750639
MNIST_QNN_eff_su2_r5_d2_p7_s143,eff_su2_r5_d2,eff_su2,5,2,143,noisy_shot,128,lira_offline,10,0.5057242000000001,0.014689059729381372
MNIST_QNN_eff_su2_r5_d2_p7_s143,eff_su2_r5_d2,eff_su2,5,2,143,noisy_shot,128,lira_offline_fixed_variance,10,0.5012283999999999,0.013947208021679458
MNIST_QNN_eff_su2_r5_d2_p7_s143,eff_su2_r5_d2,eff_su2,5,2,143,noisy_shot,128,lira_online,10,0.4948225,0.01112431521238249
MNIST_QNN_eff_su2_r5_d2_p7_s143,eff_su2_r5_d2,eff_su2,5,2,143,noisy_shot,128,lira_online_fixed_variance,10,0.49341749999999995,0.012058054534901823
MNIST_QNN_eff_su2_r5_d2_p7_s144,eff_su2_r5_d2,eff_su2,5,2,144,noisy_shot,128,global_true_class_log_odds,10,0.53125985,0.00911335116753313
MNIST_QNN_eff_su2_r5_d2_p7_s144,eff_su2_r5_d2,eff_su2,5,2,144,noisy_shot,128,lira_offline,10,0.4948862,0.013946891408323062
MNIST_QNN_eff_su2_r5_d2_p7_s144,eff_su2_r5_d2,eff_su2,5,2,144,noisy_shot,128,lira_offline_fixed_variance,10,0.49369189999999996,0.013033567052039131
MNIST_QNN_eff_su2_r5_d2_p7_s144,eff_su2_r5_d2,eff_su2,5,2,144,noisy_shot,128,lira_online,10,0.5022743999999999,0.014127942110111659
MNIST_QNN_eff_su2_r5_d2_p7_s144,eff_su2_r5_d2,eff_su2,5,2,144,noisy_shot,128,lira_online_fixed_variance,10,0.5000685,0.008656557966844204
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,eff_su2,5,2,145,noisy_shot,128,global_true_class_log_odds,10,0.5281950500000001,0.008462455899934353
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,eff_su2,5,2,145,noisy_shot,128,lira_offline,10,0.51078,0.01171113521397479
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,eff_su2,5,2,145,noisy_shot,128,lira_offline_fixed_variance,10,0.5090781,0.012235334136562576
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,eff_su2,5,2,145,noisy_shot,128,lira_online,10,0.49793260000000006,0.011591717552728018
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,eff_su2,5,2,145,noisy_shot,128,lira_online_fixed_variance,10,0.5007759,0.012779847168708874
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,z,1,6,143,noisy_shot,128,global_true_class_log_odds,10,0.5154883,0.005776266653778668
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,z,1,6,143,noisy_shot,128,lira_offline,10,0.5020577,0.01155458203532742
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,z,1,6,143,noisy_shot,128,lira_offline_fixed_variance,10,0.49982599999999994,0.013407805363543537
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,z,1,6,143,noisy_shot,128,lira_online,10,0.511657,0.013861169326976392
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,z,1,6,143,noisy_shot,128,lira_online_fixed_variance,10,0.5086402999999999,0.014677598653503703
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,z,1,6,144,noisy_shot,128,global_true_class_log_odds,10,0.52881815,0.006331777418747095
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,z,1,6,144,noisy_shot,128,lira_offline,10,0.509227,0.01090677935964604
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,z,1,6,144,noisy_shot,128,lira_offline_fixed_variance,10,0.5079205,0.014653033529310947
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,z,1,6,144,noisy_shot,128,lira_online,10,0.5090722,0.013476786707355573
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,z,1,6,144,noisy_shot,128,lira_online_fixed_variance,10,0.5137007,0.009410434504669114
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,noisy_shot,128,global_true_class_log_odds,10,0.5176858,0.007769136914741567
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,noisy_shot,128,lira_offline,10,0.4928764,0.011162139970055504
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,noisy_shot,128,lira_offline_fixed_variance,10,0.49134979999999995,0.009132369630422708
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,noisy_shot,128,lira_online,10,0.5101972,0.010113772466844966
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,z,1,6,145,noisy_shot,128,lira_online_fixed_variance,10,0.5173833,0.007958609329245627
MNIST_QNN_zz_r1_d6_p7_s143,zz_r1_d6,zz,1,6,143,noisy_shot,128,global_true_class_log_odds,10,0.53752165,0.006240107068392321
MNIST_QNN_zz_r1_d6_p7_s143,zz_r1_d6,zz,1,6,143,noisy_shot,128,lira_offline,10,0.50367,0.010646379008846173
MNIST_QNN_zz_r1_d6_p7_s143,zz_r1_d6,zz,1,6,143,noisy_shot,128,lira_offline_fixed_variance,10,0.5030098,0.013260544381317414
MNIST_QNN_zz_r1_d6_p7_s143,zz_r1_d6,zz,1,6,143,noisy_shot,128,lira_online,10,0.5060818,0.016181318019384126
MNIST_QNN_zz_r1_d6_p7_s143,zz_r1_d6,zz,1,6,143,noisy_shot,128,lira_online_fixed_variance,10,0.5060969,0.018999300592097867
MNIST_QNN_zz_r1_d6_p7_s144,zz_r1_d6,zz,1,6,144,noisy_shot,128,global_true_class_log_odds,10,0.51522105,0.007002054779570853
MNIST_QNN_zz_r1_d6_p7_s144,zz_r1_d6,zz,1,6,144,noisy_shot,128,lira_offline,10,0.4946121,0.010843113087731466
MNIST_QNN_zz_r1_d6_p7_s144,zz_r1_d6,zz,1,6,144,noisy_shot,128,lira_offline_fixed_variance,10,0.49584019999999995,0.013315102326139135
MNIST_QNN_zz_r1_d6_p7_s144,zz_r1_d6,zz,1,6,144,noisy_shot,128,lira_online,10,0.5120753,0.012156811671285824
MNIST_QNN_zz_r1_d6_p7_s144,zz_r1_d6,zz,1,6,144,noisy_shot,128,lira_online_fixed_variance,10,0.5215414,0.011192578048768644
MNIST_QNN_zz_r1_d6_p7_s145,zz_r1_d6,zz,1,6,145,noisy_shot,128,global_true_class_log_odds,10,0.5440294999999999,0.008788047204394543
MNIST_QNN_zz_r1_d6_p7_s145,zz_r1_d6,zz,1,6,145,noisy_shot,128,lira_offline,10,0.5069693,0.012648365920369138
MNIST_QNN_zz_r1_d6_p7_s145,zz_r1_d6,zz,1,6,145,noisy_shot,128,lira_offline_fixed_variance,10,0.5052432,0.013993826502346596
MNIST_QNN_zz_r1_d6_p7_s145,zz_r1_d6,zz,1,6,145,noisy_shot,128,lira_online,10,0.5163602,0.008733325760810911
MNIST_QNN_zz_r1_d6_p7_s145,zz_r1_d6,zz,1,6,145,noisy_shot,128,lira_online_fixed_variance,10,0.5135105999999999,0.008916186257463299
MNIST_QNN_zz_r5_d6_p7_s143,zz_r5_d6,zz,5,6,143,noisy_shot,128,global_true_class_log_odds,10,0.5521538,0.0067780578798223735
MNIST_QNN_zz_r5_d6_p7_s143,zz_r5_d6,zz,5,6,143,noisy_shot,128,lira_offline,10,0.5059741,0.009645534919214088
MNIST_QNN_zz_r5_d6_p7_s143,zz_r5_d6,zz,5,6,143,noisy_shot,128,lira_offline_fixed_variance,10,0.5051565,0.010546785631967091
MNIST_QNN_zz_r5_d6_p7_s143,zz_r5_d6,zz,5,6,143,noisy_shot,128,lira_online,10,0.5259719,0.009966117158207137
MNIST_QNN_zz_r5_d6_p7_s143,zz_r5_d6,zz,5,6,143,noisy_shot,128,lira_online_fixed_variance,10,0.5316831000000001,0.01013336446760569
MNIST_QNN_zz_r5_d6_p7_s144,zz_r5_d6,zz,5,6,144,noisy_shot,128,global_true_class_log_odds,10,0.5622079,0.008468398122825039
MNIST_QNN_zz_r5_d6_p7_s144,zz_r5_d6,zz,5,6,144,noisy_shot,128,lira_offline,10,0.49910129999999997,0.009583544241737175
MNIST_QNN_zz_r5_d6_p7_s144,zz_r5_d6,zz,5,6,144,noisy_shot,128,lira_offline_fixed_variance,10,0.49806919999999993,0.016249005869078032
MNIST_QNN_zz_r5_d6_p7_s144,zz_r5_d6,zz,5,6,144,noisy_shot,128,lira_online,10,0.5220153,0.013401512982993139
MNIST_QNN_zz_r5_d6_p7_s144,zz_r5_d6,zz,5,6,144,noisy_shot,128,lira_online_fixed_variance,10,0.5311746,0.013732039204397585
MNIST_QNN_zz_r5_d6_p7_s145,zz_r5_d6,zz,5,6,145,noisy_shot,128,global_true_class_log_odds,10,0.5436652,0.006158894684383961
MNIST_QNN_zz_r5_d6_p7_s145,zz_r5_d6,zz,5,6,145,noisy_shot,128,lira_offline,10,0.4982868,0.013847067461700656
MNIST_QNN_zz_r5_d6_p7_s145,zz_r5_d6,zz,5,6,145,noisy_shot,128,lira_offline_fixed_variance,10,0.49644279999999996,0.014664921826514384
MNIST_QNN_zz_r5_d6_p7_s145,zz_r5_d6,zz,5,6,145,noisy_shot,128,lira_online,10,0.5187831,0.01348073897949712
MNIST_QNN_zz_r5_d6_p7_s145,zz_r5_d6,zz,5,6,145,noisy_shot,128,lira_online_fixed_variance,10,0.5257653,0.010927912325274644
