fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.8235174
0.05,0.025,0.8069716
0.05,0.15,0.72184837
0.175,0.15,0.6747861
0.175,0.25,0.6209984
0.25,0.25,0.6087995
0.25,0.275,0.5958219
0.3,0.275,0.5730604
0.3,0.475,0.5278241
0.4,0.475,0.5155298
0.4,0.5,0.50693184
0.5,0.5,0.4932491
0.5,0.525,0.49260923
0.55,0.525,0.49057582
0.55,0.55,0.49051288
0.575,0.55,0.4893844
0.575,0.575,0.4889899
0.625,0.575,0.48834053
0.625,0.6,0.48813584
0.65,0.6,0.48775262
0.65,0.625,0.4871619
0.675,0.625,0.4870965
0.675,0.7,0.4818492
0.75,0.7,0.45820647
0.75,0.725,0.45690644
0.775,0.725,0.4500334
0.775,0.825,0.4334927
0.8,0.825,0.42420423
0.8,0.925,0.395656
0.85,0.925,0.38247716
0.85,0.95,0.37984318
0.875,0.95,0.37283087
0.875,1.0,0.2791107
1.0,1.0,0.12269118
