scheme,heldout_scope,heldout_id,mode,shots,n_replicates,intercept_median,intercept_q05,intercept_q95,slope_median,slope_q05,slope_q95,scale_median,scale_q05,scale_q95,train_r_squared_median,train_r_squared_q05,train_r_squared_q95,test_r_squared_median,test_r_squared_q05,test_r_squared_q95,test_rmse_median,test_rmse_q05,test_rmse_q95,test_coverage_90pct_median,test_coverage_90pct_q05,test_coverage_90pct_q95,test_residual_skew_median,test_residual_skew_q05,test_residual_skew_q95,test_residual_excess_kurtosis_median,test_residual_excess_kurtosis_q05,test_residual_excess_kurtosis_q95
leave_cell_out,cell,eff_su2_r1_d2,noisy_shot,1024,5,-0.07367175572113416,-0.08481606486427237,-0.06078000043963608,0.7453132636019896,0.7401643636359699,0.7459008210520188,0.7832543948507962,0.7690139005540485,0.7917172372102168,0.8855644555750936,0.8791343030689474,0.8892714046929185,0.8201720625975408,0.757202439820078,0.8497327040554306,0.6451921353964633,0.57582556032851,0.6662649868742891,0.9462962962962963,0.9329487179487179,0.9640000000000001,0.1212725569124233,-0.2349949961408057,0.1522550410962114,0.7894811572952651,0.41135704657016897,1.7762185192083826
leave_cell_out,cell,eff_su2_r1_d2,noisy_shot,128,5,-0.23507011931452082,-0.2448328278455098,-0.22389702056935717,0.7435891192841665,0.7411799633296758,0.7456625707188209,1.4999869586824808,1.488988589240737,1.5086923709631264,0.6757448631982331,0.6650644579813941,0.6860174498787334,0.4090430200401167,0.3144020453065817,0.5037875495658141,1.5608146047311664,1.3773695648880062,1.6888190031412915,0.8866666666666667,0.8480128205128206,0.928074074074074,-0.10606871472821575,-0.25033370315687503,0.019596470323534287,1.3289462083924386,0.5533300601829325,2.164882960209469
leave_cell_out,cell,eff_su2_r1_d2,noisy_shot,512,5,-0.09132393906676417,-0.10967297996638599,-0.08468679765879014,0.744110167672469,0.7410597994277662,0.7474650009076483,0.9240541097732763,0.9105341745281017,0.9316802670881336,0.8478895886447634,0.8388346987387358,0.8527174168548357,0.7307819960791517,0.6221897883135178,0.7709979144907922,0.8339906005442982,0.7615568463797823,0.8894951681263682,0.91875,0.8899430199430199,0.9436666666666667,-0.04514193310288976,-0.22117817853153296,0.16342727674638877,0.7095787159754976,0.31503924028880254,1.1011923150109852
leave_cell_out,cell,eff_su2_r5_d2,noisy_shot,1024,5,-0.05869920654772631,-0.06955537429794564,-0.04430402484438026,0.7368055734542067,0.7305745806765463,0.7398929511538064,0.7581305296234498,0.7412939456706945,0.7660710346620824,0.8774655645844833,0.8726188779377478,0.8844007473803487,0.8666948808487112,0.8433057664093526,0.9005375675312837,0.7693821590729147,0.7146308742978827,0.7919211632681837,0.9,0.8821153846153846,0.914,0.046042054941839806,-0.14943300309861246,0.0770556486644457,0.20911178262419572,0.11906984735901674,0.25368876516836164
leave_cell_out,cell,eff_su2_r5_d2,noisy_shot,128,5,-0.20950274611370712,-0.22342868285840606,-0.19595162784443165,0.7354338398879171,0.7318097002726773,0.7402564837580368,1.4272264187920756,1.4076978925225347,1.4421421000060668,0.6718901282866254,0.6562029064090547,0.6822509427376229,0.5018199487470368,0.4866120925036968,0.6199346626276724,1.8203772871881065,1.7479489461969666,1.8669564396405194,0.8133333333333334,0.80125,0.8271111111111111,-0.03662480061983545,-0.31796614503313997,0.03818258610999892,0.34046853007026723,-0.033363590705813004,0.6102320155952818
leave_cell_out,cell,eff_su2_r5_d2,noisy_shot,512,5,-0.08449502847226198,-0.09854289393434941,-0.07318415814420397,0.7381689369219551,0.7337124503067967,0.7435684570486512,0.8904824764468106,0.8714316748716394,0.9012653941910808,0.8397183731341847,0.8314243186484278,0.8485927662934155,0.7809271029510435,0.7595360459009455,0.850137649477164,0.9669637071081627,0.9457783776499208,1.0125118298707165,0.8683333333333333,0.8414814814814815,0.8794166666666666,-0.0007353439106883497,-0.14507841913058706,0.11306225317217747,0.1815533195014618,0.12906718568128675,0.6612297705857046
leave_cell_out,cell,z_r1_d6,noisy_shot,1024,5,-0.08917794762467424,-0.09462950108259667,-0.07587810428337068,0.7189489961312492,0.7166080233947372,0.7219274503350331,0.7611456779570511,0.7444885324106519,0.7727140338647007,0.8665814462848315,0.8598251712980077,0.8718719977929906,0.8937815065438218,0.875089434574122,0.9067086445045393,0.7725248797915949,0.6364298268030216,0.8627461360224863,0.895,0.8523076923076923,0.9518518518518518,0.3181733962335953,0.29273691596319457,0.4906913943331278,0.010786651200724418,-0.08698061085410771,0.3375231034620945
leave_cell_out,cell,z_r1_d6,noisy_shot,128,5,-0.2892897138017584,-0.289776678417237,-0.27354357738757235,0.7165140153951937,0.7143526566177933,0.7210675658914274,1.572978219695566,1.5569976099425822,1.5918354712028098,0.60066528587358,0.5890557160113112,0.6087074236471605,0.7520674297627898,0.6793804739257323,0.7917050500034764,1.2331638307622204,1.1734176861678072,1.3529534269121228,0.9474358974358974,0.933,0.9742222222222222,-0.06515340846650339,-0.0699558564317998,0.026631286223049885,0.39952801056201803,-0.14005452470672086,0.5704058209397252
leave_cell_out,cell,z_r1_d6,noisy_shot,512,5,-0.11874053596293266,-0.12643249451095978,-0.1056694534465372,0.7176243483032435,0.7160221862620453,0.7225588419427651,0.923305555421376,0.9067893111743239,0.9333413887554327,0.8154990686767566,0.8057729786319204,0.8220505555834953,0.8737020790048353,0.8375199831657351,0.8856036846099541,0.8694631633105453,0.7724404420983386,0.9653501823653106,0.925,0.8752564102564103,0.9497777777777778,0.21781781877871487,0.06335496815520197,0.25132489433509964,0.12119379155798082,-0.1699150537711252,0.3114710110501502
leave_cell_out,cell,zz_r1_d6,noisy_shot,1024,5,-0.05714605239161019,-0.07419775963997828,-0.05286583587565481,0.7589284107462438,0.7534901397656346,0.7631585412670666,0.7791619476272126,0.7644591933774381,0.7861245358829688,0.861284587545059,0.8582807900361785,0.8666519126088283,0.936308970216962,0.8966460768019656,0.941408438769955,0.6902105638326431,0.5710007755242967,0.7150476187716127,0.9462962962962963,0.9152307692307692,0.972,-0.06672430544614379,-0.36890516431680664,0.09747489020968757,-0.044601990713215134,-0.08833291751631203,0.6577047322648222
