scheme,mode,shots,simulator_seed,contrast,comparator_attack,reference_count,auc_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
leave_cell_out,noisy_shot,128,0,affine_minus_loss,loss_mia,16,0.01914355555555547,0.016,0.039333333333333324
leave_cell_out,noisy_shot,128,0,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.02155511111111108,0.007999999999999998,0.026666666666666658
leave_cell_out,noisy_shot,128,0,affine_minus_deconvolved_lira,deconvolved_lira,16,0.014694222222222164,0.009999999999999998,0.016666666666666663
leave_cell_out,noisy_shot,128,0,affine_minus_empirical_channel,empirical_channel_lira,16,-0.0026000000000000467,0.0006666666666666661,-0.003333333333333341
leave_cell_out,noisy_shot,128,0,affine_minus_noise_augmented,noise_augmented_lira,16,0.0017662222222221136,0.0006666666666666661,-0.0026666666666666783
leave_cell_out,noisy_shot,128,1,affine_minus_loss,loss_mia,16,-0.014476444444444403,0.011333333333333332,0.02466666666666667
leave_cell_out,noisy_shot,128,1,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.005496444444444526,0.017333333333333333,0.033999999999999996
leave_cell_out,noisy_shot,128,1,affine_minus_deconvolved_lira,deconvolved_lira,16,0.01626844444444442,0.018,0.033999999999999996
leave_cell_out,noisy_shot,128,1,affine_minus_empirical_channel,empirical_channel_lira,16,-0.0020671111111111307,-0.0013333333333333357,0.0040000000000000036
leave_cell_out,noisy_shot,128,1,affine_minus_noise_augmented,noise_augmented_lira,16,0.0012044444444444524,-0.0006666666666666696,0.010666666666666672
leave_cell_out,noisy_shot,128,2,affine_minus_loss,loss_mia,16,0.0006355555555555004,0.007333333333333332,0.04533333333333334
leave_cell_out,noisy_shot,128,2,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.002560888888888835,0.011999999999999999,0.028000000000000004
leave_cell_out,noisy_shot,128,2,affine_minus_deconvolved_lira,deconvolved_lira,16,0.005077333333333378,0.005999999999999998,0.03666666666666667
leave_cell_out,noisy_shot,128,2,affine_minus_empirical_channel,empirical_channel_lira,16,-0.0009017777777777791,0.0013333333333333322,0.0020000000000000018
leave_cell_out,noisy_shot,128,2,affine_minus_noise_augmented,noise_augmented_lira,16,0.003901777777777782,-0.003333333333333334,-0.0020000000000000018
leave_cell_out,noisy_shot,128,3,affine_minus_loss,loss_mia,16,0.015438222222222242,0.010666666666666666,0.05533333333333333
leave_cell_out,noisy_shot,128,3,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.0011222222222222467,0.009333333333333332,0.034
leave_cell_out,noisy_shot,128,3,affine_minus_deconvolved_lira,deconvolved_lira,16,0.015125777777777794,0.011333333333333332,0.03666666666666667
leave_cell_out,noisy_shot,128,3,affine_minus_empirical_channel,empirical_channel_lira,16,0.0009533333333334726,-0.006666666666666668,0.0013333333333333253
leave_cell_out,noisy_shot,128,3,affine_minus_noise_augmented,noise_augmented_lira,16,0.006220000000000003,-0.0013333333333333322,0.0026666666666666644
leave_cell_out,noisy_shot,128,4,affine_minus_loss,loss_mia,16,0.026383111111111024,0.014000000000000002,0.027333333333333334
leave_cell_out,noisy_shot,128,4,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.012770666666666708,0.016,0.021333333333333336
leave_cell_out,noisy_shot,128,4,affine_minus_deconvolved_lira,deconvolved_lira,16,0.010037777777777812,0.015333333333333334,0.014666666666666668
leave_cell_out,noisy_shot,128,4,affine_minus_empirical_channel,empirical_channel_lira,16,0.0002604444444443965,-0.004,-0.0020000000000000018
leave_cell_out,noisy_shot,128,4,affine_minus_noise_augmented,noise_augmented_lira,16,0.000548888888888821,-0.0033333333333333305,-0.005333333333333329
leave_cell_out,noisy_shot,128,5,affine_minus_loss,loss_mia,16,0.012520222222222266,0.007999999999999998,0.035333333333333335
leave_cell_out,noisy_shot,128,5,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.011394666666666664,0.005999999999999998,0.02266666666666667
leave_cell_out,noisy_shot,128,5,affine_minus_deconvolved_lira,deconvolved_lira,16,0.015968444444444452,0.007333333333333332,0.022
leave_cell_out,noisy_shot,128,5,affine_minus_empirical_channel,empirical_channel_lira,16,-0.0016911111111109767,-0.0006666666666666661,-0.0020000000000000018
leave_cell_out,noisy_shot,128,5,affine_minus_noise_augmented,noise_augmented_lira,16,0.003723555555555591,-0.003333333333333334,0.006666666666666668
leave_cell_out,noisy_shot,128,6,affine_minus_loss,loss_mia,16,0.017353555555555622,0.014666666666666668,0.034666666666666665
leave_cell_out,noisy_shot,128,6,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.00438666666666665,0.0013333333333333357,0.0020000000000000018
leave_cell_out,noisy_shot,128,6,affine_minus_deconvolved_lira,deconvolved_lira,16,0.006044888888888877,-0.0013333333333333322,0.003333333333333327
