scope,scope_id,scheme,mode,shots,attack,reference_count,nominal_fpr,n_replicates,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,affine_channel_lira,16,0.01,10,0.01,0.004833333333333334,0.020666666666666653,0.01,0.004833333333333334,0.01733333333333332
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,affine_channel_lira,16,0.05,10,0.051666666666666666,0.043000000000000003,0.06183333333333333,0.04833333333333334,0.03666666666666667,0.06733333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,deconvolved_lira,16,0.01,10,0.008333333333333333,0.004833333333333334,0.016666666666666666,0.0033333333333333335,0.0,0.008499999999999997
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,deconvolved_lira,16,0.05,10,0.04833333333333334,0.0315,0.07033333333333333,0.04666666666666667,0.03816666666666667,0.067
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,empirical_channel_lira,16,0.01,10,0.011666666666666667,0.008166666666666668,0.02,0.006666666666666667,0.003,0.011833333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,empirical_channel_lira,16,0.05,10,0.05,0.03816666666666667,0.06033333333333333,0.04833333333333334,0.043333333333333335,0.06733333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,0.01,10,0.008333333333333333,0.0033333333333333335,0.020333333333333328,0.0033333333333333335,0.0,0.011833333333333331
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,0.05,10,0.051666666666666666,0.030833333333333334,0.07033333333333333,0.04166666666666667,0.028166666666666666,0.05366666666666666
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,loss_mia,0,0.01,10,0.01,0.008166666666666668,0.016999999999999994,0.006666666666666667,0.0033333333333333335,0.02733333333333332
cell,eff_su2_r1_d2,leave_target_out,noisy_shot,128,loss_mia,0,0.05,10,0.05,0.03783333333333334,0.06333333333333334,0.056666666666666664,0.04666666666666667,0.07516666666666666
