scheme,mode,shots,simulator_seed,nominal_fpr,contrast,comparator_attack,reference_count,actual_fpr_difference,calibrated_tpr_difference
leave_cell_out,noisy_shot,128,0,0.01,affine_minus_loss,loss_mia,16,-0.002666666666666666,0.014666666666666665
leave_cell_out,noisy_shot,128,0,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.004666666666666666,0.0026666666666666644
leave_cell_out,noisy_shot,128,0,0.05,affine_minus_loss,loss_mia,16,-0.004666666666666666,0.03733333333333333
leave_cell_out,noisy_shot,128,0,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.0040000000000000036,0.02133333333333333
leave_cell_out,noisy_shot,128,1,0.01,affine_minus_loss,loss_mia,16,0.0006666666666666661,0.014
leave_cell_out,noisy_shot,128,1,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.006666666666666666,0.008666666666666666
leave_cell_out,noisy_shot,128,1,0.05,affine_minus_loss,loss_mia,16,-0.0026666666666666644,0.02866666666666666
leave_cell_out,noisy_shot,128,1,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.005999999999999998,0.03666666666666666
leave_cell_out,noisy_shot,128,2,0.01,affine_minus_loss,loss_mia,16,0.004,0.013333333333333334
leave_cell_out,noisy_shot,128,2,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.005333333333333332,0.008000000000000002
leave_cell_out,noisy_shot,128,2,0.05,affine_minus_loss,loss_mia,16,-0.008666666666666663,0.038
leave_cell_out,noisy_shot,128,2,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.007333333333333331,0.022000000000000006
leave_cell_out,noisy_shot,128,3,0.01,affine_minus_loss,loss_mia,16,-0.0006666666666666661,0.01
leave_cell_out,noisy_shot,128,3,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.0006666666666666661,0.006666666666666666
leave_cell_out,noisy_shot,128,3,0.05,affine_minus_loss,loss_mia,16,-0.0073333333333333375,0.049999999999999996
leave_cell_out,noisy_shot,128,3,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.0,0.03466666666666666
leave_cell_out,noisy_shot,128,4,0.01,affine_minus_loss,loss_mia,16,0.002,0.015333333333333334
leave_cell_out,noisy_shot,128,4,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.007333333333333334,0.006666666666666668
leave_cell_out,noisy_shot,128,4,0.05,affine_minus_loss,loss_mia,16,0.003999999999999997,0.044000000000000004
leave_cell_out,noisy_shot,128,4,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.005999999999999998,0.030000000000000006
leave_cell_out,noisy_shot,128,5,0.01,affine_minus_loss,loss_mia,16,0.002666666666666666,0.013333333333333334
leave_cell_out,noisy_shot,128,5,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.004000000000000002,0.0006666666666666661
leave_cell_out,noisy_shot,128,5,0.05,affine_minus_loss,loss_mia,16,-0.0020000000000000018,0.039999999999999994
leave_cell_out,noisy_shot,128,5,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.0020000000000000018,0.02266666666666667
leave_cell_out,noisy_shot,128,6,0.01,affine_minus_loss,loss_mia,16,-0.0013333333333333322,0.016
leave_cell_out,noisy_shot,128,6,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.002,0.0013333333333333322
leave_cell_out,noisy_shot,128,6,0.05,affine_minus_loss,loss_mia,16,-0.0006666666666666626,0.03733333333333333
leave_cell_out,noisy_shot,128,6,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.010666666666666672,0.020000000000000004
leave_cell_out,noisy_shot,128,7,0.01,affine_minus_loss,loss_mia,16,0.0006666666666666678,0.014666666666666665
leave_cell_out,noisy_shot,128,7,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,-0.008,0.010666666666666666
