scheme,heldout_scope,heldout_id,calibration_ids,mode,shots,fold,n_train_public_nonmember_pairs,n_test_heldout_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,0,1600,200,-0.3181959361616884,0.8002009046542718,1.616303464580143,1.6152929590330531,0.4301987601373747,-3.1086244689504386e-17,1.6152929590330531,-0.21989368758273034,1.5443859162215707,0.898125,1.4760572131521166,0.2812581406387745,0.09255878070802974,1.4731523236285635,0.17473102236163965,1.0425753892221516,0.92
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,1,1640,180,-0.33244987475556687,0.8198478660969768,1.6064913122935844,1.605511445589251,0.45195601269377017,7.582010899879118e-17,1.605511445589251,-0.19080023714483152,1.7255190391144506,0.8981707317073171,1.4930904895303652,0.40234084357101063,0.1129077870700857,1.4888153147872176,-0.05165537579097108,-0.029672761208602072,0.9166666666666666
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,2,1680,160,-0.3264620408389716,0.8102715907497146,1.5846139391619787,1.583670435690917,0.4195438548246706,5.551115123125783e-17,1.583670435690917,-0.15217882418994774,1.4891498535841423,0.8970238095238096,1.4944953714703748,0.4230454207565998,0.06101559037245578,1.4932493137711045,0.08674094654194613,0.44338550538481636,0.9
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,3,1480,260,-0.3814766687685566,0.812432458717176,1.5415045626184043,1.540462653366133,0.4219716302144356,3.600723323108616e-18,1.540462653366133,-0.2588542588566601,1.7384147332939603,0.9013513513513514,1.5672232418203518,0.3612516894092358,0.09847267525111071,1.564126536419219,-0.15735325654497642,0.3527588758403053,0.8769230769230769
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s43,MNIST_QNN_eff_su2_r1_d2_s44;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,4,1600,200,-0.32878916161178195,0.7875245705597929,1.6595704109285656,1.6585328550841467,0.4034725010756184,-7.105427357601002e-17,1.6585328550841467,-0.21781099164106443,1.2400753498810273,0.8925,1.2783792368331295,0.5344136476802381,0.19134610645259842,1.2639779035693166,-0.42292815672276374,0.7394737453340268,0.965
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,0,1600,200,-0.3071968667586001,0.821969725317192,1.5397307029147302,1.5387680703086533,0.4224270806271174,-8.881784197001253e-17,1.5387680703086533,-0.24934768094178508,0.7463272035313655,0.89625,1.4990884907450417,0.44192419165007013,-0.21382375238357973,1.483760663314961,-0.6584187315411133,2.115161661388587,0.92
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,1,1640,180,-0.29039072302854296,0.8260060074048645,1.542025195158355,1.5410846490536756,0.4202056302291184,-2.599546594244269e-17,1.5410846490536756,-0.14301011003506428,0.8697193043089468,0.8975609756097561,1.6203302646505267,0.2774794913731946,-0.06521599844923377,1.6190173069145108,-0.3403386393423159,0.6771731760641515,0.8777777777777778
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,2,1680,160,-0.28756349095115363,0.83243302187277,1.5263952058725432,1.5254863667292284,0.4002314602620257,4.229421046191073e-18,1.5254863667292284,-0.20205094183300445,0.9278127661646232,0.8976190476190476,1.6909676478744637,0.4551234472433946,-0.03810710344728997,1.6905382086261624,-0.9464745979066521,3.4733627737128785,0.8875
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,3,1480,260,-0.31480845930454493,0.8452558401118412,1.491001066646892,1.489993292914554,0.41027081904360274,-5.281060873892637e-17,1.489993292914554,-0.12008039481265233,0.7842699482704023,0.8986486486486487,1.7606431227707577,0.4378356624702846,0.12510385362376147,1.7561928230033428,-0.020339090108913965,1.1856492290144525,0.8346153846153846
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s44,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s45,noisy_shot,128,4,1600,200,-0.31351686135195,0.8050881616966319,1.5923090740034118,1.591313569639768,0.380447223263472,1.2434497875801754e-16,1.591313569639768,-0.09036209520012971,0.6441814392952803,0.888125,1.3562133935464737,0.538995850551,-0.06826551289408442,1.3544942187341187,0.5398460499025601,4.750818722709536,0.94
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s45,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,0,1600,200,-0.29284865709846714,0.8622437091382164,1.5432155072428413,1.5422506959530076,0.44070379394859294,1.1546319456101628e-16,1.5422506959530076,-0.20793841211507508,1.5370672814117627,0.895625,1.600102463530465,0.3544399331233755,-0.049531322093973,1.599335656429846,0.2182430132704455,0.8851114880495654,0.875
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s45,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,1,1640,180,-0.3106418294117877,0.850326961603189,1.5276763880897468,1.5267445939267594,0.44455125415631647,5.199093188488538e-17,1.5267445939267594,-0.2049930821124001,1.840079550660274,0.8987804878048781,1.5704243314134212,0.19059483258837406,-0.20275391415867006,1.5572807810374563,-0.42474271550311676,0.748432371648629,0.8833333333333333
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s45,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,2,1680,160,-0.3155111144090403,0.8628058320545975,1.5202342433411045,1.5193290725294821,0.42587018473318317,-5.075305255429287e-17,1.5193290725294821,-0.14635030730206422,1.3723907720137865,0.8964285714285715,1.7187826351073197,0.4385752747980083,-0.25998963553070203,1.699005337296818,-0.00919323406654442,0.10963255922861048,0.85
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s45,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,3,1480,260,-0.34195842918100794,0.8715263676068692,1.4825290053199385,1.481526957888577,0.4347986208381467,9.601928861622976e-17,1.481526957888577,-0.3141432411261892,1.8658486924255193,0.904054054054054,1.77527038361474,0.4070094073163856,-0.03005095290512282,1.775016021102097,-0.39510162417492517,0.8816554065865119,0.8384615384615385
leave_target_out,target,MNIST_QNN_eff_su2_r1_d2_s45,MNIST_QNN_eff_su2_r1_d2_s43;MNIST_QNN_eff_su2_r1_d2_s44,noisy_shot,128,4,1600,200,-0.3130204471999601,0.8455709602787699,1.5839751352837421,1.5829848412605387,0.3993330003419442,1.5765166949677222e-16,1.5829848412605387,-0.2366265699049505,1.3273575564407967,0.89125,1.3388289632895656,0.5059023251484857,0.07167852563449556,1.3369088158531524,-0.45688110663845094,2.060846045225116,0.955
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s43,MNIST_QNN_eff_su2_r5_d2_s44;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,0,1600,200,-0.42075649415032923,0.8554467598139542,1.7563924186674942,1.7552943301458617,0.5910081905653111,1.2212453270876723e-16,1.7552943301458617,-0.07255389170730667,0.2384148539532056,0.896875,1.7455591774238894,0.4200125449012223,-0.06297640618744042,1.7444227739147642,-0.456175714838803,0.11667655800364729,0.915
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s43,MNIST_QNN_eff_su2_r5_d2_s44;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,1,1640,180,-0.43371816272760033,0.8317821404847184,1.778679024392426,1.7775941331512715,0.5869684617319115,-1.0831444142684454e-16,1.7775941331512715,-0.17252360053965224,0.265582010169926,0.899390243902439,1.8660497274013923,0.3626156290760383,-0.24332807678146998,1.8501170320238236,-0.16067165168621292,0.7160149075115574,0.8944444444444445
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s43,MNIST_QNN_eff_su2_r5_d2_s44;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,2,1680,160,-0.43498360201282393,0.8553665327857176,1.7675861242540727,1.7665336763344768,0.5982669409857491,4.229421046191072e-17,1.7665336763344768,-0.10920168914463152,0.15127591194734125,0.9,1.9383675468142298,0.5015982505662766,0.018147949898222725,1.938282589938089,0.21610038569646223,0.1964567524132681,0.84375
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s43,MNIST_QNN_eff_su2_r5_d2_s44;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,3,1480,260,-0.4148703598802239,0.8334660328835783,1.7973954592232224,1.7961805922650769,0.5480178320539175,1.152231463394757e-16,1.7961805922650769,-0.1334745366404573,0.28984818857139016,0.8993243243243243,2.032642642971344,0.6295019027823827,-0.09071751329686843,2.030617257586166,-0.19135360447059246,0.15519945771633203,0.8615384615384616
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s43,MNIST_QNN_eff_su2_r5_d2_s44;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,4,1600,200,-0.46922183132324913,0.8538111389165702,1.7792528384906516,1.778140457738911,0.5959400211156045,-8.43769498715119e-17,1.778140457738911,-0.18551034748574266,0.3630247472528807,0.898125,1.689243037704209,0.3527258159579154,-0.1060280313692548,1.6859122447494423,-0.15830123513152192,0.32013816361942116,0.895
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s44,MNIST_QNN_eff_su2_r5_d2_s43;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,0,1600,200,-0.46509239047625894,0.8336313111106198,1.8628470731882258,1.8616824297025882,0.5538105879395652,3.1530333899354444e-16,1.8616824297025882,-0.0745724367953609,0.31691127450014855,0.8975,1.7483112979891404,0.5507509388916592,0.03329241507450633,1.7479942819628957,0.01129833492199145,-0.3864140338272217,0.915
leave_target_out,target,MNIST_QNN_eff_su2_r5_d2_s44,MNIST_QNN_eff_su2_r5_d2_s43;MNIST_QNN_eff_su2_r5_d2_s45,noisy_shot,128,1,1640,180,-0.43858635833886395,0.8086748991180633,1.8618171136687243,1.8606815130057879,0.5503806044361063,-2.38291771139058e-17,1.8606815130057879,-0.19591489338918158,0.3383380271270058,0.8951219512195122,1.7242308247887412,0.45478590997885904,0.12962396726158035,1.7193514952629763,-0.13262421892088097,0.4488425895870187,0.9166666666666666
