scheme,mode,shots,nominal_fpr,contrast,comparator_attack,reference_count,n_replicates,actual_fpr_difference_median,actual_fpr_difference_q05,actual_fpr_difference_q95,calibrated_tpr_difference_median,calibrated_tpr_difference_q05,calibrated_tpr_difference_q95
leave_cell_out,noisy_shot,1024,0.01,affine_minus_loss,loss_mia,16,10,-0.002666666666666667,-0.005033333333333332,-0.00030000000000000046,0.017666666666666667,0.014166666666666668,0.019333333333333334
leave_cell_out,noisy_shot,1024,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.0010000000000000009,-0.004566666666666667,0.002,0.008,0.005933333333333333,0.013166666666666663
leave_cell_out,noisy_shot,1024,0.05,affine_minus_loss,loss_mia,16,10,-0.0036666666666666653,-0.012200000000000004,-0.0015666666666666693,0.04766666666666666,0.043199999999999995,0.05346666666666666
leave_cell_out,noisy_shot,1024,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.0013333333333333287,-0.004066666666666666,0.0076999999999999985,0.025333333333333333,0.02096666666666667,0.03293333333333333
leave_cell_out,noisy_shot,128,0.01,affine_minus_loss,loss_mia,16,10,0.0,-0.003033333333333333,0.0033999999999999985,0.014333333333333333,0.0103,0.0157
leave_cell_out,noisy_shot,128,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.005999999999999999,-0.0102,-0.0012666666666666677,0.006666666666666667,0.0009666666666666658,0.009766666666666665
leave_cell_out,noisy_shot,128,0.05,affine_minus_loss,loss_mia,16,10,-0.0036666666666666653,-0.011599999999999997,0.0036999999999999976,0.03766666666666667,0.027933333333333327,0.047299999999999995
leave_cell_out,noisy_shot,128,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.005000000000000001,-0.011699999999999999,0.008566666666666663,0.026333333333333334,0.0206,0.035766666666666655
leave_cell_out,noisy_shot,512,0.01,affine_minus_loss,loss_mia,16,10,-0.000666666666666667,-0.004733333333333334,0.00036666666666666564,0.01633333333333333,0.0129,0.020366666666666665
leave_cell_out,noisy_shot,512,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.002333333333333334,-0.005033333333333333,0.0010333333333333336,0.009333333333333334,0.004899999999999999,0.01383333333333333
leave_cell_out,noisy_shot,512,0.05,affine_minus_loss,loss_mia,16,10,-0.006999999999999999,-0.014133333333333331,-0.0019333333333333331,0.043666666666666666,0.0386,0.05183333333333333
leave_cell_out,noisy_shot,512,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.0006666666666666696,-0.009400000000000002,0.0027333333333333333,0.025666666666666664,0.016233333333333332,0.0365
leave_target_out,noisy_shot,1024,0.01,affine_minus_loss,loss_mia,16,10,0.000666666666666667,-0.004733333333333334,0.002,0.011666666666666667,0.008833333333333334,0.015033333333333333
leave_target_out,noisy_shot,1024,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.0,-0.002433333333333334,0.0016999999999999997,0.004333333333333333,0.0019333333333333333,0.008799999999999999
leave_target_out,noisy_shot,1024,0.05,affine_minus_loss,loss_mia,16,10,-0.0019999999999999983,-0.006366666666666666,0.0036999999999999976,0.059333333333333335,0.04933333333333333,0.06433333333333333
leave_target_out,noisy_shot,1024,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.0010000000000000009,-0.0037666666666666656,0.007233333333333328,0.017,0.011433333333333332,0.02236666666666667
leave_target_out,noisy_shot,128,0.01,affine_minus_loss,loss_mia,16,10,-0.0006666666666666678,-0.0041333333333333335,0.0025666666666666615,0.013000000000000001,0.0092,0.016733333333333333
leave_target_out,noisy_shot,128,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.00033333333333333305,-0.0054666666666666665,0.004133333333333331,0.009333333333333332,0.0048333333333333344,0.013033333333333333
leave_target_out,noisy_shot,128,0.05,affine_minus_loss,loss_mia,16,10,0.0023333333333333296,-0.011899999999999999,0.00843333333333333,0.029333333333333326,0.02223333333333333,0.03323333333333333
leave_target_out,noisy_shot,128,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.005333333333333332,-0.008366666666666668,0.012533333333333322,0.01533333333333333,0.009266666666666666,0.02823333333333332
leave_target_out,noisy_shot,512,0.01,affine_minus_loss,loss_mia,16,10,-0.001666666666666667,-0.0030333333333333323,0.0031666666666666623,0.014333333333333332,0.0089,0.01666666666666667
leave_target_out,noisy_shot,512,0.01,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,-0.0006666666666666661,-0.0023666666666666662,0.0036999999999999997,0.007333333333333334,0.0018666666666666666,0.0097
leave_target_out,noisy_shot,512,0.05,affine_minus_loss,loss_mia,16,10,-0.0003333333333333313,-0.00656666666666667,0.010766666666666657,0.049666666666666665,0.03816666666666666,0.054733333333333335
leave_target_out,noisy_shot,512,0.05,affine_minus_mismatched_lira,latent_lira_mismatched,16,10,0.002333333333333333,-0.005433333333333331,0.008366666666666665,0.016000000000000007,0.011799999999999996,0.02233333333333333
