scope,scope_id,scheme,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,affine_channel_lira,16,10,0.5354277777777778,0.5174688888888889,0.5692933333333333,0.09333333333333335,0.05783333333333335,0.1643333333333333,0.005,0.0,0.011833333333333331,0.013333333333333334,0.01,0.023666666666666662,0.06166666666666667,0.043000000000000003,0.08516666666666667
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,deconvolved_lira,16,10,0.5382444444444445,0.5173894444444445,0.57613,0.09166666666666662,0.05416666666666672,0.12916666666666665,0.0016666666666666668,0.0,0.008499999999999997,0.008333333333333333,0.004833333333333334,0.022166666666666657,0.07,0.051166666666666666,0.0885
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,empirical_channel_lira,16,10,0.5295666666666667,0.50387,0.5623711111111112,0.09,0.04600000000000001,0.14499999999999996,0.0033333333333333335,0.0,0.008499999999999997,0.016666666666666666,0.008166666666666668,0.02666666666666667,0.065,0.051500000000000004,0.09583333333333331
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,latent_lira_mismatched,16,10,0.53855,0.5257000000000001,0.5717644444444444,0.08500000000000002,0.07333333333333336,0.13049999999999998,0.0033333333333333335,0.0,0.005166666666666663,0.01,0.0015,0.016666666666666666,0.058333333333333334,0.0415,0.07883333333333332
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,loss_mia,0,10,0.5249611111111112,0.5112788888888888,0.5360683333333334,0.07500000000000001,0.06300000000000001,0.09516666666666664,0.006666666666666667,0.0,0.01549999999999999,0.016666666666666666,0.008166666666666668,0.02666666666666667,0.05333333333333334,0.036,0.06
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,1024,noise_augmented_lira,16,10,0.5322333333333333,0.49976666666666664,0.5586305555555555,0.09166666666666667,0.04316666666666668,0.14933333333333326,0.006666666666666667,0.0,0.011833333333333331,0.013333333333333334,0.008166666666666668,0.02183333333333333,0.07833333333333334,0.04633333333333334,0.09183333333333334
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,128,affine_channel_lira,16,10,0.5110666666666667,0.48790944444444445,0.5670094444444443,0.07833333333333334,0.03266666666666667,0.15266666666666662,0.0,0.0,0.006666666666666667,0.008333333333333333,0.0,0.020666666666666653,0.045,0.03116666666666667,0.07399999999999998
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,128,deconvolved_lira,16,10,0.5280611111111111,0.5118311111111111,0.5626933333333333,0.10166666666666668,0.05816666666666668,0.134,0.0,0.0,0.0,0.006666666666666667,0.0,0.016666666666666666,0.05333333333333334,0.016333333333333335,0.08799999999999997
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,128,empirical_channel_lira,16,10,0.5101111111111112,0.4926188888888889,0.5531533333333334,0.08999999999999997,0.04266666666666669,0.1303333333333333,0.0,0.0,0.0033333333333333335,0.006666666666666667,0.0,0.018499999999999996,0.055,0.043333333333333335,0.08033333333333333
cell,eff_su2_r1_d2,leave_cell_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5221555555555556,0.5061155555555555,0.5500544444444444,0.07666666666666666,0.04633333333333335,0.12216666666666663,0.0,0.0,0.0018333333333333298,0.005,0.0,0.018499999999999996,0.043333333333333335,0.026333333333333334,0.06799999999999998
