fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.69122815
0.025,0.025,0.6812635
0.025,0.05,0.6774015
0.075,0.05,0.65931696
0.075,0.225,0.58742875
0.1,0.225,0.5872251
0.1,0.25,0.5862097
0.225,0.25,0.5724877
0.225,0.325,0.5658447
0.25,0.325,0.5626362
0.25,0.375,0.56175435
0.3,0.375,0.55506355
0.3,0.4,0.5365903
0.325,0.4,0.5350493
0.325,0.45,0.5275286
0.4,0.45,0.50964767
0.4,0.65,0.48221126
0.5,0.65,0.47648305
0.5,0.675,0.47388798
0.55,0.675,0.47280857
0.55,0.7,0.4727109
0.625,0.7,0.46539223
0.625,0.75,0.45493633
0.725,0.75,0.44520262
0.725,0.875,0.42573273
0.8,0.875,0.40278375
0.8,0.925,0.37738448
0.825,0.925,0.35656777
0.825,0.95,0.34126467
0.85,0.95,0.3321335
0.85,0.975,0.2899243
1.0,0.975,0.21289626
1.0,1.0,0.18469621
