target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats,model_seed,data_seed,structural_cell_id,learning_rate,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
ARCH_low_reupload_mlp_qnn_s44,architecture_control,low_reupload,44,MNIST,mlp_qnn,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,44,43,low_reupload|mlp_qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s44/target_model.pt,96,0,96,0,96,0,96,0,0,0,0,{},classical parameter-matched MLP; no quantum main stack,False,,exact model.named_parameters count exported during target run,classical MLP override; no quantum execution stack,attack payload resource_counts,True,
ARCH_low_reupload_mlp_qnn_s45,architecture_control,low_reupload,45,MNIST,mlp_qnn,182,z,6,1,wrap,linear,,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False,45,43,low_reupload|mlp_qnn,0.01,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_low_reupload_mlp_qnn_s45/target_model.pt,96,0,96,0,96,0,96,0,0,0,0,{},classical parameter-matched MLP; no quantum main stack,False,,exact model.named_parameters count exported during target run,classical MLP override; no quantum execution stack,attack payload resource_counts,True,
ARCH_high_reupload_QNN_s43,architecture_control,high_reupload,43,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,43,43,high_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s43/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_QNN_s44,architecture_control,high_reupload,44,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,44,43,high_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s44/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_QNN_s45,architecture_control,high_reupload,45,MNIST,QNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False,45,43,high_reupload|qnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_QNN_s45/target_model.pt,166,138,28,0,166,138,28,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_HQNN_s43,architecture_control,high_reupload,43,MNIST,HQNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,43,43,high_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s43/target_model.pt,20022,138,19884,0,20022,138,19884,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_HQNN_s44,architecture_control,high_reupload,44,MNIST,HQNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,44,43,high_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s44/target_model.pt,20022,138,19884,0,20022,138,19884,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_HQNN_s45,architecture_control,high_reupload,45,MNIST,HQNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.76,0.695,0.065,200,200,200,16,100,False,45,43,high_reupload|hqnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_HQNN_s45/target_model.pt,20022,138,19884,0,20022,138,19884,0,543,363,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 36, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_QCNN_s43,architecture_control,high_reupload,43,MNIST,QCNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.93,0.83,0.1,200,200,200,16,100,False,43,43,high_reupload|qcnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s43/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s43/target_model.pt,684,486,198,0,684,486,198,0,547,367,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 40, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
ARCH_high_reupload_QCNN_s44,architecture_control,high_reupload,44,MNIST,QCNN,1070,zz,6,5,wrap,linear,,6,linear,crz,False,0.93,0.83,0.1,200,200,200,16,100,False,44,43,high_reupload|qcnn,0.01,reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s44/target_attack_data.pt,reviewer_runs/architecture_control/ARCH_high_reupload_QCNN_s44/target_model.pt,684,486,198,0,684,486,198,0,547,367,180,"{""crz"": 30, ""cx"": 150, ""rx"": 36, ""ry"": 40, ""rz"": 36, ""u1"": 165, ""u3"": 90}",fixed encoder plus downstream variational circuit,False,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
