target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
ARCH_high_reupload_QCNN_s44,architecture_control,mnist,QCNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.96,0.8,0.15999999999999992,0.625,0.67625,0.6052631578947368,0.6388888888888888,0.575,0.025,0.025,0.025,0.1,optuna,0.6830078125,68,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QCNN_s44/attack_results.json
ARCH_high_reupload_QCNN_s45,architecture_control,mnist,QCNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.955,0.79,0.16499999999999992,0.5375,0.5724999999999999,0.5842696629213483,0.5306122448979592,0.65,0.05,0.05,0.1,0.1,optuna,0.65078125,32,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QCNN_s45/attack_results.json
ARCH_high_reupload_QNN_s43,architecture_control,mnist,QNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.8,0.555,0.245,0.5125,0.61625,0.5894736842105263,0.509090909090909,0.7,0.025,0.025,0.15,0.2,optuna,0.6880859375,86,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s43/attack_results.json
ARCH_high_reupload_QNN_s44,architecture_control,mnist,QNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.765,0.535,0.22999999999999998,0.6375,0.729375,0.5671641791044776,0.7037037037037037,0.475,0.0,0.0,0.05,0.375,optuna,0.61015625,9,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s44/attack_results.json
ARCH_high_reupload_QNN_s45,architecture_control,mnist,QNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.81,0.525,0.28500000000000003,0.6,0.6493749999999999,0.673469387755102,0.5689655172413793,0.825,0.025,0.025,0.05,0.1,optuna,0.7078125,20,reviewer_results/learned_mia_seed43/ARCH_high_reupload_QNN_s45/attack_results.json
ARCH_high_reupload_mlp_qnn_s43,architecture_control,mnist,MLP_QNN,1070,43,43,43,"1=member,0=nonmember",6,6,0.94,0.795,0.1449999999999999,0.5375,0.455625,0.6542056074766355,0.5223880597014925,0.875,0.0,0.0,0.1,0.175,optuna,0.6513671875,17,reviewer_results/learned_mia_seed43/ARCH_high_reupload_mlp_qnn_s43/attack_results.json
ARCH_high_reupload_mlp_qnn_s44,architecture_control,mnist,MLP_QNN,1070,44,43,43,"1=member,0=nonmember",6,6,0.99,0.795,0.19499999999999995,0.5875,0.61625,0.56,0.6,0.525,0.025,0.025,0.05,0.15,optuna,0.6564453125,9,reviewer_results/learned_mia_seed43/ARCH_high_reupload_mlp_qnn_s44/attack_results.json
ARCH_high_reupload_mlp_qnn_s45,architecture_control,mnist,MLP_QNN,1070,45,43,43,"1=member,0=nonmember",6,6,0.925,0.81,0.11499999999999999,0.4375,0.454375,0.4943820224719101,0.4489795918367347,0.55,0.0,0.0,0.05,0.05,optuna,0.6537109375,9,reviewer_results/learned_mia_seed43/ARCH_high_reupload_mlp_qnn_s45/attack_results.json
ARCH_low_reupload_HQNN_s43,architecture_control,mnist,HQNN,182,43,43,43,"1=member,0=nonmember",6,2,1.0,0.93,0.06999999999999995,0.6,0.583125,0.7090909090909091,0.5571428571428572,0.975,0.0,0.0,0.075,0.1,optuna,0.687109375,26,reviewer_results/learned_mia_seed43/ARCH_low_reupload_HQNN_s43/attack_results.json
ARCH_low_reupload_HQNN_s44,architecture_control,mnist,HQNN,182,44,43,43,"1=member,0=nonmember",6,2,1.0,0.955,0.04500000000000004,0.5625,0.615,0.6067415730337079,0.5510204081632653,0.675,0.05,0.05,0.05,0.05,optuna,0.6798828125,27,reviewer_results/learned_mia_seed43/ARCH_low_reupload_HQNN_s44/attack_results.json
ARCH_low_reupload_HQNN_s45,architecture_control,mnist,HQNN,182,45,43,43,"1=member,0=nonmember",6,2,0.28,0.34,-0.06,0.5,0.504375,0.48717948717948717,0.5,0.475,0.0,0.0,0.225,0.225,optuna,0.63359375,6,reviewer_results/learned_mia_seed43/ARCH_low_reupload_HQNN_s45/attack_results.json
ARCH_low_reupload_QCNN_s43,architecture_control,mnist,QCNN,182,43,43,43,"1=member,0=nonmember",6,2,0.93,0.87,0.06000000000000005,0.55,0.546875,0.6170212765957447,0.5370370370370371,0.725,0.0,0.0,0.1,0.175,optuna,0.59375,10,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QCNN_s43/attack_results.json
ARCH_low_reupload_QCNN_s44,architecture_control,mnist,QCNN,182,44,43,43,"1=member,0=nonmember",6,2,0.925,0.875,0.050000000000000044,0.525,0.558125,0.5476190476190477,0.5227272727272727,0.575,0.05,0.05,0.1,0.15,optuna,0.59609375,83,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QCNN_s44/attack_results.json
ARCH_low_reupload_QCNN_s45,architecture_control,mnist,QCNN,182,45,43,43,"1=member,0=nonmember",6,2,0.93,0.885,0.04500000000000004,0.525,0.449375,0.6346153846153846,0.515625,0.825,0.0,0.0,0.025,0.025,optuna,0.6005859375,3,reviewer_results/learned_mia_seed43/ARCH_low_reupload_QCNN_s45/attack_results.json
