experiment,dataset,architecture,structural_cell_id,role,risk_level,fm_kind,reps,depth,attack,auc_count,auc_mean,auc_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,crossfit_tpr_count,crossfit_tpr_mean,crossfit_tpr_std,crossfit_fpr_count,crossfit_fpr_mean,crossfit_fpr_std,error_bar_type
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,confidence,3,0.49907499999999994,0.01551644289133304,3,0.48666666666666664,0.018427786989579944,3,-0.02666666666666666,0.03685557397915997,3,0.31666666666666665,0.10797376224497011,3,0.3433333333333333,0.12392874296680868,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,correctness,3,0.5116666666666667,0.014648663192705807,3,0.49500000000000005,0.025372228912730575,3,-0.00999999999999999,0.05074445782546111,3,0.5316666666666667,0.24583192089989725,3,0.5416666666666666,0.19534158116830463,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,entropy,3,0.5007750000000001,0.018244502596672776,3,0.4925,0.027041634565979918,3,-0.014999999999999994,0.05408326913195983,3,0.3416666666666666,0.03883726732577016,3,0.3566666666666667,0.015275252316519468,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,loss,3,0.5298916666666666,0.01038584774264157,3,0.5133333333333333,0.029190466480228296,3,0.026666666666666672,0.05838093296045667,3,0.5433333333333333,0.14285773809399802,3,0.5166666666666667,0.1962990915244728,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,margin,3,0.5029333333333333,0.015562702475255829,3,0.49333333333333335,0.025289984842489174,3,-0.013333333333333336,0.05057996968497841,3,0.29333333333333333,0.10866615541802023,3,0.3066666666666667,0.1284847591480536,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d2,eff_su2_r1_d2,,eff_su2,1,2,max_probability,3,0.49907499999999994,0.01551644289133304,3,0.48666666666666664,0.018427786989579944,3,-0.02666666666666666,0.03685557397915997,3,0.31666666666666665,0.10797376224497011,3,0.3433333333333333,0.12392874296680868,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,confidence,3,0.5082583333333334,0.004768407316215092,3,0.49833333333333335,0.01376892636821526,3,-0.0033333333333333457,0.02753785273643053,3,0.305,0.0957862203033401,3,0.30833333333333335,0.12291596044994864,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,correctness,3,0.5191666666666666,0.00946484724300049,3,0.5083333333333333,0.01892969448600089,3,0.016666666666666646,0.03785938897200179,3,0.695,0.11302654555457309,3,0.6783333333333333,0.0752218939759784,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,entropy,3,0.5116916666666667,0.007701352695035694,3,0.5125000000000001,0.026457513110645908,3,0.025000000000000005,0.052915026221291794,3,0.2783333333333333,0.061711695271912066,3,0.25333333333333335,0.11003787226829376,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,loss,3,0.5364416666666667,0.005660462289719229,3,0.4925,0.004999999999999942,3,-0.014999999999999994,0.009999999999999981,3,0.39666666666666667,0.07571877794400365,3,0.4116666666666666,0.07767453465154027,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,margin,3,0.5093083333333334,0.0025251650111098346,3,0.5016666666666666,0.02753785273643052,3,0.003333333333333336,0.05507570547286101,3,0.2866666666666667,0.09776672917374979,3,0.2833333333333333,0.13823289526495974,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r1_d6,eff_su2_r1_d6,,eff_su2,1,6,max_probability,3,0.5082583333333334,0.004768407316215092,3,0.49833333333333335,0.01376892636821526,3,-0.0033333333333333457,0.02753785273643053,3,0.305,0.0957862203033401,3,0.30833333333333335,0.12291596044994864,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,confidence,3,0.5262083333333334,0.009364071407957794,3,0.5216666666666666,0.00520416499866527,3,0.043333333333333356,0.010408329997330643,3,0.48833333333333334,0.23357725345875044,3,0.445,0.2419194080680589,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,correctness,3,0.5616666666666666,0.018085445345175602,3,0.5616666666666666,0.018085445345175602,3,0.12333333333333334,0.036170890690351204,3,0.8583333333333334,0.01755942292142126,3,0.735,0.022912878474779224,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,entropy,3,0.5210750000000001,0.007888599368709306,3,0.5125000000000001,0.0024999999999999883,3,0.025000000000000005,0.005000000000000005,3,0.5016666666666666,0.14020817855365403,3,0.4766666666666666,0.14511489700693497,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,loss,3,0.5708583333333334,0.005956001874859764,3,0.5383333333333333,0.028759056544562355,3,0.07666666666666666,0.057518113089124655,3,0.6749999999999999,0.11629703349613,3,0.5983333333333333,0.060484157705413565,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,margin,3,0.5294,0.01063370231857186,3,0.52,0.031324910215354176,3,0.040000000000000015,0.06264982043070837,3,0.5516666666666666,0.205993527406405,3,0.5116666666666666,0.24476178895680045,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d2,eff_su2_r5_d2,,eff_su2,5,2,max_probability,3,0.5262083333333334,0.009364071407957794,3,0.5216666666666666,0.00520416499866527,3,0.043333333333333356,0.010408329997330643,3,0.48833333333333334,0.23357725345875044,3,0.445,0.2419194080680589,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,confidence,3,0.55925,0.011308376320232724,3,0.5408333333333334,0.006291528696058943,3,0.08166666666666667,0.012583057392117986,3,0.6166666666666667,0.12332207155790621,3,0.535,0.11434596626029271,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,correctness,3,0.5908333333333333,0.014215601757693352,3,0.5908333333333333,0.014215601757693352,3,0.18166666666666662,0.02843120351538666,3,0.9616666666666666,0.015275252316519477,3,0.7799999999999999,0.013228756555322985,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,entropy,3,0.5563916666666667,0.010472861754713172,3,0.5433333333333333,0.008779711460710663,3,0.08666666666666668,0.017559422921421215,3,0.6233333333333334,0.12045054310103101,3,0.5366666666666666,0.10539607835841582,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,loss,3,0.6026666666666666,0.01692524618235529,3,0.5891666666666667,0.01607275126832161,3,0.17833333333333334,0.032145502536643146,3,0.8116666666666666,0.07686568371733475,3,0.6333333333333333,0.04481443219916254,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,margin,3,0.559,0.012730597982812905,3,0.5358333333333333,0.01909406539564936,3,0.07166666666666667,0.038188130791298645,3,0.625,0.10828203913853857,3,0.5533333333333333,0.12065791865158845,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,eff_su2_r5_d6,eff_su2_r5_d6,,eff_su2,5,6,max_probability,3,0.55925,0.011308376320232724,3,0.5408333333333334,0.006291528696058943,3,0.08166666666666667,0.012583057392117986,3,0.6166666666666667,0.12332207155790621,3,0.535,0.11434596626029271,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,confidence,3,0.4869833333333333,0.014857854264103305,3,0.5141666666666668,0.02081665999466134,3,0.028333333333333332,0.041633319989322654,3,0.26333333333333336,0.09251126057585277,3,0.23500000000000001,0.09124143795447331,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,correctness,3,0.5299999999999999,0.0204633819296811,3,0.525,0.027500000000000004,3,0.05000000000000001,0.05499999999999999,3,0.7616666666666667,0.11150485789118493,3,0.7116666666666666,0.06251666444503683,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,entropy,3,0.48927499999999996,0.011609290460661231,3,0.51,0.009013878188659997,3,0.02,0.018027756377319945,3,0.22166666666666668,0.0448144321991625,3,0.20166666666666666,0.027537852736430505,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,loss,3,0.5412333333333333,0.01660792983286399,3,0.5291666666666667,0.0203613195381177,3,0.05833333333333335,0.04072263907623546,3,0.8466666666666667,0.0797391580927046,3,0.7883333333333334,0.04536885862938732,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,margin,3,0.48807500000000004,0.01603077119168008,3,0.5058333333333334,0.009464847243000453,3,0.011666666666666667,0.018929694486000917,3,0.265,0.054083269131959856,3,0.25333333333333335,0.044814432199162514,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d2,z_r1_d2,,z,1,2,max_probability,3,0.4869833333333333,0.014857854264103305,3,0.5141666666666668,0.02081665999466134,3,0.028333333333333332,0.041633319989322654,3,0.26333333333333336,0.09251126057585277,3,0.23500000000000001,0.09124143795447331,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,confidence,3,0.5447000000000001,0.022825328584710387,3,0.5241666666666667,0.011273124382057246,3,0.04833333333333337,0.02254624876411449,3,0.4466666666666667,0.1616580753730952,3,0.39833333333333326,0.164646085083531,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,correctness,3,0.5833333333333334,0.008036375634160764,3,0.5833333333333334,0.008036375634160792,3,0.1666666666666667,0.016072751268321608,3,0.9116666666666667,0.011547005383792509,3,0.745,0.02500000000000005,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,entropy,3,0.5433333333333333,0.022523672731890997,3,0.5241666666666667,0.014215601757693354,3,0.04833333333333332,0.02843120351538662,3,0.51,0.07858116822750856,3,0.46166666666666667,0.05859465277082314,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,loss,3,0.5985666666666667,0.014552863406674794,3,0.5691666666666667,0.02020725942163696,3,0.13833333333333334,0.040414518843273836,3,0.85,0.07262919523166975,3,0.7116666666666666,0.034034296427770214,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,margin,3,0.546,0.02261571632736849,3,0.53,0.0238484800354236,3,0.06000000000000002,0.04769696007084726,3,0.4566666666666667,0.12096831541082706,3,0.39666666666666667,0.1129527924990495,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r1_d6,z_r1_d6,,z,1,6,max_probability,3,0.5447000000000001,0.022825328584710387,3,0.5241666666666667,0.011273124382057246,3,0.04833333333333337,0.02254624876411449,3,0.4466666666666667,0.1616580753730952,3,0.39833333333333326,0.164646085083531,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,confidence,3,0.5223333333333334,0.008738003681238239,3,0.4991666666666667,0.02268442931469367,3,-0.0016666666666666867,0.04536885862938729,3,0.6033333333333334,0.192959408512084,3,0.605,0.1477328670269416,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,correctness,3,0.6058333333333333,0.014648663192705748,3,0.6058333333333333,0.014648663192705852,3,0.21166666666666667,0.02929732638541157,3,0.6383333333333333,0.016072751268321597,3,0.4266666666666667,0.025658007197234427,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,entropy,3,0.5344749999999999,0.007297559523566759,3,0.5175,0.006614378277661472,3,0.034999999999999996,0.013228756555322975,3,0.5,0.034641016151377574,3,0.465,0.032787192621509996,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,loss,3,0.6455083333333334,0.01243694931779238,3,0.6041666666666666,0.01527525231651939,3,0.20833333333333334,0.030550504633038905,3,0.6683333333333333,0.05008326400438905,3,0.45999999999999996,0.03968626966596885,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,margin,3,0.5133583333333332,0.017361493551343237,3,0.5033333333333333,0.018427786989579958,3,0.006666666666666691,0.03685557397915997,3,0.6066666666666667,0.25798901785411976,3,0.6,0.23016298572967805,mean ± sample SD across independent target-model seeds; fixed data seed
multiseed_factorial,mnist,qnn,z_r5_d2,z_r5_d2,,z,5,2,max_probability,3,0.5223333333333334,0.008738003681238239,3,0.4991666666666667,0.02268442931469367,3,-0.0016666666666666867,0.04536885862938729,3,0.6033333333333334,0.192959408512084,3,0.605,0.1477328670269416,mean ± sample SD across independent target-model seeds; fixed data seed
