target_id,attack,auc,auc_record_ci95_low,auc_record_ci95_high,valid_record_bootstrap_replicates,n_member,n_nonmember,fpr_resolution,membership_convention,source_file,ci_method,bootstrap_unit,bootstrap_replicates,experiment,dataset,architecture,model_type,run_id,model_seed,data_seed,seed,attack_feature_mode,learning_rate,n_wires,depth,ql_ent,ql_op,fm_kind,reps,fm_ent,fm_op,pad_mode,vector_train,vector_valid,vector_test,role,source_run_id,ql_rev,original_acc_train,original_acc_test,original_gap,batch_size,epochs,extra_feats,structural_cell_id,risk_level,balanced_accuracy_crossfit,membership_advantage_crossfit,crossfit_tpr,crossfit_fpr,threshold_median,threshold_folds,tpr_at_requested_fpr_0p05,attained_fpr_0p05,expected_false_positives_0p05,resolvable_0p05,tpr_at_requested_fpr_0p1,attained_fpr_0p1,expected_false_positives_0p1,resolvable_0p1
MNIST_QNN_eff_su2_r1_d2_s44,correctness,0.5225,0.48,0.565,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,44,43,44,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.5,0.0,0.555,0.555,1.0,5,0.0,0.0,10.0,True,0.0,0.0,20.0,True
MNIST_QNN_eff_su2_r1_d2_s44,max_probability,0.48567499999999997,0.429549375,0.542350625,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s44/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,44,43,44,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.48,-0.04000000000000001,0.215,0.255,0.932844877243042,5,0.085,0.05,10.0,True,0.105,0.095,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,loss,0.518675,0.4615675,0.5739512499999999,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.5075000000000001,0.015000000000000013,0.645,0.63,-0.4961833357810974,5,0.055,0.05,10.0,True,0.11,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,entropy,0.49635000000000007,0.44027437500000005,0.553101875,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.485,-0.02999999999999997,0.33,0.36,-0.6425084471702576,5,0.055,0.05,10.0,True,0.1,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,confidence,0.495475,0.438574375,0.5507275,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.47250000000000003,-0.05499999999999999,0.43,0.485,0.5939944982528687,5,0.055,0.05,10.0,True,0.1,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,margin,0.497075,0.440825,0.553825,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.47750000000000004,-0.04500000000000004,0.41,0.455,0.3125757873058319,5,0.06,0.05,10.0,True,0.095,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,correctness,0.495,0.4525,0.5375,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.4675,-0.065,0.275,0.34,inf,5,0.0,0.0,10.0,True,0.0,0.0,20.0,True
MNIST_QNN_eff_su2_r1_d2_s45,max_probability,0.495475,0.43969874999999997,0.551225,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d2_s45/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1622,45,43,45,pv+stats,0.05,6,2,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d2,1622,False,0.865,0.71,0.155,16,100,False,eff_su2_r1_d2,,0.47250000000000003,-0.05499999999999999,0.43,0.485,0.5939944982528687,5,0.055,0.05,10.0,True,0.1,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s43,loss,0.542875,0.485675,0.599225,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.49749999999999994,-0.0050000000000000044,0.43,0.435,-0.31670457124710083,5,0.05,0.035,10.0,True,0.13,0.1,20.0,True
MNIST_QNN_eff_su2_r1_d6_s43,entropy,0.519475,0.46249937500000005,0.5776025,10000,200,200,0.005,0=member,reviewer_runs/multiseed_factorial/MNIST_QNN_eff_su2_r1_d6_s43/target_attack_data.pt,stratified percentile bootstrap over member/non-member records,records,10000,multiseed_factorial,mnist,qnn,qnn,1646,43,43,43,pv+stats,0.05,6,6,linear,crz,eff_su2,1,linear,cx,wrap,200,200,200,eff_su2_r1_d6,1646,False,0.935,0.75,0.185,16,100,False,eff_su2_r1_d6,,0.48250000000000004,-0.034999999999999976,0.33,0.365,-0.5679806470870972,5,0.05,0.04,10.0,True,0.12,0.095,20.0,True
