target_id,scheme,mode,shots,attack,reference_count,n_simulator_seeds,auc_mean_over_simulator_seeds,advantage_mean_over_simulator_seeds,tpr_at_0_1pct_fpr_mean_over_simulator_seeds,tpr_at_1pct_fpr_mean_over_simulator_seeds,tpr_at_5pct_fpr_mean_over_simulator_seeds,cell
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.49679260000000003,0.023399999999999997,0.0028,0.012700000000000003,0.0491,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.4981745000000001,0.02470000000000001,0.0024000000000000002,0.0115,0.0501,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,loss_mia,0,10,0.528195,0.06,0.0055,0.0169,0.0602,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.51077995,0.037899999999999996,0.0024000000000000002,0.0107,0.05600000000000001,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.50907815,0.03620000000000001,0.0017000000000000001,0.0129,0.0546,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.49793260000000006,0.0232,0.0019,0.011800000000000001,0.0546,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5007759,0.027800000000000012,0.0018000000000000002,0.0112,0.05550000000000001,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.49735119999999994,0.023399999999999973,0.0027,0.0113,0.0512,eff_su2_r5_d2
MNIST_QNN_eff_su2_r5_d2_p7_s145,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5096699,0.03750000000000002,0.0022,0.0102,0.052500000000000005,eff_su2_r5_d2
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5118676000000001,0.0387,0.0010999999999999998,0.011099999999999999,0.0568,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5095932,0.03949999999999999,0.0017000000000000001,0.0115,0.045399999999999996,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5154288,0.04290000000000001,0.0015,0.010100000000000001,0.05539999999999999,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5087678,0.04250000000000002,0.0009000000000000001,0.0089,0.0482,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,loss_mia,0,10,0.5154885,0.041200000000000014,0.0035000000000000005,0.015400000000000002,0.054900000000000004,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.5020576999999999,0.030699999999999984,0.0012000000000000001,0.011000000000000001,0.047,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.49982609999999994,0.030000000000000006,0.0013000000000000002,0.0079,0.0489,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5116569999999999,0.042799999999999984,0.0009000000000000001,0.009499999999999998,0.0482,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.50864025,0.03530000000000001,0.003,0.014500000000000002,0.05450000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5106961999999999,0.03850000000000002,0.001,0.009200000000000002,0.055099999999999996,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s143,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.4925548999999999,0.025800000000000007,0.0020000000000000005,0.008400000000000001,0.0417,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5138604000000001,0.039900000000000005,0.0043,0.011699999999999999,0.0563,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5042548000000001,0.03180000000000001,0.0023000000000000004,0.0116,0.0499,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5139346,0.04200000000000002,0.004000000000000001,0.0137,0.05840000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5132013000000001,0.047599999999999996,0.0021999999999999997,0.011,0.0505,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,loss_mia,0,10,0.528818,0.05870000000000005,0.005600000000000001,0.018,0.0665,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.5092269500000001,0.0381,0.0024000000000000002,0.0128,0.0487,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.5079203999999999,0.03690000000000002,0.0016,0.012,0.054200000000000005,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5090722,0.03549999999999999,0.0024000000000000002,0.012,0.0519,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5137007,0.041199999999999994,0.0036999999999999997,0.015799999999999998,0.05700000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5112784999999999,0.037200000000000004,0.0025,0.011800000000000001,0.05450000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s144,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5206732000000001,0.056900000000000006,0.003,0.0113,0.053200000000000004,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.515892,0.04250000000000001,0.0036000000000000003,0.011699999999999999,0.055400000000000005,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5069086,0.03700000000000001,0.0010999999999999998,0.0088,0.040299999999999996,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5156221000000001,0.04200000000000001,0.0021000000000000003,0.013099999999999997,0.05600000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5112523,0.03960000000000002,0.0004,0.008,0.048,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,loss_mia,0,10,0.5176858,0.05119999999999998,0.0023,0.010299999999999998,0.0514,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.4928764,0.018800000000000004,0.0018000000000000002,0.0103,0.0474,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.4913497499999999,0.019400000000000008,0.0013000000000000002,0.01,0.0485,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5101972,0.04029999999999999,0.0029000000000000002,0.011,0.0508,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5173832999999999,0.0507,0.0029,0.015500000000000003,0.05720000000000001,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5162313000000001,0.04029999999999999,0.0020000000000000005,0.014000000000000002,0.06179999999999999,z_r1_d6
MNIST_QNN_z_r1_d6_p7_s145,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5079746,0.03890000000000001,0.0018000000000000002,0.0082,0.0436,z_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5152015999999999,0.040900000000000006,0.0030000000000000005,0.0131,0.05650000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5233311999999999,0.05379999999999998,0.0009000000000000001,0.0095,0.053700000000000005,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.517257,0.042,0.0035000000000000005,0.012499999999999999,0.056600000000000004,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5214706,0.05930000000000002,0.0015,0.009199999999999998,0.0455,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,loss_mia,0,10,0.5375216,0.0669,0.0017000000000000001,0.009699999999999999,0.0663,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.50367,0.03160000000000002,0.0016,0.011,0.05620000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.5030099000000001,0.0337,0.0029000000000000002,0.0127,0.0516,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5060818,0.03580000000000001,0.0015,0.0093,0.0568,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5060969,0.030499999999999992,0.0048000000000000004,0.014600000000000002,0.055900000000000005,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5116996,0.03810000000000001,0.0027999999999999995,0.015200000000000002,0.05900000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s143,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5258012999999999,0.056299999999999996,0.0036000000000000003,0.017099999999999997,0.0637,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5174077,0.042,0.0045000000000000005,0.016300000000000002,0.05789999999999999,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5291321999999999,0.06420000000000001,0.0016,0.0106,0.05499999999999999,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5190788000000001,0.04679999999999997,0.0063,0.018000000000000006,0.05740000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5260068999999999,0.0632,0.0034000000000000002,0.0116,0.0546,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,loss_mia,0,10,0.515221,0.052299999999999944,0.0038,0.015400000000000002,0.04920000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.49461205,0.018600000000000005,0.0014,0.009699999999999999,0.0462,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.49584035000000004,0.022899999999999997,0.0029000000000000002,0.010199999999999999,0.048299999999999996,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5120753,0.0414,0.0016,0.011200000000000002,0.054700000000000006,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5215414,0.051900000000000016,0.0036999999999999997,0.0124,0.05650000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5194741,0.04700000000000003,0.0048000000000000004,0.0164,0.0581,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s144,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5142247999999999,0.045,0.0018000000000000002,0.010499999999999999,0.0482,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5176846000000002,0.044799999999999986,0.0044,0.0173,0.06400000000000002,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5278653,0.06400000000000002,0.0016,0.009899999999999999,0.0534,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5151705,0.04279999999999999,0.004,0.0166,0.0663,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5243768999999999,0.06860000000000002,0.0021,0.0101,0.0469,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,loss_mia,0,10,0.5440296,0.0771,0.0016,0.016000000000000004,0.07339999999999999,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.5069693000000001,0.03420000000000002,0.0016,0.011700000000000002,0.049,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.50524325,0.03269999999999999,0.0019000000000000002,0.009699999999999999,0.053000000000000005,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.5163602,0.045000000000000026,0.0015,0.0116,0.057600000000000005,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,matched_reference_lira_online_fixed_variance,16,10,0.5135105999999999,0.0395,0.0031000000000000003,0.015600000000000003,0.0605,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,noise_augmented_lira,16,10,0.5205503,0.0455,0.0043,0.017400000000000002,0.06680000000000001,zz_r1_d6
MNIST_QNN_zz_r1_d6_p7_s145,leave_target_out,noisy_shot,128,target_crossfit_learned_mia,0,10,0.5230089,0.05619999999999999,0.0035000000000000005,0.013600000000000001,0.06180000000000001,zz_r1_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,affine_channel_lira,16,10,0.5181658,0.0465,0.0013999999999999998,0.013800000000000002,0.06709999999999999,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,deconvolved_lira,16,10,0.5186569,0.04870000000000001,0.0013000000000000002,0.013499999999999998,0.06600000000000002,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,empirical_channel_lira,16,10,0.5207882999999999,0.045700000000000005,0.0015,0.0132,0.0613,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,latent_lira_mismatched,16,10,0.5331869,0.077,0.0016,0.01,0.0485,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,loss_mia,0,10,0.5521537999999999,0.0907,0.0026000000000000003,0.0181,0.0694,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline,16,10,0.5059740500000001,0.0335,0.0013000000000000002,0.0092,0.0516,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_offline_fixed_variance,16,10,0.50515675,0.03500000000000002,0.0026,0.009600000000000001,0.055400000000000005,zz_r5_d6
MNIST_QNN_zz_r5_d6_p7_s143,leave_target_out,noisy_shot,128,matched_reference_lira_online,16,10,0.52597185,0.057499999999999975,0.0016,0.0103,0.05540000000000002,zz_r5_d6
