target_id,cell,mode,shots,contrast,left_attack,right_attack,auc_difference,advantage_difference,tpr_at_0_1pct_fpr_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
MNIST_QNN_eff_su2_r5_d2_p7_s145,eff_su2_r5_d2,noisy_shot,128,matched_reference_minus_mismatched,matched_reference_lira_online_fixed_variance,latent_lira_mismatched,0.002601399999999976,0.003100000000000002,-0.0006000000000000001,-0.0002999999999999999,0.005400000000000009
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,affine_minus_learned,affine_channel_lira,target_crossfit_learned_mia,0.019312700000000182,0.012899999999999991,-0.0009000000000000006,0.0026999999999999975,0.015100000000000002
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,affine_minus_loss,affine_channel_lira,loss_mia,-0.003620899999999927,-0.002500000000000016,-0.0024000000000000007,-0.0043000000000000035,0.001899999999999999
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,affine_minus_matched_reference,affine_channel_lira,matched_reference_lira_online_fixed_variance,0.003227350000000073,0.0033999999999999864,-0.0019000000000000002,-0.0034000000000000037,0.0022999999999999965
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,affine_minus_mismatched,affine_channel_lira,latent_lira_mismatched,0.003099800000000097,-0.0038000000000000186,0.00019999999999999977,0.002199999999999999,0.008600000000000003
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,matched_reference_minus_learned,matched_reference_lira_online_fixed_variance,target_crossfit_learned_mia,0.01608535000000011,0.009500000000000005,0.0009999999999999996,0.006100000000000001,0.012800000000000006
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,matched_reference_minus_loss,matched_reference_lira_online_fixed_variance,loss_mia,-0.00684825,-0.0059000000000000025,-0.0005000000000000004,-0.0008999999999999998,-0.0003999999999999976
MNIST_QNN_z_r1_d6_p7_s143,z_r1_d6,noisy_shot,128,matched_reference_minus_mismatched,matched_reference_lira_online_fixed_variance,latent_lira_mismatched,-0.0001275499999999763,-0.007200000000000005,0.0021,0.0056000000000000025,0.006300000000000007
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,affine_minus_learned,affine_channel_lira,target_crossfit_learned_mia,-0.006812799999999952,-0.017,0.0013,0.0003999999999999993,0.0030999999999999986
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,affine_minus_loss,affine_channel_lira,loss_mia,-0.014957599999999904,-0.018800000000000046,-0.0013000000000000008,-0.0063,-0.0102
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,affine_minus_matched_reference,affine_channel_lira,matched_reference_lira_online_fixed_variance,0.00015970000000009588,-0.0012999999999999887,0.0006000000000000003,-0.0040999999999999995,-0.0007000000000000062
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,affine_minus_mismatched,affine_channel_lira,latent_lira_mismatched,0.0006591000000000236,-0.007699999999999992,0.0021000000000000003,0.0006999999999999992,0.0058
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,matched_reference_minus_learned,matched_reference_lira_online_fixed_variance,target_crossfit_learned_mia,-0.006972500000000048,-0.015700000000000013,0.0006999999999999997,0.004499999999999999,0.0038000000000000048
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,matched_reference_minus_loss,matched_reference_lira_online_fixed_variance,loss_mia,-0.0151173,-0.017500000000000057,-0.001900000000000001,-0.0022000000000000006,-0.009499999999999995
MNIST_QNN_z_r1_d6_p7_s144,z_r1_d6,noisy_shot,128,matched_reference_minus_mismatched,matched_reference_lira_online_fixed_variance,latent_lira_mismatched,0.0004993999999999277,-0.006400000000000003,0.0015,0.004799999999999999,0.006500000000000006
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,noisy_shot,128,affine_minus_learned,affine_channel_lira,target_crossfit_learned_mia,0.007917399999999963,0.003599999999999999,0.0018000000000000002,0.003499999999999998,0.011800000000000005
MNIST_QNN_z_r1_d6_p7_s145,z_r1_d6,noisy_shot,128,affine_minus_loss,affine_channel_lira,loss_mia,-0.0017937999999999565,-0.008699999999999972,0.0013000000000000004,0.0014000000000000002,0.0040000000000000036
