fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.7350739
0.125,0.025,0.72919804
0.125,0.05,0.72701764
0.15,0.05,0.726329
0.15,0.2,0.71594006
0.175,0.2,0.71566874
0.175,0.225,0.70534766
0.2,0.225,0.7017809
0.2,0.25,0.6983197
0.225,0.25,0.69530296
0.225,0.3,0.66939986
0.275,0.3,0.65927017
0.275,0.35,0.62001956
0.3,0.35,0.61768645
0.3,0.375,0.6165657
0.325,0.375,0.6086688
0.325,0.4,0.6067236
0.35,0.4,0.56605196
0.35,0.425,0.56044894
0.375,0.425,0.5602829
0.375,0.475,0.5562669
0.45,0.475,0.5328243
0.45,0.575,0.5177107
0.475,0.575,0.5070972
0.475,0.625,0.50260895
0.5,0.625,0.5005849
0.5,0.65,0.5005114
0.55,0.65,0.49097967
0.55,0.7,0.4901761
0.6,0.7,0.48923585
0.6,0.75,0.3333353
0.625,0.75,0.3181857
0.625,0.775,0.3161839
0.65,0.775,0.31456795
0.65,0.825,0.31167966
0.725,0.825,0.2978588
0.725,0.875,0.28591213
0.875,0.875,0.27602363
0.875,0.9,0.27569276
0.925,0.9,0.26992276
0.925,1.0,0.26347837
1.0,1.0,0.24549694
