fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.6588632
0.0,0.075,0.6537252
0.025,0.075,0.64122486
0.025,0.1,0.6333335
0.05,0.1,0.6299674
0.05,0.125,0.61749774
0.075,0.125,0.61090726
0.075,0.15,0.6105006
0.125,0.15,0.6031736
0.125,0.2,0.59487027
0.15,0.2,0.57717663
0.15,0.225,0.5752904
0.2,0.225,0.5658726
0.2,0.25,0.5639371
0.225,0.25,0.56388193
0.225,0.275,0.56310964
0.25,0.275,0.5629761
0.25,0.3,0.5623989
0.275,0.3,0.56218195
0.275,0.325,0.5607474
0.35,0.325,0.5575572
0.35,0.375,0.546786
0.4,0.375,0.54079986
0.4,0.4,0.5407042
0.425,0.4,0.5366106
0.425,0.425,0.53648573
0.45,0.425,0.5315731
0.45,0.525,0.52051723
0.5,0.525,0.519506
0.5,0.55,0.51934636
0.575,0.55,0.51332366
0.575,0.575,0.51253146
0.65,0.575,0.50160533
0.65,0.6,0.5008202
0.675,0.6,0.50045097
0.675,0.825,0.48719224
0.75,0.825,0.4760285
0.75,0.85,0.47307682
0.8,0.85,0.45816723
0.8,0.875,0.4550499
0.825,0.875,0.44472462
0.825,0.925,0.4243583
0.875,0.925,0.3829533
0.875,0.95,0.3781591
0.9,0.95,0.377604
0.9,0.975,0.37379202
0.925,0.975,0.36952594
0.925,1.0,0.36525753
1.0,1.0,0.27431974
