fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.8600347
0.025,0.025,0.85707176
0.05,0.025,0.8339868
0.05,0.2,0.7071417
0.075,0.2,0.6977368
0.075,0.25,0.69407004
0.1,0.25,0.68230784
0.1,0.3,0.6653006
0.125,0.3,0.65399456
0.125,0.325,0.6437735
0.225,0.325,0.6146455
0.225,0.35,0.60250646
0.25,0.35,0.5931128
0.25,0.425,0.58266854
0.3,0.425,0.57809716
0.3,0.475,0.57714677
0.425,0.475,0.5750833
0.425,0.5,0.5655114
0.525,0.5,0.5445526
0.525,0.525,0.5432132
0.65,0.525,0.43933976
0.65,0.55,0.43312198
0.7,0.55,0.42589548
0.7,0.6,0.42192551
0.75,0.6,0.41874972
0.75,0.625,0.41702732
0.8,0.625,0.4154301
0.8,0.725,0.4134216
0.825,0.725,0.4035997
0.825,0.75,0.38591257
0.85,0.75,0.37852883
0.85,0.85,0.35678533
0.875,0.85,0.3336218
0.875,0.95,0.30353436
0.9,0.95,0.29957122
0.9,0.975,0.2787855
0.95,0.975,0.26502624
0.95,1.0,0.2473101
1.0,1.0,0.23203248
