contrast,attack,comparator,targets,auc_difference_mean,auc_difference_positive_targets,auc_difference_ci_low,auc_difference_ci_high,empirical_tpr_at_1pct_fpr_difference_mean,empirical_tpr_at_1pct_fpr_difference_positive_targets,empirical_tpr_at_1pct_fpr_difference_ci_low,empirical_tpr_at_1pct_fpr_difference_ci_high,actual_victim_fpr_difference_mean,actual_victim_fpr_difference_positive_targets,actual_victim_fpr_difference_ci_low,actual_victim_fpr_difference_ci_high,operational_tpr_difference_mean,operational_tpr_difference_positive_targets,operational_tpr_difference_ci_low,operational_tpr_difference_ci_high,loss_conditioned_auc_difference_mean,loss_conditioned_auc_difference_positive_targets,loss_conditioned_auc_difference_ci_low,loss_conditioned_auc_difference_ci_high
paired_joint_minus_loss,paired_joint_probe,loss_mia,6,-0.009182833333333307,2,-0.02207666666666665,0.003258000000000057,-0.003333333333333334,0,-0.006333333333333333,-0.0013333333333333335,-0.005166666666666667,2,-0.01,-0.00033333333333333316,-0.009333333333333334,1,-0.0165,-0.002166666666666667,0.009475689756316805,4,-0.0012338626919140006,0.020185242204547614
paired_joint_minus_learned,paired_joint_probe,learned_mia,6,-0.008185666666666647,1,-0.013308666666666674,-0.0029611666666666445,-0.006833333333333333,1,-0.012666666666666666,-0.001333333333333333,-0.005,1,-0.009000000000000001,-0.001,-0.01,1,-0.018833333333333334,-0.0023333333333333335,0.0010995182456021528,3,-0.006675673527434922,0.011261286765107311
paired_joint_minus_classical_stochastic,paired_joint_probe,classical_stochastic_control,6,-0.0014289999999999765,1,-0.006316499999999947,0.004258499999999998,-0.0030000000000000005,1,-0.006833333333333332,0.0008333333333333333,-0.0055000000000000005,0,-0.008000000000000002,-0.002333333333333333,-0.0075,0,-0.010499999999999999,-0.0045,0.004253710926069854,5,-0.00016642160740593104,0.009007732306096028
fixed_joint_minus_learned,fixed_joint,learned_mia,6,-0.014096000000000034,1,-0.021388500000000032,-0.0067276666666667055,-0.005666666666666667,2,-0.013166666666666669,0.001833333333333333,2.8912057932946783e-19,3,-0.008666666666666666,0.010000000000000002,-0.002833333333333333,1,-0.02033333333333333,0.0165,-0.008824140002999062,2,-0.01874826721254541,0.0012335423787490822
paired_joint_minus_fixed_joint,paired_joint_probe,fixed_joint,6,0.005910333333333388,4,-0.0015671666666666195,0.012948500000000047,-0.0011666666666666668,2,-0.005,0.002666666666666667,-0.005000000000000002,3,-0.01484166666666667,0.003333333333333334,-0.007166666666666666,4,-0.021833333333333333,0.0045000000000000005,0.009923658248601216,6,0.004270610754422828,0.01774307649969557
