victim_target_id,calibration_target_id,structural_cell_id,attack,auc,empirical_tpr_at_1pct_fpr,empirical_attained_fpr,nominal_fpr,calibration_threshold,actual_victim_fpr,operational_tpr,loss_conditioned_auc,loss_conditioned_bins,loss_conditioned_records,victim_members,victim_nonmembers,calibration_members,calibration_nonmembers,training_rows_before_identity_aggregation,training_rows_removed_for_held_identity_overlap,training_unique_content_identities,feature_count,attacker
MNIST_QNN_eff_su2_r1_d2_q0_s247,MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_marginal_probe,0.503052,0.011,0.01,0.01,0.6359126236561647,0.025,0.028,0.4954196770940722,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s247,MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,paired_joint_probe,0.5152399999999999,0.009,0.01,0.01,0.6703806073521652,0.003,0.005,0.5102816539268873,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s247,MNIST_QNN_eff_su2_r1_d2_q0_s248,eff_su2_r1_d2,clean_z_diagnostic,0.504999,0.011,0.01,0.01,0.6202796536025837,0.053,0.058,0.5069254285530361,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,loss_mia,0.5029870000000001,0.014,0.01,0.01,0.9729630708694458,0.004,0.006,0.5171201361040352,20,2000,1000,1000,1000,1000,8000,0,8000,1,raw score
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,learned_mia,0.5142950000000001,0.019,0.01,0.01,0.6129589455068639,0.005,0.014,0.5203992371215364,20,2000,1000,1000,1000,1000,8000,0,8000,9,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,classical_stochastic_control,0.5175879999999999,0.013,0.01,0.01,0.641018337729922,0.006,0.008,0.5189758868551567,20,2000,1000,1000,1000,1000,8000,0,8000,17,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,fixed_marginal,0.50773,0.005,0.01,0.01,0.6528091907419512,0.001,0.0,0.5095529900610177,20,2000,1000,1000,1000,1000,8000,0,8000,21,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,fixed_joint,0.516235,0.015,0.01,0.01,0.9384504561737449,0.0,0.0,0.5137675156790336,20,2000,1000,1000,1000,1000,8000,0,8000,100,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_probability_probe,0.500213,0.015,0.01,0.01,0.6228970064120595,0.006,0.012,0.495963458465885,20,2000,1000,1000,1000,1000,8000,0,8000,37,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_marginal_probe,0.502481,0.008,0.01,0.01,0.7431434858215221,0.001,0.0,0.5025744211553502,20,2000,1000,1000,1000,1000,8000,0,8000,67,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,paired_joint_probe,0.5131060000000001,0.003,0.01,0.01,0.9986585589153386,0.005,0.002,0.5143973158666774,20,2000,1000,1000,1000,1000,8000,0,8000,304,"fixed MLP(64,32), seeds 41/42/43"
MNIST_QNN_eff_su2_r1_d2_q0_s248,MNIST_QNN_eff_su2_r1_d2_q0_s246,eff_su2_r1_d2,clean_z_diagnostic,0.503117,0.007,0.01,0.01,0.7462143182381196,0.0,0.0,0.5036078940059012,20,2000,1000,1000,1000,1000,8000,0,8000,15,"fixed MLP(64,32), seeds 41/42/43"
