attack,targets,auc_mean,auc_sd_targets,auc_ci_low,auc_ci_high,empirical_tpr_at_1pct_fpr_mean,empirical_tpr_at_1pct_fpr_sd_targets,empirical_tpr_at_1pct_fpr_ci_low,empirical_tpr_at_1pct_fpr_ci_high,actual_victim_fpr_mean,actual_victim_fpr_sd_targets,actual_victim_fpr_ci_low,actual_victim_fpr_ci_high,operational_tpr_mean,operational_tpr_sd_targets,operational_tpr_ci_low,operational_tpr_ci_high,loss_conditioned_auc_mean,loss_conditioned_auc_sd_targets,loss_conditioned_auc_ci_low,loss_conditioned_auc_ci_high
loss_mia,6,0.5254413333333333,0.022232719803628738,0.5152623333333333,0.5359361666666667,0.013166666666666667,0.001169045194450012,0.0125,0.013833333333333333,0.0095,0.0064109281699298425,0.005,0.013999999999999999,0.014333333333333332,0.010269696522617729,0.006999999999999999,0.021666666666666667,0.50363711637621,0.011298147240085148,0.4953680467057274,0.5119061860466927
learned_mia,6,0.5244441666666666,0.012102077531013666,0.5191773333333334,0.5312358333333334,0.016666666666666666,0.007916228058025278,0.011,0.0225,0.009333333333333332,0.004633213427705081,0.006000000000000001,0.012666666666666666,0.015,0.011207140580897518,0.008333333333333333,0.02383333333333333,0.5120132878869247,0.014434939171195791,0.5018476627684619,0.522443379458629
classical_stochastic_control,6,0.5176875,0.007181561856588028,0.5136404999999999,0.5214701666666667,0.012833333333333335,0.003868677637987774,0.010166666666666666,0.015666666666666666,0.009833333333333335,0.0034880749227427245,0.007333333333333334,0.012,0.012500000000000002,0.005468089245796927,0.008666666666666666,0.01633333333333333,0.508859095206457,0.006322501929895639,0.5047794754961996,0.5134990786041875
fixed_marginal,6,0.5098768333333333,0.01308557844983043,0.5002021666666666,0.5175956666666668,0.010833333333333334,0.00365604522218567,0.0085,0.013166666666666667,0.017333333333333336,0.023131508093219226,0.0033333333333333335,0.036333333333333336,0.01883333333333333,0.02313799184602386,0.0036666666666666666,0.03716666666666667,0.5068121964406666,0.011240552779110718,0.4980649357206438,0.5136763067851459
fixed_joint,6,0.5103481666666666,0.008955605762128392,0.5060321666666666,0.5159855,0.011000000000000001,0.0031622776601683794,0.009166666666666667,0.012833333333333332,0.009333333333333334,0.013677231688710503,0.0013333333333333333,0.019833333333333335,0.012166666666666668,0.018486932321687844,0.0013333333333333333,0.026500000000000003,0.5031891478839257,0.008129704295204543,0.49727608762312236,0.5091022081447287
paired_probability_probe,6,0.5136323333333334,0.008055536944652825,0.509312,0.5187415,0.0105,0.0032710854467592246,0.008166666666666666,0.012499999999999999,0.006499999999999999,0.0037282703764614502,0.004,0.009166666666666667,0.006833333333333334,0.005036533199202271,0.0038291666666666673,0.0105,0.49860632614556294,0.01323542466048284,0.49188113439124825,0.5058734338579085
paired_marginal_probe,6,0.5026028333333333,0.01195129926688585,0.4935763333333334,0.5094673333333333,0.009166666666666668,0.0017224014243685081,0.008,0.010333333333333333,0.014166666666666666,0.012367969383317,0.006,0.0225,0.016833333333333336,0.01835665183704988,0.005333333333333334,0.03016666666666667,0.4960382205113329,0.011693512146058562,0.48748780723303586,0.503623294655384
paired_joint_probe,6,0.5162585,0.005154030878836482,0.5125348333333333,0.5198689999999999,0.009833333333333333,0.0037638632635454052,0.0075000000000000015,0.011833333333333333,0.004333333333333334,0.002065591117977289,0.0033333333333333335,0.005333333333333334,0.005,0.0034058772731852802,0.003833333333333333,0.00617083333333331,0.5131128061325269,0.006722376047657234,0.5085174844406753,0.517527205102857
clean_z_diagnostic,6,0.526938,0.02339318065590912,0.5211101666666667,0.5338073333333334,0.010666666666666666,0.004273952113286561,0.007666666666666667,0.013500000000000002,0.07883333333333334,0.154728687277656,0.005666666666666666,0.20066666666666672,0.08650000000000001,0.16475041729840928,0.0071666666666666675,0.2165,0.5164995975290878,0.013005768169501886,0.5102844283042794,0.5227659120373476
