shots,nominal_fpr,n_replicates,mismatched_minus_matched_actual_fpr_median,mismatched_minus_matched_actual_fpr_q05,mismatched_minus_matched_actual_fpr_q95,matched_minus_mismatched_calibrated_tpr_median,matched_minus_mismatched_calibrated_tpr_q05,matched_minus_mismatched_calibrated_tpr_q95
1024,0.001,30,0.009236111111111112,0.008256944444444443,0.010152777777777778,-0.003333333333333334,-0.004826388888888888,-0.001868055555555558
1024,0.01,30,0.021805555555555557,0.02055555555555556,0.024395833333333335,-0.007500000000000007,-0.009812500000000005,-0.005555555555555556
128,0.001,30,0.013402777777777777,0.01236111111111111,0.014659722222222223,-0.007291666666666665,-0.0086875,-0.004680555555555558
128,0.01,30,0.026875,0.024090277777777773,0.028902777777777777,-0.010902777777777775,-0.013409722222222222,-0.007694444444444451
256,0.001,30,0.013263888888888888,0.011312500000000001,0.014180555555555556,-0.006111111111111116,-0.007576388888888885,-0.004583333333333332
256,0.01,30,0.027013888888888896,0.024340277777777777,0.029319444444444443,-0.012291666666666673,-0.013840277777777774,-0.009861111111111112
32,0.001,30,0.00798611111111111,0.006298611111111111,0.009305555555555555,-0.00375,-0.006048611111111112,-0.0022569444444444455
32,0.01,30,0.021249999999999998,0.018381944444444444,0.02305555555555555,-0.007430555555555551,-0.010736111111111111,-0.005465277777777783
512,0.001,30,0.0125,0.011111111111111112,0.013826388888888888,-0.00736111111111111,-0.009180555555555555,-0.006236111111111111
512,0.01,30,0.022638888888888896,0.021312500000000005,0.02515277777777778,-0.007916666666666662,-0.010270833333333333,-0.004923611111111111
64,0.001,30,0.011180555555555555,0.009493055555555557,0.0124375,-0.0045138888888888885,-0.0056458333333333326,-0.0027500000000000024
64,0.01,30,0.02618055555555556,0.02253472222222222,0.027868055555555556,-0.011111111111111113,-0.014256944444444442,-0.0078125
