scope,shots,attack,n_replicates,n_member_median,n_member_q05,n_member_q95,n_nonmember_median,n_nonmember_q05,n_nonmember_q95,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,attained_fpr_at_0_1pct_fpr_median,attained_fpr_at_0_1pct_fpr_q05,attained_fpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,attained_fpr_at_1pct_fpr_median,attained_fpr_at_1pct_fpr_q05,attained_fpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95,attained_fpr_at_5pct_fpr_median,attained_fpr_at_5pct_fpr_q05,attained_fpr_at_5pct_fpr_q95,auc_leakage_recovery
eff_su2_r1_d2,1024,channel_lira_matched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5275888888888889,0.5199816666666667,0.5344431944444444,0.06666666666666665,0.05500000000000005,0.08091666666666669,0.005,0.0033333333333333335,0.01258333333333333,0.0,0.0,0.0,0.0225,0.017416666666666667,0.034249999999999996,0.01,0.006666666666666667,0.01,0.06,0.04833333333333333,0.06941666666666665,0.04833333333333333,0.043333333333333335,0.05,0.7950052029136322
eff_su2_r1_d2,1024,channel_lira_mismatched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5289305555555556,0.5260506944444445,0.5325794444444445,0.065,0.06000000000000005,0.07425000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0033333333333333335,0.006666666666666667,0.0075,0.006666666666666667,0.01,0.04666666666666667,0.04,0.05425,0.05,0.04666666666666667,0.05,0.8336668534379263
eff_su2_r1_d2,1024,deconvolved_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5345194444444444,0.5265076388888889,0.5437156944444443,0.07666666666666666,0.06333333333333332,0.09516666666666669,0.0,0.0,0.007583333333333329,0.0,0.0,0.0,0.0175,0.010750000000000001,0.02608333333333332,0.008333333333333333,0.006666666666666667,0.01,0.065,0.052250000000000005,0.07258333333333333,0.0475,0.043333333333333335,0.05,0.9947170415432648
eff_su2_r1_d2,1024,naive_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5288208333333333,0.5260925,0.5327141666666666,0.06666666666666671,0.06000000000000005,0.07591666666666669,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0033333333333333335,0.006666666666666667,0.008333333333333333,0.006666666666666667,0.01,0.045,0.03908333333333333,0.050916666666666666,0.05,0.04666666666666667,0.05,0.8305050828463936
eff_su2_r1_d2,1024,oracle_latent_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5347027777777777,0.5347027777777777,0.5347027777777777,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.04833333333333333,0.04833333333333333,0.04833333333333333,1.0
eff_su2_r1_d2,128,channel_lira_matched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5245555555555556,0.5048361111111112,0.5352955555555556,0.0566666666666667,0.039083333333333366,0.07441666666666664,0.004166666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.028333333333333332,0.018333333333333333,0.03924999999999999,0.01,0.006666666666666667,0.01,0.07166666666666667,0.05408333333333334,0.09141666666666663,0.05,0.044083333333333335,0.05,0.7075962539021857
eff_su2_r1_d2,128,channel_lira_mismatched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5298680555555556,0.5206930555555556,0.5399213888888889,0.06333333333333335,0.05074999999999997,0.08308333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.005833333333333334,0.0024166666666666672,0.01,0.01,0.006666666666666667,0.01,0.05333333333333334,0.043333333333333335,0.07258333333333333,0.05,0.04575,0.05,0.8606819819098717
eff_su2_r1_d2,128,deconvolved_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5367347222222222,0.5135330555555555,0.55070625,0.07166666666666666,0.053333333333333344,0.09624999999999997,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.009166666666666667,0.0016666666666666668,0.02258333333333333,0.01,0.004083333333333334,0.01,0.06,0.04466666666666667,0.08424999999999999,0.05,0.04575,0.05,1.0585527895621545
eff_su2_r1_d2,128,naive_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5288319444444444,0.5205604166666667,0.5392348611111111,0.0683333333333333,0.05149999999999997,0.08591666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0024166666666666672,0.008333333333333333,0.008333333333333333,0.004083333333333334,0.01,0.043333333333333335,0.02891666666666667,0.05333333333333334,0.05,0.044833333333333336,0.05,0.8308252621468007
eff_su2_r1_d2,128,oracle_latent_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5347027777777777,0.5347027777777777,0.5347027777777777,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.04833333333333333,0.04833333333333333,0.04833333333333333,1.0
eff_su2_r1_d2,256,channel_lira_matched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5246388888888889,0.5143777777777778,0.5339518055555557,0.05666666666666664,0.04741666666666667,0.07016666666666667,0.005,0.0016666666666666668,0.010916666666666663,0.0,0.0,0.0,0.03,0.02075,0.03833333333333333,0.009166666666666667,0.006666666666666667,0.01,0.06833333333333333,0.05316666666666667,0.08424999999999999,0.05,0.045,0.05,0.7099975986552471
eff_su2_r1_d2,256,channel_lira_mismatched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5304402777777778,0.52277375,0.5374340277777777,0.06083333333333335,0.05075000000000001,0.07258333333333339,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0016666666666666668,0.008333333333333333,0.008333333333333333,0.0024166666666666672,0.01,0.05333333333333334,0.042416666666666665,0.06516666666666666,0.05,0.044833333333333336,0.05,0.8771712158808948
eff_su2_r1_d2,256,deconvolved_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5354222222222222,0.5155516666666666,0.5487141666666667,0.07500000000000004,0.053333333333333344,0.08591666666666664,0.0,0.0,0.000916666666666662,0.0,0.0,0.0,0.015,0.004083333333333334,0.027583333333333328,0.01,0.007416666666666667,0.01,0.06583333333333333,0.049833333333333334,0.07866666666666665,0.05,0.04575,0.05,1.0207316097014343
eff_su2_r1_d2,256,naive_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5300125,0.5219276388888889,0.5368723611111111,0.06500000000000006,0.053166666666666675,0.07683333333333327,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0016666666666666668,0.006666666666666667,0.0075,0.0024166666666666672,0.01,0.045,0.03666666666666667,0.05925,0.05,0.045,0.05,0.8648443128151772
eff_su2_r1_d2,256,oracle_latent_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5347027777777777,0.5347027777777777,0.5347027777777777,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.04833333333333333,0.04833333333333333,0.04833333333333333,1.0
eff_su2_r1_d2,32,channel_lira_matched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5132166666666667,0.5006181944444444,0.5363954166666667,0.04750000000000004,0.03741666666666667,0.0718333333333333,0.0033333333333333335,0.0,0.010916666666666663,0.0,0.0,0.0,0.021666666666666667,0.014083333333333333,0.029249999999999995,0.008333333333333333,0.006666666666666667,0.01,0.075,0.055,0.09108333333333332,0.049166666666666664,0.043166666666666666,0.05,0.38085327783558787
eff_su2_r1_d2,32,channel_lira_mismatched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5216583333333333,0.5075531944444445,0.54134375,0.0566666666666667,0.03983333333333334,0.08258333333333331,0.0,0.0,0.003499999999999991,0.0,0.0,0.0,0.01,0.0033333333333333335,0.015916666666666662,0.008333333333333333,0.005750000000000001,0.01,0.06,0.042416666666666665,0.07183333333333333,0.05,0.043333333333333335,0.05,0.6241095013207402
eff_su2_r1_d2,32,deconvolved_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5253680555555555,0.511378611111111,0.5512248611111111,0.06416666666666665,0.04466666666666665,0.0966666666666667,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.0075,0.0016666666666666668,0.015,0.008333333333333333,0.0015000000000000007,0.01,0.055,0.035,0.07091666666666667,0.049166666666666664,0.045,0.05,0.7310093652445373
eff_su2_r1_d2,32,naive_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5281305555555555,0.5106386111111112,0.5437236111111111,0.06916666666666668,0.04833333333333334,0.09258333333333335,0.0,0.0,0.0016666666666666668,0.0,0.0,0.0,0.005,0.0007500000000000003,0.009249999999999996,0.008333333333333333,0.0007500000000000003,0.01,0.0475,0.036333333333333336,0.06274999999999999,0.049166666666666664,0.044083333333333335,0.05,0.8106139438085332
eff_su2_r1_d2,32,oracle_latent_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5347027777777777,0.5347027777777777,0.5347027777777777,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.04833333333333333,0.04833333333333333,0.04833333333333333,1.0
eff_su2_r1_d2,512,channel_lira_matched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5260527777777777,0.5171955555555556,0.5393540277777777,0.06333333333333341,0.05166666666666675,0.08683333333333339,0.006666666666666667,0.0007500000000000003,0.01258333333333333,0.0,0.0,0.0,0.02666666666666667,0.019833333333333335,0.03666666666666667,0.01,0.008333333333333333,0.01,0.065,0.0565,0.0735,0.049166666666666664,0.045,0.05,0.7507404146321924
eff_su2_r1_d2,512,channel_lira_mismatched,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5294749999999999,0.5238770833333333,0.5374591666666667,0.06833333333333336,0.05483333333333333,0.07758333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0016666666666666668,0.007583333333333329,0.008333333333333333,0.005,0.01,0.051666666666666666,0.03833333333333333,0.06758333333333333,0.05,0.04666666666666667,0.05,0.8493556391579268
eff_su2_r1_d2,512,deconvolved_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5331597222222222,0.5227225,0.550438611111111,0.07333333333333336,0.06500000000000006,0.09758333333333333,0.0,0.0,0.004583333333333309,0.0,0.0,0.0,0.02,0.01,0.03166666666666667,0.01,0.008333333333333333,0.01,0.06583333333333333,0.05041666666666667,0.08333333333333333,0.04833333333333333,0.045,0.05,0.9555350996558071
eff_su2_r1_d2,512,naive_mean_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5291777777777777,0.5235161111111111,0.5372336111111111,0.07083333333333336,0.056500000000000036,0.08274999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0016666666666666668,0.006666666666666667,0.01,0.006666666666666667,0.01,0.045,0.035750000000000004,0.060333333333333315,0.05,0.04575,0.05,0.8407908428720081
eff_su2_r1_d2,512,oracle_latent_lira,30,600.0,600.0,600.0,600.0,600.0,600.0,0.5347027777777777,0.5347027777777777,0.5347027777777777,0.07499999999999996,0.07499999999999996,0.07499999999999996,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0,0.0,0.015,0.015,0.015,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.06,0.06,0.06,0.04833333333333333,0.04833333333333333,0.04833333333333333,1.0
