shots,replicate,attack,nominal_fpr,threshold,actual_fpr,calibrated_tpr
32,0,channel_lira_matched,0.001,2.6578842680419865,0.008611111111111111,0.02347222222222222
32,0,channel_lira_matched,0.01,1.5131405243631273,0.03319444444444444,0.07291666666666667
32,0,channel_lira_mismatched,0.001,2.8267944052336635,0.01597222222222222,0.026111111111111113
32,0,channel_lira_mismatched,0.01,1.651156805341863,0.05555555555555555,0.08402777777777778
32,1,channel_lira_matched,0.001,2.6578842680419865,0.007361111111111111,0.02388888888888889
32,1,channel_lira_matched,0.01,1.5131405243631273,0.03388888888888889,0.07666666666666666
32,1,channel_lira_mismatched,0.001,2.8267944052336635,0.01625,0.02722222222222222
32,1,channel_lira_mismatched,0.01,1.651156805341863,0.05361111111111111,0.08291666666666667
32,2,channel_lira_matched,0.001,2.6578842680419865,0.008194444444444445,0.025138888888888888
32,2,channel_lira_matched,0.01,1.5131405243631273,0.03263888888888889,0.07555555555555556
32,2,channel_lira_mismatched,0.001,2.8267944052336635,0.014722222222222222,0.02847222222222222
32,2,channel_lira_mismatched,0.01,1.651156805341863,0.050416666666666665,0.08125
32,3,channel_lira_matched,0.001,2.6578842680419865,0.008611111111111111,0.023055555555555555
32,3,channel_lira_matched,0.01,1.5131405243631273,0.03180555555555555,0.07902777777777778
32,3,channel_lira_mismatched,0.001,2.8267944052336635,0.014722222222222222,0.02666666666666667
32,3,channel_lira_mismatched,0.01,1.651156805341863,0.050972222222222224,0.08486111111111111
32,4,channel_lira_matched,0.001,2.6578842680419865,0.008055555555555555,0.02375
32,4,channel_lira_matched,0.01,1.5131405243631273,0.030416666666666668,0.07555555555555556
32,4,channel_lira_mismatched,0.001,2.8267944052336635,0.014722222222222222,0.029861111111111113
32,4,channel_lira_mismatched,0.01,1.651156805341863,0.05277777777777778,0.08333333333333333
32,5,channel_lira_matched,0.001,2.6578842680419865,0.009305555555555555,0.024583333333333332
32,5,channel_lira_matched,0.01,1.5131405243631273,0.03027777777777778,0.0775
32,5,channel_lira_mismatched,0.001,2.8267944052336635,0.017638888888888888,0.029583333333333333
32,5,channel_lira_mismatched,0.01,1.651156805341863,0.0525,0.08583333333333333
32,6,channel_lira_matched,0.001,2.6578842680419865,0.007361111111111111,0.024583333333333332
32,6,channel_lira_matched,0.01,1.5131405243631273,0.03111111111111111,0.07236111111111111
32,6,channel_lira_mismatched,0.001,2.8267944052336635,0.015416666666666667,0.02875
32,6,channel_lira_mismatched,0.01,1.651156805341863,0.051111111111111114,0.08194444444444444
32,7,channel_lira_matched,0.001,2.6578842680419865,0.008194444444444445,0.024722222222222222
32,7,channel_lira_matched,0.01,1.5131405243631273,0.034722222222222224,0.07541666666666667
32,7,channel_lira_mismatched,0.001,2.8267944052336635,0.015277777777777777,0.030694444444444444
32,7,channel_lira_mismatched,0.01,1.651156805341863,0.05527777777777778,0.08305555555555555
