shots,attack,nominal_fpr,n_replicates,threshold_median,threshold_q05,threshold_q95,actual_fpr_median,actual_fpr_q05,actual_fpr_q95,calibrated_tpr_median,calibrated_tpr_q05,calibrated_tpr_q95
1024,channel_lira_matched,0.001,30,2.9907316332867144,2.9907316332867144,2.9907316332867144,0.017361111111111112,0.01645138888888889,0.018131944444444444,0.03951388888888889,0.03818055555555556,0.04049305555555555
1024,channel_lira_matched,0.01,30,1.7599082154646342,1.7599082154646342,1.7599082154646342,0.05388888888888889,0.0525,0.05507638888888889,0.09701388888888889,0.09589583333333333,0.09888888888888889
1024,channel_lira_mismatched,0.001,30,3.1326155265113305,3.1326155265113305,3.1326155265113305,0.02666666666666667,0.025833333333333333,0.02715972222222222,0.04284722222222222,0.042006944444444444,0.0436875
1024,channel_lira_mismatched,0.01,30,1.788672710373419,1.788672710373419,1.788672710373419,0.07576388888888888,0.07492361111111111,0.07708333333333334,0.10472222222222222,0.10347222222222222,0.10592361111111111
128,channel_lira_matched,0.001,30,2.962454060674418,2.962454060674418,2.962454060674418,0.011319444444444444,0.010604166666666666,0.012222222222222223,0.031180555555555555,0.029229166666666667,0.03322222222222222
128,channel_lira_matched,0.01,30,1.6726672144395283,1.6726672144395283,1.6726672144395283,0.043055555555555555,0.04081944444444444,0.04476388888888889,0.08861111111111111,0.08561805555555556,0.09021527777777778
128,channel_lira_mismatched,0.001,30,2.998352845156433,2.998352845156433,2.998352845156433,0.024722222222222222,0.02388888888888889,0.025770833333333333,0.03798611111111111,0.03625,0.04002777777777778
128,channel_lira_mismatched,0.01,30,1.7386672719961427,1.7386672719961427,1.7386672719961427,0.06944444444444445,0.06739583333333334,0.07195833333333333,0.09909722222222223,0.0965625,0.10189583333333334
256,channel_lira_matched,0.001,30,3.030224923952233,3.030224923952233,3.030224923952233,0.0125,0.01151388888888889,0.013763888888888888,0.033263888888888885,0.03263888888888889,0.034840277777777776
256,channel_lira_matched,0.01,30,1.7402479751538353,1.7402479751538353,1.7402479751538353,0.04597222222222222,0.043583333333333335,0.04819444444444444,0.0907638888888889,0.0887986111111111,0.0926388888888889
256,channel_lira_mismatched,0.001,30,3.116677080161694,3.116677080161694,3.116677080161694,0.025555555555555557,0.024708333333333332,0.02652777777777778,0.039375,0.03818055555555556,0.04064583333333333
256,channel_lira_mismatched,0.01,30,1.763278669596332,1.763278669596332,1.763278669596332,0.07291666666666667,0.071375,0.07396527777777778,0.10291666666666667,0.10089583333333334,0.10470138888888889
32,channel_lira_matched,0.001,30,2.6578842680419865,2.6578842680419865,2.6578842680419865,0.00798611111111111,0.007284722222222222,0.009118055555555555,0.024166666666666666,0.02277777777777778,0.025909722222222223
32,channel_lira_matched,0.01,30,1.5131405243631273,1.5131405243631273,1.5131405243631273,0.03347222222222222,0.030416666666666668,0.035708333333333335,0.07548611111111111,0.07213194444444444,0.07834722222222222
32,channel_lira_mismatched,0.001,30,2.8267944052336635,2.8267944052336635,2.8267944052336635,0.01597222222222222,0.014506944444444444,0.017375,0.02847222222222222,0.02679166666666667,0.0299375
32,channel_lira_mismatched,0.01,30,1.651156805341863,1.651156805341863,1.651156805341863,0.05458333333333333,0.050666666666666665,0.05675694444444444,0.08263888888888889,0.08061805555555555,0.08558333333333333
512,channel_lira_matched,0.001,30,3.0314143177475903,3.0314143177475903,3.0314143177475903,0.014652777777777778,0.013875,0.015833333333333335,0.03652777777777778,0.035125,0.03777777777777778
512,channel_lira_matched,0.01,30,1.733117785096795,1.733117785096795,1.733117785096795,0.05125,0.049430555555555554,0.05303472222222222,0.09513888888888888,0.09352083333333333,0.09674305555555555
512,channel_lira_mismatched,0.001,30,3.04258950898225,3.04258950898225,3.04258950898225,0.02736111111111111,0.02666666666666667,0.028055555555555556,0.04416666666666667,0.042826388888888886,0.04515277777777778
512,channel_lira_mismatched,0.01,30,1.7929533369475623,1.7929533369475623,1.7929533369475623,0.07388888888888889,0.07297916666666666,0.07586111111111112,0.10347222222222222,0.10117361111111112,0.1045486111111111
64,channel_lira_matched,0.001,30,2.7799788887532633,2.7799788887532633,2.7799788887532633,0.010138888888888888,0.009229166666666667,0.010972222222222222,0.029097222222222222,0.028180555555555556,0.03120138888888889
64,channel_lira_matched,0.01,30,1.6067824158604156,1.6067824158604156,1.6067824158604156,0.03826388888888889,0.03665277777777778,0.04029166666666666,0.08277777777777778,0.07995833333333334,0.08444444444444445
64,channel_lira_mismatched,0.001,30,2.917331206218741,2.917331206218741,2.917331206218741,0.021111111111111112,0.0200625,0.02257638888888889,0.03333333333333333,0.03263888888888889,0.035229166666666666
64,channel_lira_mismatched,0.01,30,1.6916081762103021,1.6916081762103021,1.6916081762103021,0.06430555555555556,0.06170138888888889,0.06577083333333333,0.09347222222222223,0.09159027777777777,0.09541666666666666
