shots,replicate,nominal_fpr,mismatched_minus_matched_actual_fpr,matched_minus_mismatched_calibrated_tpr
32,0,0.001,0.00736111111111111,-0.002638888888888892
32,0,0.01,0.02236111111111111,-0.011111111111111113
32,1,0.001,0.00888888888888889,-0.0033333333333333305
32,1,0.01,0.019722222222222217,-0.0062500000000000056
32,2,0.001,0.0065277777777777764,-0.003333333333333334
32,2,0.01,0.017777777777777774,-0.005694444444444446
32,3,0.001,0.0061111111111111106,-0.0036111111111111135
32,3,0.01,0.019166666666666672,-0.005833333333333329
32,4,0.001,0.006666666666666666,-0.006111111111111112
32,4,0.01,0.02236111111111111,-0.007777777777777772
32,5,0.001,0.008333333333333333,-0.005000000000000001
32,5,0.01,0.02222222222222222,-0.008333333333333331
32,6,0.001,0.008055555555555555,-0.004166666666666669
32,6,0.01,0.020000000000000004,-0.009583333333333333
32,7,0.001,0.007083333333333332,-0.0059722222222222225
32,7,0.01,0.020555555555555556,-0.007638888888888876
32,8,0.001,0.007361111111111112,-0.005555555555555553
32,8,0.01,0.018194444444444444,-0.011388888888888879
32,9,0.001,0.008194444444444445,-0.005000000000000001
32,9,0.01,0.02208333333333333,-0.007499999999999993
32,10,0.001,0.008888888888888889,-0.004444444444444442
32,10,0.01,0.02111111111111111,-0.00736111111111111
32,11,0.001,0.008611111111111113,-0.0026388888888888885
32,11,0.01,0.020694444444444446,-0.008611111111111111
32,12,0.001,0.009305555555555555,-0.0034722222222222203
32,12,0.01,0.02236111111111111,-0.005833333333333343
32,13,0.001,0.00902777777777778,-0.004722222222222221
32,13,0.01,0.022083333333333337,-0.0076388888888888895
32,14,0.001,0.005972222222222221,-0.005138888888888891
32,14,0.01,0.021527777777777785,-0.008611111111111111
32,15,0.001,0.007916666666666667,-0.003333333333333334
32,15,0.01,0.020694444444444446,-0.005694444444444446
32,16,0.001,0.008472222222222223,-0.0036111111111111135
32,16,0.01,0.018611111111111113,-0.00736111111111111
32,17,0.001,0.007083333333333332,-0.003194444444444444
32,17,0.01,0.02305555555555555,-0.0069444444444444475
32,18,0.001,0.007361111111111112,-0.0026388888888888885
32,18,0.01,0.018750000000000003,-0.005277777777777784
32,19,0.001,0.008333333333333335,-0.004583333333333335
32,19,0.01,0.021388888888888888,-0.007499999999999993
32,20,0.001,0.006527777777777778,-0.0030555555555555544
32,20,0.01,0.0225,-0.009583333333333333
32,21,0.001,0.009861111111111112,-0.006249999999999999
32,21,0.01,0.02305555555555555,-0.005972222222222226
32,22,0.001,0.008749999999999999,-0.003194444444444444
32,22,0.01,0.02263888888888889,-0.007222222222222213
32,23,0.001,0.008055555555555554,-0.0038888888888888896
32,23,0.01,0.019861111111111114,-0.0069444444444444475
32,24,0.001,0.007083333333333334,-0.001944444444444443
32,24,0.01,0.019027777777777775,-0.007222222222222227
32,25,0.001,0.007777777777777779,-0.005555555555555553
32,25,0.01,0.02375,-0.008472222222222228
32,26,0.001,0.006944444444444444,-0.0018055555555555568
32,26,0.01,0.019166666666666665,-0.008611111111111111
32,27,0.001,0.008472222222222221,-0.003888888888888886
32,27,0.01,0.02291666666666667,-0.003194444444444444
32,28,0.001,0.0065277777777777764,-0.003333333333333334
32,28,0.01,0.021527777777777778,-0.005972222222222212
32,29,0.001,0.009305555555555555,-0.0049999999999999975
32,29,0.01,0.020555555555555556,-0.010277777777777775
64,0,0.001,0.012361111111111111,-0.004722222222222221
64,0,0.01,0.02416666666666667,-0.010416666666666671
64,1,0.001,0.01138888888888889,-0.004027777777777779
64,1,0.01,0.025694444444444443,-0.015
64,2,0.001,0.010000000000000002,-0.0036111111111111135
64,2,0.01,0.025833333333333333,-0.00736111111111111
64,3,0.001,0.010416666666666668,-0.004166666666666666
64,3,0.01,0.024444444444444442,-0.008611111111111111
64,4,0.001,0.01125,-0.005138888888888887
64,4,0.01,0.026805555555555555,-0.012638888888888894
64,5,0.001,0.010555555555555558,-0.005277777777777777
64,5,0.01,0.021944444444444447,-0.011111111111111113
64,6,0.001,0.010972222222222223,-0.0052777777777777805
64,6,0.01,0.025972222222222216,-0.011527777777777776
64,7,0.001,0.010833333333333335,-0.0050000000000000044
64,7,0.01,0.026527777777777782,-0.00888888888888889
64,8,0.001,0.013055555555555556,-0.00361111111111111
64,8,0.01,0.02694444444444445,-0.010555555555555554
64,9,0.001,0.010416666666666666,-0.004583333333333335
64,9,0.01,0.027638888888888886,-0.009444444444444436
64,10,0.001,0.01152777777777778,-0.003194444444444444
64,10,0.01,0.024722222222222222,-0.011805555555555555
64,11,0.001,0.011111111111111112,-0.0037500000000000033
64,11,0.01,0.028055555555555563,-0.014027777777777778
64,12,0.001,0.011805555555555554,-0.004166666666666666
64,12,0.01,0.026388888888888892,-0.010138888888888892
64,13,0.001,0.00986111111111111,-0.005833333333333333
64,13,0.01,0.025833333333333333,-0.013333333333333322
64,14,0.001,0.011666666666666667,-0.005416666666666667
64,14,0.01,0.02902777777777777,-0.00916666666666667
64,15,0.001,0.012222222222222223,-0.0025000000000000022
64,15,0.01,0.026527777777777775,-0.009861111111111112
64,16,0.001,0.009166666666666668,-0.005277777777777774
64,16,0.01,0.02291666666666666,-0.01291666666666666
64,17,0.001,0.011111111111111112,-0.0030555555555555544
