scope,scope_id,mode,shots,attack,reference_count,n_replicates,auc_median,auc_q05,auc_q95,advantage_median,advantage_q05,advantage_q95,tpr_at_0_1pct_fpr_median,tpr_at_0_1pct_fpr_q05,tpr_at_0_1pct_fpr_q95,tpr_at_1pct_fpr_median,tpr_at_1pct_fpr_q05,tpr_at_1pct_fpr_q95,tpr_at_5pct_fpr_median,tpr_at_5pct_fpr_q05,tpr_at_5pct_fpr_q95
cell,eff_su2_r1_d2,exact,0,exact_output_fitted_lira,16,1,0.5349555555555556,0.5349555555555556,0.5349555555555556,0.0733333333333333,0.0733333333333333,0.0733333333333333,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.056666666666666664,0.056666666666666664,0.056666666666666664
cell,eff_su2_r1_d2,exact,0,exact_output_fitted_lira,4,1,0.49054444444444445,0.49054444444444445,0.49054444444444445,0.03666666666666668,0.03666666666666668,0.03666666666666668,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333
cell,eff_su2_r1_d2,exact,0,exact_output_fitted_lira,8,1,0.5216777777777778,0.5216777777777778,0.5216777777777778,0.07333333333333336,0.07333333333333336,0.07333333333333336,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.01,0.01,0.01,0.08,0.08,0.08
cell,eff_su2_r1_d2,exact,0,loss_mia,0,1,0.5211222222222223,0.5211222222222223,0.5211222222222223,0.056666666666666754,0.056666666666666754,0.056666666666666754,0.01,0.01,0.01,0.03,0.03,0.03,0.06,0.06,0.06
cell,eff_su2_r1_d2,exact,0,target_crossfit_learned_mia,0,1,0.4622555555555556,0.4622555555555556,0.4622555555555556,0.00666666666666671,0.00666666666666671,0.00666666666666671,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333
cell,eff_su2_r1_d2,ideal_shot,1024,affine_channel_lira,16,10,0.5120222222222223,0.4971166666666667,0.5517905555555556,0.06333333333333335,0.04816666666666668,0.10516666666666667,0.0033333333333333335,0.0,0.010333333333333326,0.013333333333333332,0.0033333333333333335,0.02183333333333333,0.04833333333333334,0.03333333333333333,0.09249999999999999
cell,eff_su2_r1_d2,ideal_shot,1024,affine_channel_lira,4,10,0.5131,0.4878605555555556,0.5296655555555556,0.065,0.03383333333333331,0.08433333333333333,0.0016666666666666668,0.0,0.012166666666666655,0.006666666666666667,0.0033333333333333335,0.016999999999999994,0.03,0.021166666666666667,0.04
cell,eff_su2_r1_d2,ideal_shot,1024,affine_channel_lira,8,10,0.5065111111111111,0.4953866666666667,0.5389077777777778,0.05000000000000003,0.039666666666666676,0.11033333333333334,0.0033333333333333335,0.0,0.013333333333333334,0.015,0.008166666666666668,0.035833333333333314,0.06166666666666667,0.044833333333333336,0.08316666666666664
cell,eff_su2_r1_d2,ideal_shot,1024,deconvolved_lira,16,10,0.5121166666666668,0.49885166666666664,0.5639222222222222,0.06833333333333336,0.04666666666666672,0.12283333333333338,0.0,0.0,0.0033333333333333335,0.01,0.0033333333333333335,0.023666666666666662,0.045,0.0245,0.07183333333333333
cell,eff_su2_r1_d2,ideal_shot,1024,deconvolved_lira,4,10,0.4975333333333333,0.4711555555555556,0.5324633333333333,0.06333333333333335,0.00966666666666673,0.09799999999999993,0.0033333333333333335,0.0,0.008499999999999997,0.01,0.0015,0.016999999999999994,0.03833333333333333,0.023,0.05033333333333333
cell,eff_su2_r1_d2,ideal_shot,1024,deconvolved_lira,8,10,0.5148499999999999,0.5073033333333333,0.5576777777777777,0.06500000000000003,0.05633333333333334,0.1285,0.0,0.0,0.005166666666666663,0.01,0.0033333333333333335,0.018499999999999996,0.058333333333333334,0.0315,0.07183333333333333
cell,eff_su2_r1_d2,ideal_shot,1024,empirical_channel_lira,16,10,0.5073166666666666,0.49457944444444446,0.5528227777777778,0.065,0.03999999999999997,0.1085,0.0033333333333333335,0.0,0.011833333333333331,0.015,0.0033333333333333335,0.028499999999999998,0.056666666666666664,0.032,0.07516666666666666
cell,eff_su2_r1_d2,ideal_shot,1024,empirical_channel_lira,4,10,0.5153888888888889,0.4972072222222222,0.5328166666666666,0.06666666666666665,0.03683333333333333,0.07850000000000001,0.0033333333333333335,0.0,0.01549999999999999,0.01,0.0033333333333333335,0.020333333333333328,0.04,0.0315,0.05216666666666665
cell,eff_su2_r1_d2,ideal_shot,1024,empirical_channel_lira,8,10,0.5176222222222222,0.5036783333333333,0.5424100000000001,0.065,0.053333333333333344,0.10366666666666666,0.006666666666666667,0.0,0.01366666666666666,0.013333333333333334,0.008166666666666668,0.025166666666666664,0.056666666666666664,0.03266666666666667,0.07666666666666666
cell,eff_su2_r1_d2,ideal_shot,1024,latent_lira_mismatched,16,10,0.5130722222222222,0.4993994444444444,0.5636927777777777,0.06833333333333336,0.04116666666666674,0.12583333333333335,0.0,0.0,0.0033333333333333335,0.008333333333333333,0.0033333333333333335,0.020333333333333328,0.04666666666666667,0.026000000000000002,0.07249999999999998
cell,eff_su2_r1_d2,ideal_shot,1024,latent_lira_mismatched,4,10,0.4970166666666667,0.4702766666666666,0.5329216666666666,0.06000000000000005,0.014166666666666683,0.09316666666666665,0.0033333333333333335,0.0,0.008499999999999997,0.01,0.0015,0.016999999999999994,0.03666666666666667,0.02,0.05033333333333333
cell,eff_su2_r1_d2,ideal_shot,1024,latent_lira_mismatched,8,10,0.5153166666666666,0.5063294444444445,0.5583888888888889,0.06500000000000006,0.056666666666666726,0.127,0.0,0.0,0.005166666666666663,0.008333333333333333,0.0033333333333333335,0.018499999999999996,0.056666666666666664,0.0315,0.0755
cell,eff_su2_r1_d2,ideal_shot,1024,loss_mia,0,10,0.5223055555555556,0.505333888888889,0.5349111111111111,0.07333333333333336,0.04600000000000003,0.08516666666666668,0.005,0.0033333333333333335,0.01366666666666666,0.016666666666666666,0.01,0.023666666666666662,0.045,0.03666666666666667,0.058499999999999996
cell,eff_su2_r1_d2,ideal_shot,1024,noise_augmented_lira,16,10,0.5115666666666667,0.5003616666666667,0.5518161111111111,0.05833333333333339,0.03783333333333336,0.12066666666666666,0.006666666666666667,0.0,0.020333333333333328,0.016666666666666666,0.0,0.03549999999999999,0.06666666666666667,0.03933333333333333,0.107
