cell,mode,shots,fold,n_train_public_nonmember_pairs,n_test_public_nonmember_pairs,intercept,slope,scale,train_rmse,train_r_squared,train_residual_mean,train_residual_std,train_residual_skew,train_residual_excess_kurtosis,train_coverage_90pct,test_rmse,test_r_squared,test_residual_mean,test_residual_std,test_residual_skew,test_residual_excess_kurtosis,test_coverage_90pct
eff_su2_r1_d2,ideal_shot,128,0,2400,600,-0.2395066027006395,1.0000893977577467,1.6043807849372826,1.6037121536163343,0.5143103416286062,-8.585724723767877e-17,1.6037121536163343,0.02644879417967994,1.395449081438736,0.9029166666666667,1.5019978641170944,0.4677029537871369,-0.06080279739187515,1.500766671951918,-0.050639163319160393,1.1480143770366809,0.9233333333333333
eff_su2_r1_d2,ideal_shot,128,1,2460,540,-0.2705765499043358,1.0062315237889292,1.5796068942844907,1.5789646470962084,0.5283188766025532,-5.77677020943171e-17,1.5789646470962084,0.0207165103122798,1.403762972137737,0.9032520325203252,1.6063528690257394,0.3790569167411212,0.0781863324143647,1.6044489512760494,-0.04245915914735287,1.2273296793315058,0.9
eff_su2_r1_d2,ideal_shot,128,2,2520,480,-0.25463491281716755,1.0080186082855322,1.5730975814775772,1.5724732124982386,0.5004077623120401,-1.1842378929335003e-16,1.5724732124982386,0.05398571759334476,1.4003253654700467,0.9027777777777778,1.6425156855176692,0.534534616816889,-0.020469457008051545,1.642388132720574,-0.20221803681703326,1.1908371689462482,0.8958333333333334
eff_su2_r1_d2,ideal_shot,128,3,2220,780,-0.24949204406733844,1.0103609635192556,1.5228661720698258,1.5221800417479645,0.5075487374559656,-8.321671680073245e-17,1.5221800417479645,-0.016271220281127693,1.548439203432074,0.9081081081081082,1.7478464720640658,0.5017908431993998,-0.03946990822506658,1.747400760058066,0.05850383142165123,0.8901580133393181,0.8576923076923076
eff_su2_r1_d2,ideal_shot,128,4,2400,600,-0.2462738568041989,0.9824306394551391,1.6359435419917754,1.6352617567810894,0.48208888287024754,2.960594732333751e-17,1.6352617567810894,-0.01609565147400976,1.1167276627534113,0.9,1.360620312103442,0.6030827122557607,0.04254936115649766,1.3599548468878082,0.407711412656693,2.7248396743826504,0.9533333333333334
eff_su2_r1_d2,ideal_shot,512,0,2400,600,-0.06696709733302186,1.0186230208538496,0.8139778900341804,0.8136386618927405,0.8101679126883703,-9.769962616701378e-17,0.8136386618927405,-0.14385417522892738,1.2376253127953953,0.8954166666666666,0.8086171527411268,0.7505564706815676,-0.027944403226571667,0.8081341534890587,-0.034350446201385075,0.9506017282283574,0.8883333333333333
eff_su2_r1_d2,ideal_shot,512,1,2460,540,-0.07306284641098182,1.0160421156513577,0.8122237757998351,0.811893536397772,0.8120083230596997,2.8883851047158544e-18,0.811893536397772,-0.07269725467164515,1.25337731937723,0.8943089430894309,0.815891215848587,0.7244013156645155,0.014104883313681387,0.815769286235755,-0.3225724062183919,0.84379948114338,0.8962962962962963
eff_su2_r1_d2,ideal_shot,512,2,2520,480,-0.07001137612410879,1.0221926899836258,0.8047799172708383,0.8044604967711472,0.7973840317004941,-4.5113824492704774e-17,0.8044604967711472,-0.10108139555970289,1.0306127301032246,0.8964285714285715,0.8545347767083503,0.8158518907248543,-0.03346931711095705,0.8538790836038298,-0.23192094236719477,1.7495858907601836,0.8645833333333334
eff_su2_r1_d2,ideal_shot,512,3,2220,780,-0.0699385571494584,1.0079953152257515,0.7869454359631367,0.7865908761632228,0.7934568978975671,-4.800964430811488e-17,0.7865908761632228,-0.12197732560213777,1.2184108484094125,0.8927927927927928,0.8829516788673197,0.813192551306228,0.022115518970070486,0.8826746688533115,-0.08340766148590514,0.9441781872291619,0.8628205128205129
eff_su2_r1_d2,ideal_shot,512,4,2400,600,-0.07430684016776501,1.0162985999659753,0.8440512490885412,0.8436994877692057,0.7891207941778655,7.105427357601002e-17,0.8436994877692057,-0.14753976391224877,1.1154947020774886,0.8941666666666667,0.6741118432418336,0.845958802759511,0.017904681511621025,0.6738740235228465,0.1553297320650626,0.6612477222929156,0.9466666666666667
