mode,shots,simulator_seed,contrast,comparator_attack,reference_count,auc_difference,advantage_difference,tpr_at_1pct_fpr_difference,tpr_at_5pct_fpr_difference
ideal_shot,128,0,affine_minus_loss,loss_mia,16,0.023016222222222216,0.0033333333333332438,0.020666666666666667,0.068
ideal_shot,128,0,affine_minus_target_crossfit_learned_mia,target_crossfit_learned_mia,16,0.027660888888888846,0.015333333333333365,0.016666666666666666,0.04266666666666667
ideal_shot,128,0,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.019902666666666735,0.013333333333333253,0.018000000000000002,0.04666666666666666
ideal_shot,128,0,affine_minus_deconvolved_lira,deconvolved_lira,16,0.018324444444444477,0.01933333333333337,0.016,0.04666666666666666
ideal_shot,128,0,affine_minus_empirical_channel,empirical_channel_lira,16,0.002874666666666692,0.00599999999999995,-0.0019999999999999983,0.010666666666666672
ideal_shot,128,0,affine_minus_noise_augmented,noise_augmented_lira,16,-0.0011084444444444674,0.0013333333333332975,-0.004666666666666666,0.0
ideal_shot,128,1,affine_minus_loss,loss_mia,16,-0.007104444444444469,-0.06400000000000006,0.018,0.036000000000000004
ideal_shot,128,1,affine_minus_target_crossfit_learned_mia,target_crossfit_learned_mia,16,-0.005657333333333292,-0.02733333333333332,0.005333333333333332,0.008000000000000007
ideal_shot,128,1,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.015497333333333363,-1.1102230246251565e-16,0.026,0.044666666666666674
ideal_shot,128,1,affine_minus_deconvolved_lira,deconvolved_lira,16,0.019248444444444512,0.0119999999999999,0.024666666666666663,0.038666666666666676
ideal_shot,128,1,affine_minus_empirical_channel,empirical_channel_lira,16,-0.00260355555555547,-0.012000000000000122,-0.004,0.0026666666666666783
ideal_shot,128,1,affine_minus_noise_augmented,noise_augmented_lira,16,-0.005317333333333285,-0.011333333333333417,-0.0013333333333333357,0.00866666666666667
ideal_shot,128,2,affine_minus_loss,loss_mia,16,0.017157111111111067,-0.014000000000000012,0.014666666666666668,0.06533333333333333
ideal_shot,128,2,affine_minus_target_crossfit_learned_mia,target_crossfit_learned_mia,16,0.015186666666666682,0.004666666666666597,0.02266666666666667,0.049333333333333326
ideal_shot,128,2,affine_minus_mismatched_lira,latent_lira_mismatched,16,0.015185777777777743,0.002666666666666595,0.01666666666666667,0.05
ideal_shot,128,2,affine_minus_deconvolved_lira,deconvolved_lira,16,0.01620844444444447,0.01666666666666672,0.017333333333333333,0.05266666666666667
ideal_shot,128,2,affine_minus_empirical_channel,empirical_channel_lira,16,-5.2000000000052005e-05,0.008000000000000063,-0.0033333333333333305,0.009333333333333332
ideal_shot,128,2,affine_minus_noise_augmented,noise_augmented_lira,16,-0.002724888888888888,0.0,-0.0019999999999999983,-0.0026666666666666644
ideal_shot,128,3,affine_minus_loss,loss_mia,16,0.01800355555555544,-0.03866666666666663,0.022,0.06
ideal_shot,128,3,affine_minus_target_crossfit_learned_mia,target_crossfit_learned_mia,16,0.029304444444444355,0.01333333333333342,0.019999999999999997,0.033333333333333326
