cell,mode,shots,n_replicates,intercept_median,intercept_q05,intercept_q95,slope_median,slope_q05,slope_q95,scale_median,scale_q05,scale_q95,train_r_squared_median,train_r_squared_q05,train_r_squared_q95,test_r_squared_median,test_r_squared_q05,test_r_squared_q95,test_rmse_median,test_rmse_q05,test_rmse_q95,test_residual_skew_median,test_residual_skew_q05,test_residual_skew_q95,test_residual_excess_kurtosis_median,test_residual_excess_kurtosis_q05,test_residual_excess_kurtosis_q95,test_coverage_90pct_median,test_coverage_90pct_q05,test_coverage_90pct_q95
eff_su2_r1_d2,ideal_shot,1024,5,-0.03324555201559998,-0.03616110685035114,-0.025191352790911583,1.0050331795009493,0.9986427855805525,1.0101220239254078,0.5735317671949681,0.5502127013158004,0.5909196131784875,0.8868230379677664,0.8813731687722465,0.8937337423836255,0.8886173679295188,0.8481386622023984,0.9132013023025299,0.5677428149619288,0.4892069865119035,0.6317221606723051,-0.09714829136233193,-0.12719154295279686,0.07551089195423533,1.126074067480971,0.6134137387462869,1.4404504189572467,0.9033333333333333,0.8546153846153846,0.9540740740740741
eff_su2_r1_d2,ideal_shot,128,5,-0.24949204406733844,-0.26738822248690214,-0.24086005352135137,1.0062315237889292,0.9859623911156606,1.009892492472511,1.5796068942844907,1.532912453951376,1.6296309905808768,0.5075487374559656,0.48575265875860607,0.5255171696077637,0.5017908431993998,0.3967861241503243,0.5893730931679864,1.6063528690257394,1.3888958225061725,1.7267803147547864,-0.04245915914735287,-0.17190226211745868,0.33786989640968457,1.1908371689462482,0.9417292860787907,2.4253376753724214,0.9,0.8653205128205128,0.9473333333333334
eff_su2_r1_d2,ideal_shot,512,5,-0.07001137612410879,-0.07405804141640837,-0.06756138929630917,1.0162985999659753,1.0096046753108727,1.0214787561576706,0.8122237757998351,0.790512332224677,0.8380365772776691,0.7973840317004941,0.7899880149218058,0.8116402409854339,0.813192551306228,0.7296323466679259,0.8399374203525797,0.815891215848587,0.7010129051416922,0.8772682984355259,-0.08340766148590514,-0.3044421134481525,0.11739369641177302,0.9441781872291619,0.6977580740630085,1.589789058253818,0.8883333333333333,0.863173076923077,0.9365925925925925
eff_su2_r1_d2,noisy_shot,1024,5,-0.0968257346004987,-0.12259078336517018,-0.09289444887210067,0.8427582241773652,0.8361618400768484,0.8590067623655891,0.6112699329890939,0.5961089994353312,0.6277101852905649,0.8318090697647589,0.8202131178910755,0.8395084117120922,0.8227386505759486,0.7740388253770099,0.8685188576820647,0.6133443786417919,0.5420953131375859,0.6573996557903726,-0.16284114133165206,-0.34741756955648384,-0.061536644909879305,0.7621644675456478,0.6507237404042547,2.2410822281080347,0.8916666666666667,0.8709116809116809,0.9360833333333334
eff_su2_r1_d2,noisy_shot,128,5,-0.3108908689887998,-0.33980404418502846,-0.306285236824431,0.8309083036012334,0.81309764719491,0.8389598220507015,1.5591014707724138,1.5136077947786712,1.6036000542575057,0.421712399477856,0.3985048500150412,0.43768950908035514,0.40933071802684784,0.31721427273560343,0.5127113190044853,1.5581781857869295,1.3643631986707527,1.6878459271214121,-0.18061279512322279,-0.33116213399633654,-0.06401360139868925,1.4164938340263635,0.6241307352508704,2.288934387596721,0.8944444444444445,0.8568589743589743,0.9453333333333332
eff_su2_r1_d2,noisy_shot,512,5,-0.1511226380159394,-0.1721066541567096,-0.14068164610628497,0.8442411438502008,0.8400572904465664,0.8600385863421353,0.8193915775170851,0.8002127903447637,0.8367568201187748,0.7319121695850197,0.7205972418855127,0.7503944129402585,0.7332746059352814,0.6340095793126006,0.7858806849658782,0.8077930572903872,0.7353856728451859,0.877419606843626,-0.14997544826384826,-0.36136774470901756,0.034107368030687334,0.7555393580429981,0.3638646715574835,1.0522921594967387,0.8958333333333334,0.8525641025641025,0.9256666666666667
eff_su2_r5_d2,ideal_shot,1024,5,-0.03659743972680274,-0.03993742670600122,-0.03122344740793239,0.9975253581197315,0.9962863155839377,1.0031565663327118,0.6075956510456211,0.5952860154336675,0.6184716600879658,0.9434909687512973,0.9384444408459582,0.945587314212253,0.9390947211607861,0.9279910300025405,0.9517123627678229,0.6065404225485245,0.5605382288820201,0.6414984443936259,-0.0588478814499036,-0.13010378587878516,0.003388606840623644,0.26866443612022683,-0.10319260249310265,0.5869509488233294,0.895,0.8845833333333333,0.9283703703703704
eff_su2_r5_d2,ideal_shot,128,5,-0.28299778196504777,-0.2958627854780585,-0.2653956577356037,0.9997319398141334,0.9819890004317298,1.023994484658312,1.7536288465008294,1.7391072434591195,1.7727337568554284,0.6756576081997394,0.6323282557533314,0.6804104867569973,0.6183531905364208,0.6019432490630118,0.7280609810029096,1.762725875360162,1.6821837130252444,1.8240020601929303,-0.11895300056605038,-0.2572334132931417,0.2997662007018608,0.5578416411277978,0.11711767962664918,0.758538453685655,0.8948717948717949,0.8920833333333333,0.9085925925925925
eff_su2_r5_d2,ideal_shot,512,5,-0.07917589262997793,-0.09062801586063425,-0.0692406608339375,1.000222168353922,0.9958701500839767,1.0062449056039429,0.8591584146420944,0.845262678222719,0.8748220467250705,0.8937393946952834,0.8809448482731577,0.8990902396091961,0.8863631537872788,0.8514968211829732,0.9127562443758133,0.8713283743105521,0.790995985769116,0.9289002951220168,-0.05576792094583075,-0.12515491022527367,0.2505974159603687,0.2989559410222413,0.09428261730785428,0.5685765772159955,0.8916666666666667,0.8754700854700854,0.927
eff_su2_r5_d2,noisy_shot,1024,5,-0.15577750744626173,-0.1695713079886038,-0.15220804112737069,0.8214678533676593,0.8148359603173352,0.8250637925061314,0.7238233444396726,0.7164085016787902,0.7353481653332467,0.8880029415861248,0.8768706871576752,0.8924656108009389,0.8796917446861674,0.8542949628701622,0.9067530226536292,0.7312701944013448,0.6827551824498699,0.7659827031869448,-0.09280309201629483,-0.2865999957630376,-0.0009705760333809075,0.2990172776909916,0.1007436461832513,0.4475519765594733,0.9018518518518519,0.8734615384615385,0.9183333333333333
