Feature map,Fixed depth,Model seed,Δ gap (reps 5 − 1),Δ LiRA AUC (reps 5 − 1)
EffSU2,2,43,0.0649999976158142,0.02662500000000001
EffSU2,2,44,0.0600000023841858,-0.012824999999999975
EffSU2,2,45,0.1750000119209289,0.08344999999999991
EffSU2,6,43,0.1450000405311585,0.12195
EffSU2,6,44,0.1249999403953553,0.10999999999999999
EffSU2,6,45,0.1600000262260437,0.03660000000000008
Z,2,43,0.16499993205070498,0.009299999999999975
Z,2,44,0.1500000059604645,0.02287499999999998
Z,2,45,0.1399999558925629,0.04364999999999997
Z,6,43,0.11500006914138791,0.06780000000000008
Z,6,44,0.13500005006790158,0.10639999999999994
Z,6,45,0.1449999809265137,0.05162500000000003
ZZ,2,43,0.0699999928474426,0.01122499999999993
ZZ,2,44,0.0400000214576722,-0.025050000000000017
ZZ,2,45,0.09000003337860099,-0.036375000000000046
ZZ,6,43,0.14000004529953,0.053774999999999906
ZZ,6,44,0.1299999952316284,0.05257500000000015
ZZ,6,45,0.1649999618530273,0.06217500000000009
