fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.73872596
0.025,0.025,0.66859144
0.025,0.05,0.668534
0.05,0.05,0.668476
0.05,0.075,0.66846406
0.15,0.075,0.66426754
0.15,0.175,0.646963
0.3,0.175,0.64214957
0.3,0.225,0.64045167
0.325,0.225,0.64031327
0.325,0.275,0.63929254
0.35,0.275,0.6388388
0.35,0.4,0.6318976
0.375,0.4,0.6314137
0.375,0.45,0.6297237
0.4,0.45,0.62628734
0.4,0.475,0.6235899
0.475,0.475,0.62311786
0.475,0.5,0.6226295
0.525,0.5,0.621364
0.525,0.55,0.6176591
0.625,0.55,0.5649766
0.625,0.575,0.5519566
0.65,0.575,0.54342735
0.65,0.625,0.5238328
0.7,0.625,0.5032509
0.7,0.65,0.498901
0.75,0.65,0.4688457
0.75,0.8,0.42820296
0.8,0.8,0.42734095
0.8,0.875,0.4259931
0.825,0.875,0.425847
0.825,0.9,0.42464536
0.875,0.9,0.42430788
0.875,0.925,0.4226422
0.9,0.925,0.42173138
0.9,0.975,0.10671191
1.0,0.975,0.0024711771
1.0,1.0,0.0023915377
