fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.55590886
0.025,0.025,0.5542322
0.075,0.025,0.55225235
0.075,0.1,0.54891545
0.125,0.1,0.54416436
0.125,0.125,0.54363865
0.15,0.125,0.5435071
0.15,0.225,0.54209197
0.275,0.225,0.53422827
0.275,0.25,0.5314183
0.3,0.25,0.5291546
0.3,0.425,0.51005673
0.425,0.425,0.50269306
0.425,0.475,0.5024507
0.45,0.475,0.5023933
0.45,0.5,0.5010133
0.475,0.5,0.50067717
0.475,0.6,0.49862763
0.5,0.6,0.49675152
0.5,0.625,0.49624038
0.55,0.625,0.49456778
0.55,0.8,0.49176705
0.675,0.8,0.47701004
0.675,0.9,0.46429196
0.7,0.9,0.45377836
0.7,0.925,0.45243692
0.775,0.925,0.43106863
0.775,0.95,0.43023765
0.85,0.95,0.41723418
0.85,0.975,0.4164529
0.9,0.975,0.41029012
0.9,1.0,0.40490657
1.0,1.0,0.3578473
