fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.5852955
0.075,0.025,0.5829751
0.075,0.05,0.5823077
0.125,0.05,0.58039314
0.125,0.1,0.58012855
0.175,0.1,0.5790323
0.175,0.125,0.57810676
0.3,0.125,0.56316453
0.3,0.15,0.5623008
0.325,0.15,0.5536531
0.325,0.175,0.54778534
0.35,0.175,0.5463832
0.35,0.25,0.5411591
0.4,0.25,0.52659845
0.4,0.275,0.5251651
0.45,0.275,0.5160672
0.45,0.375,0.5112293
0.5,0.375,0.51012236
0.5,0.425,0.50847185
0.525,0.425,0.5082941
0.525,0.5,0.5040729
0.55,0.5,0.50237495
0.55,0.525,0.50213367
0.575,0.525,0.50163805
0.575,0.6,0.5002262
0.65,0.6,0.49578094
0.65,0.675,0.47590372
0.7,0.675,0.4731285
0.7,0.7,0.4728111
0.75,0.7,0.47270682
0.75,0.725,0.47262558
0.8,0.725,0.47179937
0.8,0.8,0.4711043
0.875,0.8,0.46899128
0.875,0.975,0.44073322
0.95,0.975,0.3870326
0.95,1.0,0.35506937
1.0,1.0,0.2780154
