scheme,shots,contrast,target_id,cell,n_simulator_seeds,mean_auc_difference
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,10,-0.025630000000000007
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,10,0.010159999999999992
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,10,0.005259999999999998
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,10,0.012780000000000036
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,10,0.008879999999999971
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,10,0.005179999999999968
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_z_r1_d6_s43,z_r1_d6,10,0.006920000000000004
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_z_r1_d6_s44,z_r1_d6,10,0.005910000000000004
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_z_r1_d6_s45,z_r1_d6,10,0.031189999999999978
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r1_d6_s43,zz_r1_d6,10,-0.00965999999999998
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r1_d6_s44,zz_r1_d6,10,0.00984999999999997
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r1_d6_s45,zz_r1_d6,10,0.043239999999999966
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,10,-0.012009999999999988
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,10,0.000130000000000019
leave_cell_out,128,affine_minus_mismatched_lira,MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,10,0.004319999999999979
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,10,-0.004180000000000017
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,10,-0.010719999999999985
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r1_d2_s45,eff_su2_r1_d2,10,-0.0021499999999999796
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r5_d2_s43,eff_su2_r5_d2,10,-0.017039999999999944
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r5_d2_s44,eff_su2_r5_d2,10,-0.022699999999999998
leave_cell_out,128,affine_minus_loss,MNIST_QNN_eff_su2_r5_d2_s45,eff_su2_r5_d2,10,-0.021610000000000025
leave_cell_out,128,affine_minus_loss,MNIST_QNN_z_r1_d6_s43,z_r1_d6,10,0.03158999999999999
leave_cell_out,128,affine_minus_loss,MNIST_QNN_z_r1_d6_s44,z_r1_d6,10,0.0005099999999999772
leave_cell_out,128,affine_minus_loss,MNIST_QNN_z_r1_d6_s45,z_r1_d6,10,0.021199999999999997
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r1_d6_s43,zz_r1_d6,10,0.08152999999999999
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r1_d6_s44,zz_r1_d6,10,0.06828
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r1_d6_s45,zz_r1_d6,10,0.08405000000000003
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r5_d6_s43,zz_r5_d6,10,-0.033740000000000006
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r5_d6_s44,zz_r5_d6,10,-0.02021999999999998
leave_cell_out,128,affine_minus_loss,MNIST_QNN_zz_r5_d6_s45,zz_r5_d6,10,-0.0008400000000000296
leave_cell_out,512,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,10,-0.017219999999999996
leave_cell_out,512,affine_minus_mismatched_lira,MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,10,0.0011600000000000165
