target_id,experiment,dataset,architecture,run_id,model_seed,data_seed,attacker_seed,membership_convention,n_wires,depth,target_train_acc,target_test_acc,target_gap_acc,attack_acc,attack_auc,attack_f1,attack_precision,attack_recall,tpr@fpr=0.001,tpr@fpr=0.01,tpr@fpr=0.05,tpr@fpr=0.1,tuning_method,cv_best_auc,final_epochs,attack_results_json
ARCH_eff_control_HQNN_s43,architecture_control,mnist,HQNN,1622,43,43,41,"1=member,0=nonmember",6,2,1.0,0.96,0.040000000000000036,0.5625,0.558125,0.631578947368421,0.5454545454545454,0.75,0.0,0.0,0.05,0.2,optuna,0.6423828125,31,reviewer_results/learned_mia_seed41/ARCH_eff_control_HQNN_s43/attack_results.json
ARCH_eff_control_HQNN_s44,architecture_control,mnist,HQNN,1622,44,43,41,"1=member,0=nonmember",6,2,1.0,0.97,0.030000000000000027,0.5875,0.591875,0.7079646017699115,0.547945205479452,1.0,0.025,0.025,0.075,0.175,optuna,0.61953125,28,reviewer_results/learned_mia_seed41/ARCH_eff_control_HQNN_s44/attack_results.json
ARCH_eff_control_HQNN_s45,architecture_control,mnist,HQNN,1622,45,43,41,"1=member,0=nonmember",6,2,1.0,0.975,0.025000000000000022,0.4375,0.43937500000000007,0.5054945054945055,0.45098039215686275,0.575,0.025,0.025,0.025,0.125,optuna,0.6125,36,reviewer_results/learned_mia_seed41/ARCH_eff_control_HQNN_s45/attack_results.json
ARCH_eff_control_QCNN_s43,architecture_control,mnist,QCNN,1622,43,43,41,"1=member,0=nonmember",6,2,0.845,0.87,-0.025000000000000022,0.5,0.579375,0.42857142857142855,0.5,0.375,0.05,0.05,0.175,0.3,optuna,0.59453125,22,reviewer_results/learned_mia_seed41/ARCH_eff_control_QCNN_s43/attack_results.json
ARCH_eff_control_QCNN_s44,architecture_control,mnist,QCNN,1622,44,43,41,"1=member,0=nonmember",6,2,0.845,0.815,0.030000000000000027,0.5125,0.543125,0.6060606060606061,0.5084745762711864,0.75,0.025,0.025,0.1,0.15,optuna,0.5958984375,15,reviewer_results/learned_mia_seed41/ARCH_eff_control_QCNN_s44/attack_results.json
ARCH_eff_control_QCNN_s45,architecture_control,mnist,QCNN,1622,45,43,41,"1=member,0=nonmember",6,2,0.81,0.81,0.0,0.5,0.5562499999999999,0.5918367346938775,0.5,0.725,0.025,0.025,0.1,0.175,optuna,0.6130859375,6,reviewer_results/learned_mia_seed41/ARCH_eff_control_QCNN_s45/attack_results.json
ARCH_eff_control_QNN_s43,architecture_control,mnist,QNN,1622,43,43,41,"1=member,0=nonmember",6,2,0.685,0.68,0.0050000000000000044,0.525,0.54625,0.5,0.5277777777777778,0.475,0.0,0.0,0.025,0.2,optuna,0.662109375,18,reviewer_results/learned_mia_seed41/ARCH_eff_control_QNN_s43/attack_results.json
ARCH_eff_control_QNN_s44,architecture_control,mnist,QNN,1622,44,43,41,"1=member,0=nonmember",6,2,0.68,0.655,0.025000000000000022,0.525,0.6162500000000001,0.4411764705882353,0.5357142857142857,0.375,0.025,0.025,0.05,0.275,optuna,0.6,31,reviewer_results/learned_mia_seed41/ARCH_eff_control_QNN_s44/attack_results.json
ARCH_eff_control_QNN_s45,architecture_control,mnist,QNN,1622,45,43,41,"1=member,0=nonmember",6,2,0.705,0.665,0.039999999999999925,0.5875,0.4925,0.6526315789473685,0.5636363636363636,0.775,0.025,0.025,0.025,0.025,optuna,0.6119140625,2,reviewer_results/learned_mia_seed41/ARCH_eff_control_QNN_s45/attack_results.json
ARCH_eff_control_mlp_qnn_s43,architecture_control,mnist,MLP_QNN,1622,43,43,41,"1=member,0=nonmember",6,2,0.905,0.775,0.13,0.5375,0.560625,0.4788732394366197,0.5483870967741935,0.425,0.05,0.05,0.1,0.125,optuna,0.6388671875,16,reviewer_results/learned_mia_seed41/ARCH_eff_control_mlp_qnn_s43/attack_results.json
