dataset,fm_kind,reps,train_train_similarity_count,train_train_similarity_mean,train_train_similarity_std,train_test_similarity_count,train_test_similarity_mean,train_test_similarity_std,test_test_similarity_count,test_test_similarity_mean,test_test_similarity_std,within_class_similarity_count,within_class_similarity_mean,within_class_similarity_std,between_class_similarity_count,between_class_similarity_mean,between_class_similarity_std,class_similarity_gap_count,class_similarity_gap_mean,class_similarity_gap_std,mmd2_train_test_count,mmd2_train_test_mean,mmd2_train_test_std,kernel_label_alignment_count,kernel_label_alignment_mean,kernel_label_alignment_std,effective_rank_count,effective_rank_mean,effective_rank_std,encoder_operation_count_count,encoder_operation_count_mean,encoder_operation_count_std,error_bar_type
MNIST,eff_su2,1,3,0.1081382036209106,0.0,3,0.1043144166469574,0.0,3,0.1095278933644294,0.0,3,0.20624610781669608,0.0,3,0.0739990323781967,0.0,3,0.1322470754384994,0.0,3,0.0090372636914253,0.0,3,0.3958018124103546,0.0,3,52.09247970581055,0.0,3,17.0,0.0,mean ± sample SD across independent data seeds
MNIST,eff_su2,5,3,0.0234865956008434,0.0,3,0.0230046417564153,0.0,3,0.023079102858901,0.0,3,0.0403581410646438,0.0,3,0.0175194479525089,0.0,3,0.022838693112134895,0.0,3,0.0005564149469137,0.0,3,0.2159588187932968,0.0,3,160.85394287109375,0.0,3,85.0,0.0,mean ± sample SD across independent data seeds
MNIST,z,1,3,0.2563198208808899,0.0,3,0.249959722161293,0.0,3,0.259106308221817,0.0,3,0.3980758786201477,0.0,3,0.20669226348400108,0.0,3,0.19138361513614646,0.0,3,0.0155066847801208,0.0,3,0.4532751441001892,0.0,3,21.76873779296875,0.0,3,36.0,0.0,mean ± sample SD across independent data seeds
MNIST,z,5,3,0.2653320729732513,0.0,3,0.2793395519256592,0.0,3,0.294588953256607,0.0,3,0.3000344634056091,0.0,3,0.2729891240596771,0.0,3,0.027045339345931996,0.0,3,0.00124192237854,0.0,3,0.1302522718906402,0.0,3,28.937671661376957,0.0,3,180.0,0.0,mean ± sample SD across independent data seeds
MNIST,zz,1,3,0.233973354101181,0.0,3,0.236830472946167,0.0,3,0.2505392134189605,0.0,3,0.3666902482509613,0.0,3,0.197990596294403,0.0,3,0.1686996519565582,0.0,3,0.010851621627807598,0.0,3,0.425552487373352,0.0,3,25.52312469482422,0.0,3,81.0,0.0,mean ± sample SD across independent data seeds
MNIST,zz,5,3,0.0412911586463451,0.0,3,0.0460191816091537,0.0,3,0.0511583164334297,0.0,3,0.0666819438338279,0.0,3,0.0394050031900405,0.0,3,0.0272769406437873,0.0,3,0.00041111186146730003,0.0,3,0.2159210443496704,0.0,3,136.3041534423828,0.0,3,405.0,0.0,mean ± sample SD across independent data seeds
Moons,eff_su2,1,3,0.2540891468524933,0.020740956307030985,3,0.2609843661387761,0.014637642321693805,3,0.26177555322647095,0.011242646899865604,3,0.2835814952850341,0.01450818199405359,3,0.23559171458085373,0.015646660448991767,3,0.04798978070418036,0.00462993681234886,3,-0.006104032198588,0.0011054273797731161,3,0.12580250203609464,0.009759569911017991,3,14.459088961283365,1.0069834643364166,3,11.0,0.0,mean ± sample SD across independent data seeds
Moons,eff_su2,5,3,0.09326978027820583,0.008500340393842626,3,0.09173273543516791,0.005115982732655131,3,0.08909415205319716,0.0022997958955338414,3,0.10545721898476279,0.006624905276892129,3,0.07760024070739743,0.005098159407128621,3,0.027856978277365302,0.006819727993116782,3,-0.0011015385389327667,0.0011786653111350888,3,0.13627931475639335,0.02260966415947835,3,61.11441167195638,4.794303842392611,3,55.0,0.0,mean ± sample SD across independent data seeds
Moons,z,1,3,0.36977387468020123,0.011199268983376974,3,0.3708707590897878,0.005586507058156626,3,0.3638184567292531,0.01567473145073928,3,0.46499793728192645,0.009034164220465499,3,0.273650974035263,0.001959639451336894,3,0.19134696324666337,0.007077112961219289,3,-0.0081491867701212,0.0005935012001038655,3,0.3802675207455953,0.00997971970692734,3,6.743402163187663,0.21393761838738476,3,8.0,0.0,mean ± sample SD across independent data seeds
Moons,z,5,3,0.2723619441191355,0.004361321115707333,3,0.280392716328303,0.006493952710725702,3,0.28458657860755915,0.012931001118826405,3,0.28815433382987976,0.00806146456598358,3,0.27080946167310077,0.006619311799556769,3,0.017344872156778903,0.00199655370223847,3,-0.003836909929911233,0.0033561095687735455,3,0.06323567653695737,0.005155304984992531,3,16.6744384765625,0.7615524636254571,3,40.0,0.0,mean ± sample SD across independent data seeds
Moons,zz,1,3,0.347142626841863,0.015892596187304164,3,0.34766464432080585,0.0030231870451695076,3,0.34016843636830646,0.011169677437704082,3,0.4304500122865041,0.0039054157061463013,3,0.26173808177312213,0.0026714445468558508,3,0.16871193051338193,0.0033148544752994286,3,-0.0080182254314422,0.0005114472015343144,3,0.3555763264497121,0.003928742723034816,3,8.142763296763102,0.2299773955183776,3,17.0,0.0,mean ± sample SD across independent data seeds
Moons,zz,5,3,0.2128761361042658,0.03121008666806291,3,0.22143590450286865,0.02475305368089936,3,0.22676834464073178,0.01727248959651781,3,0.23922761281331376,0.021305851904223665,3,0.20222459733486167,0.026629939266040178,3,0.037003015478451966,0.005362544333073196,3,-0.003227328260739567,0.004563024390156089,3,0.12405089040597277,0.013263258776021919,3,23.327447255452473,1.9050347019750369,3,85.0,0.0,mean ± sample SD across independent data seeds
