metric,contrast,mean_difference,sd_across_dataset_encoder_seed_effects,ci95_low,ci95_high,valid_bootstrap_replicates,ci_method,bootstrap_unit,bootstrap_replicates
train_train_similarity,reps 5 minus reps 1,-0.11013655654258199,0.06679962925514041,-0.1574787068542921,-0.05589301368325125,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
train_test_similarity,reps 5 minus reps 1,-0.10478327495770323,0.07419850232844853,-0.15671801658398993,-0.044215225304166494,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
test_test_similarity,reps 5 minus reps 1,-0.10261006891313526,0.07854815985935923,-0.16097464401067962,-0.04248741723648792,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
within_class_similarity,reps 5 minus reps 1,-0.18502132760153878,0.06184633493239573,-0.23783296309411528,-0.14012440971823206,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
between_class_similarity,reps 5 minus reps 1,-0.06151913127137554,0.08297170025394725,-0.12473132151385977,0.005157723526159859,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
class_similarity_gap,reps 5 minus reps 1,-0.12350219633016321,0.0523612518347739,-0.1580286166837646,-0.07913838414889245,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
mmd2_train_test,reps 5 minus reps 1,-0.0031800755403108114,0.008595414727392123,-0.009557476888100323,0.003061781130317188,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
kernel_label_alignment,reps 5 minus reps 1,-0.20842962939706114,0.11457584226909658,-0.2865347236964024,-0.11209878557258184,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
effective_rank,reps 5 minus reps 1,49.74707812733121,45.67661701529321,15.97772694627444,83.9283900976181,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
encoder_operation_count,reps 5 minus reps 1,113.33333333333333,103.6282950231826,50.0,204.01666666666642,5000,paired hierarchical percentile bootstrap over dataset×encoder blocks with data seeds nested,dataset×encoder block; data seed nested,5000
