fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.66196924
0.15,0.025,0.64579237
0.15,0.05,0.6456535
0.175,0.05,0.6444743
0.175,0.075,0.64224374
0.225,0.075,0.6273417
0.225,0.15,0.6231172
0.275,0.15,0.61455166
0.275,0.2,0.60192347
0.3,0.2,0.5970785
0.3,0.275,0.5797724
0.325,0.275,0.5789619
0.325,0.35,0.57278407
0.35,0.35,0.57179445
0.35,0.375,0.56866044
0.4,0.375,0.5675711
0.4,0.4,0.56554943
0.45,0.4,0.5600431
0.45,0.45,0.50292116
0.475,0.45,0.49746072
0.475,0.55,0.49634403
0.5,0.55,0.4963161
0.5,0.6,0.49603003
0.525,0.6,0.49600616
0.525,0.625,0.4959783
0.65,0.625,0.49583212
0.65,0.675,0.49581048
0.7,0.675,0.49111637
0.7,0.7,0.48744372
0.725,0.7,0.47613177
0.725,0.725,0.4536861
0.925,0.725,0.3902625
0.925,0.975,0.36206874
1.0,0.975,0.35956118
1.0,1.0,0.3433922
