fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.71386147
0.0,0.1,0.70828813
0.05,0.1,0.7081278
0.05,0.125,0.7077163
0.075,0.125,0.70705706
0.075,0.15,0.70443386
0.1,0.15,0.7039475
0.1,0.175,0.7034053
0.175,0.175,0.7000578
0.175,0.225,0.6373834
0.2,0.225,0.6312741
0.2,0.25,0.6286771
0.225,0.25,0.62817
0.225,0.3,0.62619036
0.3,0.3,0.6170759
0.3,0.325,0.6158766
0.35,0.325,0.6142186
0.35,0.425,0.6089209
0.375,0.425,0.6022871
0.375,0.45,0.60051847
0.4,0.45,0.5950367
0.4,0.475,0.5939094
0.45,0.475,0.5743889
0.45,0.525,0.5488769
0.475,0.525,0.5479068
0.475,0.55,0.54391885
0.5,0.55,0.54082125
0.5,0.65,0.5338521
0.525,0.65,0.52485275
0.525,0.675,0.50100964
0.55,0.675,0.49649864
0.55,0.725,0.49180898
0.6,0.725,0.486728
0.6,0.775,0.483459
0.625,0.775,0.4812362
0.625,0.8,0.48023888
0.75,0.8,0.47007415
0.75,0.975,0.33098835
0.775,0.975,0.07891781
0.775,1.0,0.07825938
1.0,1.0,0.04050717
