fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.8061755
0.025,0.025,0.8003638
0.05,0.025,0.79561406
0.05,0.1,0.7596715
0.075,0.1,0.733874
0.075,0.125,0.7322484
0.15,0.125,0.6481981
0.15,0.2,0.607405
0.2,0.2,0.6052732
0.2,0.225,0.6047381
0.225,0.225,0.5971564
0.225,0.275,0.5866475
0.25,0.275,0.5866257
0.25,0.35,0.5802783
0.3,0.35,0.5783184
0.3,0.375,0.576086
0.325,0.375,0.5735544
0.325,0.425,0.571371
0.375,0.425,0.56889623
0.375,0.45,0.5676891
0.425,0.45,0.56213117
0.425,0.475,0.55904746
0.45,0.475,0.55310506
0.45,0.525,0.5505004
0.475,0.525,0.5372278
0.475,0.575,0.53595454
0.575,0.575,0.5276133
0.575,0.625,0.5241151
0.65,0.625,0.51907104
0.65,0.725,0.50853944
0.675,0.725,0.50297815
0.675,0.75,0.49245372
0.7,0.75,0.49172258
0.7,0.85,0.44512442
0.775,0.85,0.4231456
0.775,0.875,0.40589842
0.8,0.875,0.40213597
0.8,0.9,0.40026227
0.875,0.9,0.36665773
0.875,0.925,0.3649021
0.975,0.925,0.24090572
0.975,0.975,0.12462653
1.0,0.975,0.10643361
1.0,1.0,0.10005855
