fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.643242
0.025,0.025,0.6431867
0.025,0.05,0.64314437
0.05,0.05,0.6430818
0.05,0.075,0.6430582
0.075,0.075,0.6430494
0.075,0.1,0.6430419
0.1,0.1,0.6430251
0.1,0.125,0.6428387
0.125,0.125,0.642089
0.125,0.15,0.6417375
0.15,0.15,0.64172846
0.15,0.175,0.64160883
0.175,0.175,0.64133847
0.175,0.2,0.64087343
0.2,0.2,0.63902956
0.2,0.225,0.6362563
0.225,0.225,0.6344856
0.225,0.3,0.63036805
0.25,0.3,0.62812966
0.25,0.35,0.627388
0.3,0.35,0.62152314
0.3,0.425,0.61613214
0.425,0.425,0.58924836
0.425,0.475,0.5806404
0.5,0.475,0.57958835
0.5,0.5,0.5792761
0.525,0.5,0.57902044
0.525,0.525,0.57700104
0.55,0.525,0.5765643
0.55,0.55,0.5759374
0.575,0.55,0.56880057
0.575,0.575,0.5671756
0.6,0.575,0.5636584
0.6,0.6,0.56068206
0.625,0.6,0.55398405
0.625,0.625,0.5327936
0.65,0.625,0.5250749
0.65,0.675,0.5055622
0.675,0.675,0.5046555
0.675,0.7,0.50180084
0.7,0.7,0.5007888
0.7,0.8,0.49959576
0.725,0.8,0.49909705
0.725,0.825,0.49838215
0.775,0.825,0.4971616
0.775,0.85,0.49714258
0.8,0.85,0.4970591
0.8,0.875,0.49704012
0.9,0.875,0.49591237
0.9,0.925,0.49581653
0.925,0.925,0.49568924
0.925,1.0,0.39142942
1.0,1.0,0.0076807607
