attack,dataset,architecture,fm_kind,reps,depth,auc_count,auc_mean,auc_std,tpr_at_0_05_fpr_count,tpr_at_0_05_fpr_mean,tpr_at_0_05_fpr_std,tpr_at_0_10_fpr_count,tpr_at_0_10_fpr_mean,tpr_at_0_10_fpr_std,balanced_accuracy_crossfit_count,balanced_accuracy_crossfit_mean,balanced_accuracy_crossfit_std,membership_advantage_crossfit_count,membership_advantage_crossfit_mean,membership_advantage_crossfit_std,mean_label_queries_count,mean_label_queries_mean,mean_label_queries_std,error_bar_type
label_only_chord_boundary_l2,MNIST,QNN,eff_su2,1,2,3,0.5276083333333333,0.010147670093835976,3,0.08833333333333333,0.01607275126832159,3,0.13833333333333334,0.020816659994661316,3,0.49416666666666664,0.015069284433354304,3,-0.011666666666666665,0.030138568866708442,3,118.86666666666667,2.6633312473917563,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,eff_su2,1,6,3,0.5182583333333333,0.011407784714103449,3,0.09500000000000001,0.030413812651491103,3,0.13,0.025980762113533153,3,0.51,0.02384848003542363,3,0.02,0.04769696007084728,3,127.53333333333335,1.890326250501038,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,eff_su2,5,2,3,0.556975,0.0151451931318158,3,0.06333333333333334,0.02753785273643051,3,0.125,0.0,3,0.5391666666666667,0.043898557303553055,3,0.07833333333333334,0.08779711460710617,3,128.46666666666667,1.514375558880061,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,eff_su2,5,6,3,0.6038333333333333,0.013992555684482202,3,0.075,0.026457513110645904,3,0.16333333333333333,0.023094010767585035,3,0.5858333333333333,0.020207259421636918,3,0.17166666666666663,0.040414518843273774,3,140.33333333333334,0.23094010767584333,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,z,1,2,3,0.5153375,0.020421109635619706,3,0.03833333333333334,0.02362907813126304,3,0.09999999999999999,0.03905124837953328,3,0.5058333333333332,0.021842237370135364,3,0.011666666666666633,0.04368447474027047,3,127.13333333333333,1.1547005383792526,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,z,1,6,3,0.5782375000000001,0.012634631227305234,3,0.06,0.015,3,0.135,0.013228756555322945,3,0.5733333333333334,0.02268442931469366,3,0.1466666666666666,0.045368858629387276,3,133.53333333333333,2.837839553839032,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,z,5,2,3,0.6127541666666666,0.007911821982535608,3,0.08,0.018027756377319945,3,0.155,0.008660254037844393,3,0.5991666666666666,0.012583057392117902,3,0.19833333333333328,0.025166114784235777,3,86.2,2.497999199359353,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,z,5,6,3,0.6509625,0.007349138980179911,3,0.09833333333333333,0.010408329997330667,3,0.16,0.01999999999999999,3,0.6383333333333333,0.011547005383792535,3,0.27666666666666667,0.023094010767584997,3,96.06666666666666,0.611010092660778,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,zz,1,2,3,0.5390666666666667,0.01540018939277474,3,0.05666666666666667,0.02254624876411447,3,0.10333333333333333,0.01258305739211792,3,0.5583333333333333,0.008779711460710597,3,0.1166666666666666,0.017559422921421285,3,122.86666666666667,4.406056437828883,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,zz,1,6,3,0.6119500000000001,0.029789899714500592,3,0.07833333333333332,0.02753785273643051,3,0.14166666666666666,0.018929694486000917,3,0.5966666666666667,0.025041632002194555,3,0.19333333333333333,0.050083264004389075,3,132.86666666666667,1.2220201853215475,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,zz,5,2,3,0.601,0.021607999097556455,3,0.09000000000000001,0.03041381265149109,3,0.14666666666666667,0.05107184482014853,3,0.585,0.030413812651491057,3,0.16999999999999993,0.06082762530298223,3,98.86666666666667,0.46188021535170615,mean ± sample SD across target-model seeds
label_only_chord_boundary_l2,MNIST,QNN,zz,5,6,3,0.6714208333333334,0.02457917796801468,3,0.09500000000000001,0.030413812651491103,3,0.17166666666666666,0.02565800719723443,3,0.6691666666666666,0.01755942292142128,3,0.3383333333333333,0.035118845842842514,3,115.13333333333333,4.201587001756996,mean ± sample SD across target-model seeds
