fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.79811335
0.025,0.125,0.71384996
0.1,0.125,0.70076185
0.1,0.325,0.61293656
0.125,0.325,0.5953957
0.125,0.35,0.5889713
0.15,0.35,0.5674382
0.15,0.4,0.5653977
0.175,0.4,0.56421405
0.175,0.425,0.56149507
0.2,0.425,0.55972433
0.2,0.45,0.5587058
0.225,0.45,0.5579475
0.225,0.5,0.5420631
0.35,0.5,0.5324627
0.35,0.525,0.5323645
0.475,0.525,0.5129999
0.475,0.65,0.5012263
0.55,0.65,0.49640223
0.55,0.675,0.4961646
0.575,0.675,0.49346837
0.575,0.7,0.49302888
0.625,0.7,0.48826462
0.625,0.725,0.48714802
0.675,0.725,0.47362667
0.675,0.8,0.46268085
0.725,0.8,0.4590307
0.725,0.825,0.4506156
0.75,0.825,0.44943288
0.75,0.9,0.43499562
0.875,0.9,0.4154565
0.875,0.925,0.41097277
0.925,0.925,0.40530017
0.925,0.95,0.40405312
0.975,0.95,0.39004144
0.975,0.975,0.38416505
1.0,0.975,0.3680817
1.0,1.0,0.33124635
