fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.822281
0.075,0.0,0.67848855
0.075,0.075,0.6355928
0.1,0.075,0.63094133
0.1,0.1,0.63008976
0.125,0.1,0.6296006
0.125,0.125,0.61289597
0.175,0.125,0.58195055
0.175,0.175,0.56732273
0.2,0.175,0.56715333
0.2,0.225,0.56132644
0.225,0.225,0.53688884
0.225,0.25,0.5340073
0.35,0.25,0.5241879
0.35,0.325,0.512368
0.375,0.325,0.5012394
0.375,0.35,0.500674
0.4,0.35,0.5005436
0.4,0.375,0.5004729
0.45,0.375,0.49547252
0.45,0.525,0.47419912
0.5,0.525,0.47010827
0.5,0.625,0.46291462
0.525,0.625,0.45310804
0.525,0.65,0.43667108
0.575,0.65,0.42083195
0.575,0.7,0.41865373
0.6,0.7,0.41555107
0.6,0.725,0.4134124
0.65,0.725,0.40295005
0.65,0.75,0.40280312
0.775,0.75,0.39211828
0.775,0.775,0.38359365
0.8,0.775,0.38144964
0.8,0.825,0.36710533
0.85,0.825,0.35564184
0.85,0.925,0.3311874
0.875,0.925,0.32168204
0.875,0.975,0.31858099
0.925,0.975,0.29875663
0.925,1.0,0.2982431
1.0,1.0,0.24934155
