target_id,sample_id,source_split,source_index,transpiler_seed,optimization_level,backend_name,transpiled_depth,transpiled_total_gates,transpiled_one_qubit_gates,transpiled_two_qubit_gates,transpiled_multi_qubit_gates,measurement_operations,operation_counts,num_qubits,num_clbits
MNIST_QNN_eff_su2_r5_d2_s45,1a75b88a33c373b9,train,47,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,8e7f84a9b2e3a004,train,48,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e6aaa1383ef33482,train,49,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,a234d5cee77b3715,train,51,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,23cb47065a7daad1,train,55,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,6c8dbb69b8c583fb,train,57,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,49ff56ef58859e7d,train,58,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,55ed86172017ec93,train,60,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,178f1aa8b5dfb18a,train,62,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,39ee977859ba4f1a,train,66,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,cc8a18b2dc134b80,train,67,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,9f877777f3e1b03b,train,68,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,a0d4abb759d2f4e3,train,69,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,c4f317fc266a08a1,train,70,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,2feb011e180acd56,train,73,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,b6dd2d93fd948e94,train,74,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,4107f0c3dd5fc13b,train,75,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,6749c35d379229c2,train,76,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,434b4ec2287a921d,train,77,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,36994e1b003a4eb7,train,79,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,02bf12d00ec5146b,train,80,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,62a840c999dd4372,train,82,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e277ecf536cf565c,train,84,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,8e441a30bc3aaaba,train,86,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,3b47b69611ef0ba4,train,87,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,17b34e3ba3da31a7,train,88,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,4733af71f68b1ad2,train,89,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ef1097acfa368dd6,train,91,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,0367a062cea7392f,train,92,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,019c79a1d32355f7,train,94,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,dd33b6f9735f31ab,train,96,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,076f31840ad509dd,train,98,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ae407b7fd3131245,train,100,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,7dc0d4e18160ee31,train,101,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,89323468fdbb62c8,train,103,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,60481b5993784fd9,train,104,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,e77ffbb7f4b43f90,train,105,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,61ead54b6c61731e,train,109,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,a02b0d8b050b25cb,train,112,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,9b8bebf04c976bb5,train,114,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,985b5e013e624d83,train,117,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,2d655ef0886baf0b,train,120,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,0a4ca665cee52ba9,train,122,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,457712b429cc0764,train,124,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,d6dc88bf0fc13d84,train,126,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,d0c2f4ff1e5a1519,train,129,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,5e02ac6b8464fffc,train,131,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,494290d4d26f0132,train,132,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,57a8d679096bb995,train,137,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,78572efb4edd38fb,train,138,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,25ce244ec7ea57b7,train,140,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,91c9f1b68f80c690,train,143,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,1443f3df33b5fc9c,train,144,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
MNIST_QNN_eff_su2_r5_d2_s45,ca468cee07c88312,train,145,2026,1,ibm_kingston,128,387,342,45,0,6,"{""cz"": 45, ""measure"": 6, ""rz"": 209, ""sx"": 133}",156,6
