fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.6658011
0.05,0.0,0.66163456
0.05,0.175,0.62555766
0.125,0.175,0.6134557
0.125,0.2,0.609932
0.175,0.2,0.591187
0.175,0.325,0.5579279
0.2,0.325,0.5525454
0.2,0.525,0.53687763
0.225,0.525,0.5332403
0.225,0.55,0.52310926
0.3,0.55,0.501714
0.3,0.575,0.4965209
0.325,0.575,0.49521747
0.325,0.625,0.49002004
0.4,0.625,0.48552895
0.4,0.65,0.48316225
0.45,0.65,0.4766792
0.45,0.675,0.47602466
0.5,0.675,0.47351515
0.5,0.7,0.4628808
0.525,0.7,0.46023762
0.525,0.75,0.4558731
0.55,0.75,0.45152494
0.55,0.775,0.44453466
0.575,0.775,0.44139937
0.575,0.875,0.41302377
0.825,0.875,0.37920403
0.825,0.9,0.37592715
0.85,0.9,0.372259
0.85,0.925,0.35821933
0.9,0.925,0.3300988
0.9,0.95,0.32901016
0.975,0.95,0.3084824
0.975,0.975,0.30198756
1.0,0.975,0.2872224
1.0,1.0,0.27462757
