fpr,tpr,threshold
0.0,0.0,inf
0.025,0.0,0.7570454
0.025,0.05,0.73761
0.075,0.05,0.7101174
0.075,0.075,0.7061748
0.1,0.075,0.70288473
0.1,0.175,0.69218177
0.15,0.175,0.68347394
0.15,0.225,0.66236067
0.25,0.225,0.6468241
0.25,0.25,0.6442084
0.3,0.25,0.6423992
0.3,0.35,0.63751423
0.35,0.35,0.63198864
0.35,0.375,0.6297797
0.375,0.375,0.62936306
0.375,0.475,0.6168358
0.425,0.475,0.6133748
0.425,0.5,0.6126746
0.45,0.5,0.609288
0.45,0.625,0.5934197
0.475,0.625,0.58496886
0.475,0.675,0.5817347
0.575,0.675,0.54472363
0.575,0.75,0.5367656
0.6,0.75,0.53441787
0.6,0.8,0.52923787
0.625,0.8,0.52536154
0.625,0.825,0.5250387
0.775,0.825,0.518242
0.775,0.9,0.51390547
0.8,0.9,0.51016915
0.8,0.925,0.48001894
0.825,0.925,0.47063085
0.825,0.975,0.40796605
1.0,0.975,0.007101537
1.0,1.0,0.0069263866
