target_id,experiment,role,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats
MNIST_QNN_z_r1_d2_s43,multiseed_factorial,z_r1_d2,43,MNIST,QNN,182,z,6,1,wrap,linear,NA,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False
MNIST_QNN_z_r1_d2_s44,multiseed_factorial,z_r1_d2,44,MNIST,QNN,182,z,6,1,wrap,linear,NA,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False
MNIST_QNN_z_r1_d2_s45,multiseed_factorial,z_r1_d2,45,MNIST,QNN,182,z,6,1,wrap,linear,NA,2,linear,crz,False,0.725,0.595,0.13,200,200,200,16,100,False
MNIST_QNN_z_r1_d6_s43,multiseed_factorial,z_r1_d6,43,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z_r1_d6_s44,multiseed_factorial,z_r1_d6,44,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z_r1_d6_s45,multiseed_factorial,z_r1_d6,45,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z_r5_d2_s43,multiseed_factorial,z_r5_d2,43,MNIST,QNN,326,z,6,5,wrap,linear,NA,2,linear,crz,False,0.59,0.365,0.22499999999999998,200,200,200,16,100,False
MNIST_QNN_z_r5_d2_s44,multiseed_factorial,z_r5_d2,44,MNIST,QNN,326,z,6,5,wrap,linear,NA,2,linear,crz,False,0.59,0.365,0.22499999999999998,200,200,200,16,100,False
MNIST_QNN_z_r5_d2_s45,multiseed_factorial,z_r5_d2,45,MNIST,QNN,326,z,6,5,wrap,linear,NA,2,linear,crz,False,0.59,0.365,0.22499999999999998,200,200,200,16,100,False
MNIST_QNN_z_r5_d6_s43,multiseed_factorial,z_r5_d6,43,MNIST,QNN,350,z,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.415,0.35000000000000003,200,200,200,16,100,False
MNIST_QNN_z_r5_d6_s44,multiseed_factorial,z_r5_d6,44,MNIST,QNN,350,z,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.415,0.35000000000000003,200,200,200,16,100,False
MNIST_QNN_z_r5_d6_s45,multiseed_factorial,z_r5_d6,45,MNIST,QNN,350,z,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.415,0.35000000000000003,200,200,200,16,100,False
MNIST_QNN_zz_r1_d2_s43,multiseed_factorial,zz_r1_d2,43,MNIST,QNN,902,zz,6,1,wrap,linear,NA,2,linear,crz,False,0.685,0.52,0.16500000000000004,200,200,200,16,100,False
MNIST_QNN_zz_r1_d2_s44,multiseed_factorial,zz_r1_d2,44,MNIST,QNN,902,zz,6,1,wrap,linear,NA,2,linear,crz,False,0.685,0.52,0.16500000000000004,200,200,200,16,100,False
MNIST_QNN_zz_r1_d2_s45,multiseed_factorial,zz_r1_d2,45,MNIST,QNN,902,zz,6,1,wrap,linear,NA,2,linear,crz,False,0.685,0.52,0.16500000000000004,200,200,200,16,100,False
MNIST_QNN_zz_r1_d6_s43,multiseed_factorial,zz_r1_d6,43,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
MNIST_QNN_zz_r1_d6_s44,multiseed_factorial,zz_r1_d6,44,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
MNIST_QNN_zz_r1_d6_s45,multiseed_factorial,zz_r1_d6,45,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
MNIST_QNN_zz_r5_d2_s43,multiseed_factorial,zz_r5_d2,43,MNIST,QNN,1046,zz,6,5,wrap,linear,NA,2,linear,crz,False,0.495,0.35,0.14500000000000002,200,200,200,16,100,False
MNIST_QNN_zz_r5_d2_s44,multiseed_factorial,zz_r5_d2,44,MNIST,QNN,1046,zz,6,5,wrap,linear,NA,2,linear,crz,False,0.495,0.35,0.14500000000000002,200,200,200,16,100,False
MNIST_QNN_zz_r5_d2_s45,multiseed_factorial,zz_r5_d2,45,MNIST,QNN,1046,zz,6,5,wrap,linear,NA,2,linear,crz,False,0.495,0.35,0.14500000000000002,200,200,200,16,100,False
MNIST_QNN_zz_r5_d6_s43,multiseed_factorial,zz_r5_d6,43,MNIST,QNN,1070,zz,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False
MNIST_QNN_zz_r5_d6_s44,multiseed_factorial,zz_r5_d6,44,MNIST,QNN,1070,zz,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False
MNIST_QNN_zz_r5_d6_s45,multiseed_factorial,zz_r5_d6,45,MNIST,QNN,1070,zz,6,5,wrap,linear,NA,6,linear,crz,False,0.765,0.34,0.425,200,200,200,16,100,False
MNIST_QNN_eff_su2_r1_d2_s43,multiseed_factorial,eff_su2_r1_d2,43,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.15500000000000003,200,200,200,16,100,False
MNIST_QNN_eff_su2_r1_d2_s44,multiseed_factorial,eff_su2_r1_d2,44,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.15500000000000003,200,200,200,16,100,False
MNIST_QNN_eff_su2_r1_d2_s45,multiseed_factorial,eff_su2_r1_d2,45,MNIST,QNN,1622,eff_su2,6,1,wrap,linear,cx,2,linear,crz,False,0.865,0.71,0.15500000000000003,200,200,200,16,100,False
