target_id,experiment,role,pair_id,seed,dataset,architecture,source_run_id,fm_kind,n_wires,reps,pad_mode,fm_ent,fm_op,depth,ql_ent,ql_op,ql_rev,original_acc_train,original_acc_test,original_gap,vector_train,vector_valid,vector_test,batch_size,epochs,extra_feats
Blobs_QNN_z11191_zz11192_zz_s44,matched_gap_mia,high_gap_zz,Blobs_QNN_z11191_zz11192,44,Blobs,QNN,11192,zz,4,4,wrap,linear,NA,6,pairwise,cx,False,1.0,0.56,0.43999999999999995,50,50,50,8,100,True
Blobs_QNN_z11191_zz11192_zz_s45,matched_gap_mia,high_gap_zz,Blobs_QNN_z11191_zz11192,45,Blobs,QNN,11192,zz,4,4,wrap,linear,NA,6,pairwise,cx,False,1.0,0.56,0.43999999999999995,50,50,50,8,100,True
Circles_QNN_z7081_zz7082_z_s43,matched_gap_mia,low_gap_z,Circles_QNN_z7081_zz7082,43,Circles,QNN,7081,z,2,2,wrap,nan,NA,4,linear,swap,False,0.81,0.77,0.040000000000000036,100,100,100,8,100,True
Circles_QNN_z7081_zz7082_z_s44,matched_gap_mia,low_gap_z,Circles_QNN_z7081_zz7082,44,Circles,QNN,7081,z,2,2,wrap,nan,NA,4,linear,swap,False,0.81,0.77,0.040000000000000036,100,100,100,8,100,True
Circles_QNN_z7081_zz7082_z_s45,matched_gap_mia,low_gap_z,Circles_QNN_z7081_zz7082,45,Circles,QNN,7081,z,2,2,wrap,nan,NA,4,linear,swap,False,0.81,0.77,0.040000000000000036,100,100,100,8,100,True
Circles_QNN_z7081_zz7082_zz_s43,matched_gap_mia,low_gap_zz,Circles_QNN_z7081_zz7082,43,Circles,QNN,7082,zz,2,2,wrap,linear,NA,4,linear,swap,False,0.82,0.77,0.04999999999999993,100,100,100,8,100,True
Circles_QNN_z7081_zz7082_zz_s44,matched_gap_mia,low_gap_zz,Circles_QNN_z7081_zz7082,44,Circles,QNN,7082,zz,2,2,wrap,linear,NA,4,linear,swap,False,0.82,0.77,0.04999999999999993,100,100,100,8,100,True
Circles_QNN_z7081_zz7082_zz_s45,matched_gap_mia,low_gap_zz,Circles_QNN_z7081_zz7082,45,Circles,QNN,7082,zz,2,2,wrap,linear,NA,4,linear,swap,False,0.82,0.77,0.04999999999999993,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_z_s43,matched_gap_mia,high_gap_z,Circles_QNN_z1741_zz1742,43,Circles,QNN,1741,z,4,4,wrap,nan,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_z_s44,matched_gap_mia,high_gap_z,Circles_QNN_z1741_zz1742,44,Circles,QNN,1741,z,4,4,wrap,nan,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_z_s45,matched_gap_mia,high_gap_z,Circles_QNN_z1741_zz1742,45,Circles,QNN,1741,z,4,4,wrap,nan,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_zz_s43,matched_gap_mia,high_gap_zz,Circles_QNN_z1741_zz1742,43,Circles,QNN,1742,zz,4,4,wrap,linear,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_zz_s44,matched_gap_mia,high_gap_zz,Circles_QNN_z1741_zz1742,44,Circles,QNN,1742,zz,4,4,wrap,linear,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
Circles_QNN_z1741_zz1742_zz_s45,matched_gap_mia,high_gap_zz,Circles_QNN_z1741_zz1742,45,Circles,QNN,1742,zz,4,4,wrap,linear,NA,3,linear,cx,False,0.9,0.66,0.24,100,100,100,8,100,True
MNIST_QNN_z206_zz926_z_s43,matched_gap_mia,low_gap_z,MNIST_QNN_z206_zz926,43,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z206_zz926_z_s44,matched_gap_mia,low_gap_z,MNIST_QNN_z206_zz926,44,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z206_zz926_z_s45,matched_gap_mia,low_gap_z,MNIST_QNN_z206_zz926,45,MNIST,QNN,206,z,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.56,0.2699999999999999,200,200,200,16,100,False
MNIST_QNN_z206_zz926_zz_s43,matched_gap_mia,low_gap_zz,MNIST_QNN_z206_zz926,43,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
MNIST_QNN_z206_zz926_zz_s44,matched_gap_mia,low_gap_zz,MNIST_QNN_z206_zz926,44,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
MNIST_QNN_z206_zz926_zz_s45,matched_gap_mia,low_gap_zz,MNIST_QNN_z206_zz926,45,MNIST,QNN,926,zz,6,1,wrap,linear,NA,6,linear,crz,False,0.83,0.555,0.2749999999999999,200,200,200,16,100,False
Moons_QNN_z19651_zz19652_z_s43,matched_gap_mia,low_gap_z,Moons_QNN_z19651_zz19652,43,Moons,QNN,19651,z,4,1,wrap,nan,NA,3,pairwise,cx,False,0.92,0.92,0.0,50,50,50,8,100,True
