target_id,structural_cell_id,model_seed,risk_role,fm_kind,reps,depth,mode,shots,attack,backend_name,noise_model_loaded,n_replicates,delta_train_accuracy_from_exact_mean,delta_train_accuracy_from_exact_sd,delta_train_accuracy_from_exact_ci95_low,delta_train_accuracy_from_exact_ci95_high,delta_train_accuracy_from_exact_valid_bootstrap,delta_test_accuracy_from_exact_mean,delta_test_accuracy_from_exact_sd,delta_test_accuracy_from_exact_ci95_low,delta_test_accuracy_from_exact_ci95_high,delta_test_accuracy_from_exact_valid_bootstrap,delta_accuracy_gap_from_exact_mean,delta_accuracy_gap_from_exact_sd,delta_accuracy_gap_from_exact_ci95_low,delta_accuracy_gap_from_exact_ci95_high,delta_accuracy_gap_from_exact_valid_bootstrap,delta_train_loss_from_exact_mean,delta_train_loss_from_exact_sd,delta_train_loss_from_exact_ci95_low,delta_train_loss_from_exact_ci95_high,delta_train_loss_from_exact_valid_bootstrap,delta_test_loss_from_exact_mean,delta_test_loss_from_exact_sd,delta_test_loss_from_exact_ci95_low,delta_test_loss_from_exact_ci95_high,delta_test_loss_from_exact_valid_bootstrap,delta_loss_gap_from_exact_mean,delta_loss_gap_from_exact_sd,delta_loss_gap_from_exact_ci95_low,delta_loss_gap_from_exact_ci95_high,delta_loss_gap_from_exact_valid_bootstrap,delta_roc_auc_from_exact_mean,delta_roc_auc_from_exact_sd,delta_roc_auc_from_exact_ci95_low,delta_roc_auc_from_exact_ci95_high,delta_roc_auc_from_exact_valid_bootstrap,delta_balanced_accuracy_from_exact_mean,delta_balanced_accuracy_from_exact_sd,delta_balanced_accuracy_from_exact_ci95_low,delta_balanced_accuracy_from_exact_ci95_high,delta_balanced_accuracy_from_exact_valid_bootstrap,delta_membership_advantage_from_exact_mean,delta_membership_advantage_from_exact_sd,delta_membership_advantage_from_exact_ci95_low,delta_membership_advantage_from_exact_ci95_high,delta_membership_advantage_from_exact_valid_bootstrap,delta_crossfit_tpr_from_exact_mean,delta_crossfit_tpr_from_exact_sd,delta_crossfit_tpr_from_exact_ci95_low,delta_crossfit_tpr_from_exact_ci95_high,delta_crossfit_tpr_from_exact_valid_bootstrap,delta_crossfit_fpr_from_exact_mean,delta_crossfit_fpr_from_exact_sd,delta_crossfit_fpr_from_exact_ci95_low,delta_crossfit_fpr_from_exact_ci95_high,delta_crossfit_fpr_from_exact_valid_bootstrap,delta_tpr_at_5pct_fpr_from_exact_mean,delta_tpr_at_5pct_fpr_from_exact_sd,delta_tpr_at_5pct_fpr_from_exact_ci95_low,delta_tpr_at_5pct_fpr_from_exact_ci95_high,delta_tpr_at_5pct_fpr_from_exact_valid_bootstrap,delta_tpr_at_10pct_fpr_from_exact_mean,delta_tpr_at_10pct_fpr_from_exact_sd,delta_tpr_at_10pct_fpr_from_exact_ci95_low,delta_tpr_at_10pct_fpr_from_exact_ci95_high,delta_tpr_at_10pct_fpr_from_exact_valid_bootstrap,error_bar_type,ci_method,bootstrap_unit,bootstrap_replicates
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,confidence,ibm_kingston,False,10,-0.15700000000000003,0.03233505150074074,-0.17500000000000004,-0.13700000000000004,5000,-0.11499999999999999,0.05317685377847939,-0.14499999999999996,-0.08200000000000002,5000,-0.04200000000000004,0.05959119994689745,-0.07600000000000003,-0.006000000000000038,5000,0.29674233895773067,0.07214114341357858,0.2543249124933267,0.34024487485580607,5000,0.25234492884358034,0.09625288810248955,0.1954148096130687,0.30738422478898203,5000,-0.04439741011415031,0.11991980978669978,-0.11228161661254718,0.028922796931197,5000,0.009269999999999995,0.03479498846417718,-0.01029100000000001,0.030870250000000012,5000,-0.024000000000000014,0.03186778240724567,-0.042500000000000024,-0.0050000000000000044,5000,-0.04799999999999999,0.06373556481449133,-0.083025,-0.008999999999999975,5000,0.198,0.12318008497047456,0.12297499999999999,0.265,5000,0.246,0.1631086890525592,0.14700000000000002,0.3310249999999997,5000,0.02,0.02666666666666667,0.005000000000000002,0.036,5000,0.026000000000000002,0.04718756898449704,-0.000999999999999998,0.053000000000000005,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,correctness,ibm_kingston,False,10,-0.15700000000000003,0.03233505150074074,-0.17500000000000004,-0.13800000000000004,5000,-0.11499999999999999,0.05317685377847939,-0.144,-0.08100000000000002,5000,-0.04200000000000004,0.05959119994689745,-0.07600000000000003,-0.005000000000000049,5000,0.29674233895773067,0.07214114341357858,0.25420747178180614,0.33937403706099134,5000,0.25234492884358034,0.09625288810248955,0.1942347201097079,0.30679109647911607,5000,-0.04439741011415031,0.11991980978669978,-0.11178631648940217,0.028272003326799265,5000,-0.021000000000000026,0.029795599973448737,-0.03801250000000003,-0.003000000000000014,5000,-0.031000000000000038,0.029795599973448727,-0.04650000000000004,-0.011500000000000043,5000,-0.062000000000000055,0.059591199946897454,-0.09300000000000005,-0.024000000000000042,5000,-0.5180000000000001,0.2378047752067042,-0.653,-0.378,5000,-0.45600000000000007,0.21125024654817962,-0.5800000000000001,-0.33399999999999996,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,loss,ibm_kingston,False,10,-0.15700000000000003,0.03233505150074074,-0.17500000000000004,-0.13700000000000007,5000,-0.11499999999999999,0.05317685377847939,-0.144025,-0.08199999999999999,5000,-0.04200000000000004,0.05959119994689745,-0.07500000000000004,-0.006000000000000038,5000,0.29674233895773067,0.07214114341357858,0.25432948662762644,0.3392611696138628,5000,0.25234492884358034,0.09625288810248955,0.19410495225951593,0.30765134653559423,5000,-0.04439741011415031,0.11991980978669978,-0.11398471939775343,0.027412958871183904,5000,-0.011009999999999926,0.03350792443587039,-0.02942049999999992,0.010190000000000065,5000,-0.02050000000000001,0.04996943510231474,-0.048,0.009999999999999992,5000,-0.04100000000000002,0.09993887020462949,-0.09600000000000002,0.018999999999999982,5000,0.13399999999999998,0.1770247942458281,0.029999999999999978,0.23199999999999998,5000,0.175,0.23286858478072514,0.03600000000000001,0.308,5000,0.023000000000000003,0.024966644414765336,0.01,0.038,5000,0.027000000000000003,0.04715223571935199,2.7755575615628915e-18,0.05500000000000001,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,confidence,ibm_kingston,False,10,-0.04400000000000004,0.032041639575194465,-0.06400000000000006,-0.026000000000000023,5000,-0.030000000000000006,0.034318767136623324,-0.05099999999999999,-0.01100000000000001,5000,-0.014000000000000035,0.055617742972304575,-0.04600000000000004,0.018999999999999972,5000,0.06646210894500838,0.019963675183651296,0.05484329030979425,0.07835297323336125,5000,0.06994660309469322,0.04063954646009676,0.04705689147976224,0.0949999612943851,5000,0.003484494149684847,0.05484359462507222,-0.027723817047756207,0.036221759484126176,5000,-0.004100000000000037,0.02809914984874492,-0.020902000000000035,0.012089999999999951,5000,-0.024500000000000022,0.04219333807341839,-0.04800000000000002,0.0004999999999999895,5000,-0.049,0.08438667614683677,-0.09699999999999999,0.0030000000000000027,5000,0.186,0.1577762128247897,0.1,0.284,5000,0.23500000000000001,0.1670162999363968,0.13899999999999998,0.335,5000,0.014000000000000002,0.016465452046971293,0.004000000000000002,0.024,5000,0.0020000000000000026,0.027808871486152277,-0.014999999999999994,0.018,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,correctness,ibm_kingston,False,10,-0.04400000000000004,0.032041639575194465,-0.06400000000000006,-0.026975000000000388,5000,-0.030000000000000006,0.034318767136623324,-0.051000000000000004,-0.01100000000000001,5000,-0.014000000000000035,0.055617742972304575,-0.046025000000000045,0.018999999999999972,5000,0.06646210894500838,0.019963675183651296,0.05500421755466379,0.0787995361623238,5000,0.06994660309469322,0.04063954646009676,0.047425634026457525,0.09571156253436344,5000,0.003484494149684847,0.05484359462507222,-0.02738281558264285,0.036048045473731936,5000,-0.0070000000000000175,0.027808871486152287,-0.02300000000000002,0.009499999999999998,5000,-0.015000000000000008,0.030822070014844903,-0.032000000000000015,0.004500000000000004,5000,-0.030000000000000037,0.061644140029689765,-0.06400000000000003,0.006999999999999967,5000,-0.34,0.29321967494998996,-0.511,-0.17000000000000004,5000,-0.30999999999999994,0.25055493963954845,-0.45999999999999996,-0.17,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,loss,ibm_kingston,False,10,-0.04400000000000004,0.032041639575194465,-0.06300000000000006,-0.027000000000000024,5000,-0.030000000000000006,0.034318767136623324,-0.05099999999999999,-0.010000000000000009,5000,-0.014000000000000035,0.055617742972304575,-0.04600000000000004,0.02002499999999961,5000,0.06646210894500838,0.019963675183651296,0.05532827578998403,0.07842936732356903,5000,0.06994660309469322,0.04063954646009676,0.04715188317535207,0.0943252810845151,5000,0.003484494149684847,0.05484359462507222,-0.026825518814486027,0.035995547987916376,5000,-0.003939999999999893,0.027623186717763842,-0.019509999999999895,0.012550750000000084,5000,-0.017000000000000008,0.032591750830880874,-0.035000000000000024,0.0035124999999998265,5000,-0.03400000000000003,0.06518350166176172,-0.06900000000000005,0.005999999999999978,5000,0.256,0.12868566353716332,0.17897499999999997,0.3290249999999996,5000,0.29,0.18427033281447006,0.17400000000000002,0.3890249999999997,5000,0.013000000000000003,0.018287822299126937,0.002000000000000002,0.02300000000000001,5000,0.002000000000000003,0.03011090610836324,-0.016999999999999994,0.018000000000000002,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,confidence,ibm_kingston,False,10,-0.039000000000000035,0.02685351208149713,-0.05500000000000005,-0.02400000000000002,5000,-0.0020000000000000018,0.024855135843076352,-0.017000000000000015,0.01200000000000001,5000,-0.03700000000000003,0.03056868404829436,-0.05500000000000005,-0.019000000000000017,5000,0.033841195047833006,0.01960716179786888,0.021921127093816155,0.04522854901570825,5000,0.02759846314601595,0.01888856478395414,0.01728674682865379,0.039420654772873924,5000,-0.0062427319018170556,0.03451899161969265,-0.025651112281461268,0.015576760445674853,5000,-0.0010299999999999975,0.02326203631097959,-0.015040499999999988,0.011751249999999991,5000,-0.045000000000000026,0.023804761428476182,-0.05800000000000004,-0.03050000000000002,5000,-0.09,0.04760952285695232,-0.11600000000000002,-0.060999999999999985,5000,0.178,0.15411395495253216,0.092,0.274,5000,0.26799999999999996,0.16982343772283023,0.16899999999999998,0.368,5000,0.015000000000000003,0.024608038433722338,0.0010000000000000026,0.030000000000000006,5000,-0.0019999999999999935,0.03966526608171605,-0.023999999999999997,0.022000000000000002,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,correctness,ibm_kingston,False,10,-0.039000000000000035,0.02685351208149713,-0.05600000000000005,-0.02300000000000002,5000,-0.0020000000000000018,0.024855135843076352,-0.017000000000000015,0.013000000000000012,5000,-0.03700000000000003,0.03056868404829436,-0.05500000000000005,-0.020000000000000018,5000,0.033841195047833006,0.01960716179786888,0.021765863528265584,0.0452399065403966,5000,0.02759846314601595,0.01888856478395414,0.017507167215226153,0.039006759422901036,5000,-0.0062427319018170556,0.03451899161969265,-0.02528952704649423,0.015079536185250587,5000,-0.018500000000000016,0.01528434202414718,-0.027500000000000024,-0.010000000000000009,5000,-0.032000000000000015,0.01843908891458578,-0.042500000000000024,-0.02100000000000001,5000,-0.06400000000000003,0.03687817782917156,-0.08500000000000005,-0.041000000000000036,5000,-0.4600000000000001,0.23266571155486862,-0.5930000000000001,-0.3179750000000004,5000,-0.39599999999999996,0.2266274475874447,-0.533025,-0.264,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,loss,ibm_kingston,False,10,-0.039000000000000035,0.02685351208149713,-0.05600000000000005,-0.02400000000000002,5000,-0.0020000000000000018,0.024855135843076352,-0.017000000000000015,0.01200000000000001,5000,-0.03700000000000003,0.03056868404829436,-0.05600000000000005,-0.020000000000000018,5000,0.033841195047833006,0.01960716179786888,0.022279017390334027,0.04528449553269891,5000,0.02759846314601595,0.01888856478395414,0.017433838761202008,0.0390129554244922,5000,-0.0062427319018170556,0.03451899161969265,-0.025135516611440145,0.015352405715989835,5000,-0.002919999999999906,0.01983609504581651,-0.0146702499999999,0.008540500000000084,5000,-0.03650000000000002,0.028190818048120247,-0.054500000000000014,-0.021000000000000008,5000,-0.07300000000000002,0.056381636096240494,-0.10700000000000001,-0.04100000000000002,5000,0.22600000000000003,0.16500505042775712,0.12899999999999998,0.323,5000,0.29900000000000004,0.1898800791142779,0.17800000000000002,0.403,5000,0.015000000000000003,0.024608038433722338,0.0010000000000000026,0.030000000000000006,5000,-0.0019999999999999935,0.03966526608171605,-0.02499999999999999,0.023000000000000003,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,confidence,ibm_kingston,True,10,-0.166,0.023664319132398484,-0.18000000000000002,-0.15200000000000005,5000,-0.121,0.04840798832148816,-0.14800000000000005,-0.092,5000,-0.04500000000000002,0.04648775226993785,-0.07500000000000001,-0.019000000000000017,5000,0.3507381298948312,0.06847359367727861,0.30793003441084577,0.3898270317280199,5000,0.2886355952988378,0.08685359415940677,0.23935956563429792,0.33860075396649764,5000,-0.06210253459599341,0.11542181122008685,-0.1255284421650752,0.009754640606796516,5000,0.018389999999999983,0.0318411840232112,-0.0014405000000000134,0.03591024999999996,5000,-0.007000000000000011,0.04224268509984238,-0.032000000000000015,0.017999999999999995,5000,-0.013999999999999995,0.08448537019968475,-0.06602500000000003,0.03400000000000001,5000,0.429,0.21444761079988225,0.300975,0.554,5000,0.44300000000000006,0.17230786401090348,0.342,0.542,5000,0.038,0.043410188256265886,0.015,0.06402499999999964,5000,0.019000000000000006,0.04458450154232721,-0.005999999999999994,0.047,5000,sample_sd,95% percentile bootstrap over paired_simulator_seeds_within_fixed_target,paired_simulator_seeds_within_fixed_target,5000
