target_id,structural_cell_id,model_seed,risk_role,fm_kind,reps,depth,mode,shots,attack,backend_name,noise_model_loaded,n_replicates,train_accuracy_mean,train_accuracy_sd,train_accuracy_ci95_low,train_accuracy_ci95_high,train_accuracy_valid_bootstrap,test_accuracy_mean,test_accuracy_sd,test_accuracy_ci95_low,test_accuracy_ci95_high,test_accuracy_valid_bootstrap,accuracy_gap_mean,accuracy_gap_sd,accuracy_gap_ci95_low,accuracy_gap_ci95_high,accuracy_gap_valid_bootstrap,train_loss_mean,train_loss_sd,train_loss_ci95_low,train_loss_ci95_high,train_loss_valid_bootstrap,test_loss_mean,test_loss_sd,test_loss_ci95_low,test_loss_ci95_high,test_loss_valid_bootstrap,loss_gap_mean,loss_gap_sd,loss_gap_ci95_low,loss_gap_ci95_high,loss_gap_valid_bootstrap,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,roc_auc_valid_bootstrap,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,balanced_accuracy_valid_bootstrap,membership_advantage_mean,membership_advantage_sd,membership_advantage_ci95_low,membership_advantage_ci95_high,membership_advantage_valid_bootstrap,crossfit_tpr_mean,crossfit_tpr_sd,crossfit_tpr_ci95_low,crossfit_tpr_ci95_high,crossfit_tpr_valid_bootstrap,crossfit_fpr_mean,crossfit_fpr_sd,crossfit_fpr_ci95_low,crossfit_fpr_ci95_high,crossfit_fpr_valid_bootstrap,tpr_at_5pct_fpr_mean,tpr_at_5pct_fpr_sd,tpr_at_5pct_fpr_ci95_low,tpr_at_5pct_fpr_ci95_high,tpr_at_5pct_fpr_valid_bootstrap,tpr_at_10pct_fpr_mean,tpr_at_10pct_fpr_sd,tpr_at_10pct_fpr_ci95_low,tpr_at_10pct_fpr_ci95_high,tpr_at_10pct_fpr_valid_bootstrap,error_bar_type,ci_method,bootstrap_unit,bootstrap_replicates
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,exact,0,confidence,none,False,1,0.79,,,,0,0.75,,,,0,0.040000000000000036,,,,0,0.5472866800799966,,,,0,0.6041101982817054,,,,0,0.056823518201708834,,,,0,0.4903,,,,0,0.515,,,,0,0.03,,,,0,0.26,,,,0,0.23,,,,0,0.03,,,,0,0.09,,,,0,sample_sd,none_single_replicate,none,0
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,exact,0,correctness,none,False,1,0.79,,,,0,0.75,,,,0,0.040000000000000036,,,,0,0.5472866800799966,,,,0,0.6041101982817054,,,,0,0.056823518201708834,,,,0,0.52,,,,0,0.52,,,,0,0.040000000000000036,,,,0,0.79,,,,0,0.75,,,,0,0.0,,,,0,0.0,,,,0,sample_sd,none_single_replicate,none,0
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,exact,0,loss,none,False,1,0.79,,,,0,0.75,,,,0,0.040000000000000036,,,,0,0.5472866800799966,,,,0,0.6041101982817054,,,,0,0.056823518201708834,,,,0,0.5128999999999999,,,,0,0.515,,,,0,0.030000000000000027,,,,0,0.33,,,,0,0.3,,,,0,0.03,,,,0,0.09,,,,0,sample_sd,none_single_replicate,none,0
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,confidence,ibm_kingston,False,10,0.6329999999999999,0.03233505150074074,0.615,0.653,5000,0.635,0.05317685377847939,0.6050000000000001,0.6689999999999999,5000,-0.0020000000000000018,0.05959119994689745,-0.03500000000000001,0.03499999999999999,5000,0.8440290190377272,0.07214114341357858,0.8023681156982667,0.8866601079924032,5000,0.8564551271252858,0.09625288810248955,0.7968155862688786,0.9112177939907641,5000,0.012426108087558518,0.11991980978669978,-0.056757968043910645,0.08475024780536973,5000,0.49957,0.03479498846417718,0.48083,0.5215005,5000,0.4910000000000001,0.03186778240724567,0.473,0.51,5000,-0.017999999999999988,0.06373556481449133,-0.05500000000000001,0.020000000000000025,5000,0.458,0.12318008497047456,0.38097499999999995,0.525,5000,0.4760000000000001,0.1631086890525592,0.37297499999999995,0.562,5000,0.049999999999999996,0.026666666666666665,0.035,0.066,5000,0.11600000000000002,0.04718756898449704,0.089,0.144,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,correctness,ibm_kingston,False,10,0.6329999999999999,0.03233505150074074,0.615,0.653,5000,0.635,0.05317685377847939,0.605,0.667,5000,-0.0020000000000000018,0.05959119994689745,-0.03699999999999998,0.034999999999999976,5000,0.8440290190377272,0.07214114341357858,0.8029321906632976,0.8877336782680068,5000,0.8564551271252858,0.09625288810248955,0.7978838152833428,0.9118419964849386,5000,0.012426108087558518,0.11991980978669978,-0.05545964352469021,0.08505544085806384,5000,0.499,0.029795599973448734,0.48199999999999993,0.5175,5000,0.489,0.029795599973448727,0.4734999999999999,0.508,5000,-0.02200000000000001,0.059591199946897454,-0.054000000000000006,0.016999999999999994,5000,0.272,0.2378047752067042,0.137975,0.414,5000,0.29400000000000004,0.21125024654817962,0.168,0.41902499999999965,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,loss,ibm_kingston,False,10,0.6329999999999999,0.03233505150074074,0.615,0.653,5000,0.635,0.05317685377847939,0.606,0.6679999999999999,5000,-0.0020000000000000018,0.05959119994689745,-0.03499999999999999,0.03399999999999999,5000,0.8440290190377272,0.07214114341357858,0.8039569446360112,0.8883320628308574,5000,0.8564551271252858,0.09625288810248955,0.7984692502599391,0.91065188231368,5000,0.012426108087558518,0.11991980978669978,-0.05524555457927493,0.0835695612703966,5000,0.5018900000000001,0.03350792443587039,0.4838982499999999,0.5224642499999999,5000,0.49449999999999994,0.04996943510231474,0.466,0.525,5000,-0.011000000000000001,0.09993887020462949,-0.06699999999999999,0.049,5000,0.46399999999999997,0.1770247942458281,0.35500000000000004,0.5650249999999997,5000,0.4750000000000001,0.23286858478072514,0.33599999999999997,0.606,5000,0.053000000000000005,0.02496664441476534,0.039,0.068,5000,0.11699999999999999,0.04715223571935199,0.09,0.14500000000000002,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,confidence,ibm_kingston,False,10,0.746,0.032041639575194465,0.726,0.763,5000,0.72,0.034318767136623324,0.7,0.7390000000000001,5000,0.026000000000000002,0.055617742972304575,-0.006000000000000017,0.06,5000,0.613748789025005,0.019963675183651296,0.602159492022451,0.6256651886216364,5000,0.6740568013763987,0.04063954646009676,0.6515747047982993,0.698427143793064,5000,0.06030801235139368,0.05484359462507222,0.029853815809660594,0.09469534193880386,5000,0.4862,0.02809914984874492,0.46941974999999997,0.50227,5000,0.49049999999999994,0.04219333807341839,0.4665,0.5165,5000,-0.019,0.08438667614683677,-0.06599999999999998,0.033,5000,0.446,0.1577762128247897,0.359,0.5439999999999999,5000,0.465,0.16701629993639677,0.37299999999999994,0.5670249999999997,5000,0.044,0.016465452046971293,0.034,0.053000000000000005,5000,0.092,0.027808871486152277,0.07500000000000001,0.10700000000000001,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,correctness,ibm_kingston,False,10,0.746,0.032041639575194465,0.727,0.7630000000000001,5000,0.72,0.034318767136623324,0.7,0.739,5000,0.026000000000000002,0.055617742972304575,-0.005000000000000016,0.05900000000000001,5000,0.613748789025005,0.019963675183651296,0.6020639720986481,0.6254802765983274,5000,0.6740568013763987,0.04063954646009676,0.6517850886629895,0.6988219836664387,5000,0.06030801235139368,0.05484359462507222,0.031158386438689185,0.09396634453581643,5000,0.5129999999999999,0.027808871486152284,0.49749999999999994,0.5295,5000,0.5049999999999999,0.030822070014844903,0.488,0.5245,5000,0.01,0.06164414002968977,-0.023000000000000007,0.047,5000,0.45,0.29321967494998996,0.277,0.62,5000,0.44000000000000006,0.25055493963954845,0.29197499999999993,0.575,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,512,loss,ibm_kingston,False,10,0.746,0.032041639575194465,0.727,0.763,5000,0.72,0.034318767136623324,0.6990000000000001,0.7390249999999997,5000,0.026000000000000002,0.055617742972304575,-0.006000000000000005,0.061,5000,0.613748789025005,0.019963675183651296,0.6021922341464903,0.625740379903198,5000,0.6740568013763987,0.04063954646009676,0.6518118538446724,0.6993674479858017,5000,0.06030801235139368,0.05484359462507222,0.03000481832039076,0.09411496935060708,5000,0.50896,0.027623186717763846,0.49318999999999996,0.5258307499999999,5000,0.49800000000000005,0.032591750830880874,0.48,0.5190125,5000,-0.004000000000000006,0.06518350166176172,-0.038000000000000034,0.03600000000000002,5000,0.5860000000000001,0.12868566353716332,0.509,0.6580249999999997,5000,0.59,0.18427033281447006,0.47800000000000004,0.6890249999999997,5000,0.043,0.018287822299126937,0.032,0.053000000000000005,5000,0.092,0.03011090610836324,0.074,0.10802499999999965,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,confidence,ibm_kingston,False,10,0.751,0.02685351208149713,0.735,0.767,5000,0.748,0.024855135843076352,0.733,0.762,5000,0.0030000000000000027,0.03056868404829436,-0.015000000000000013,0.020000000000000018,5000,0.5811278751278295,0.01960716179786888,0.569431890473701,0.5925659540218534,5000,0.6317086614277214,0.018888564783954145,0.6213813922261586,0.6434765216165687,5000,0.05058078629989178,0.03451899161969265,0.03169252449506893,0.07284008960786736,5000,0.48927000000000004,0.02326203631097959,0.47514925,0.50221,5000,0.47000000000000003,0.023804761428476182,0.45649999999999996,0.485,5000,-0.06,0.04760952285695232,-0.087,-0.031,5000,0.438,0.15411395495253216,0.354,0.5359999999999999,5000,0.49800000000000005,0.16982343772283023,0.40097499999999997,0.599,5000,0.045,0.024608038433722338,0.032,0.061,5000,0.088,0.03966526608171605,0.06500000000000002,0.11300000000000002,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,correctness,ibm_kingston,False,10,0.751,0.02685351208149713,0.735,0.7669999999999999,5000,0.748,0.024855135843076352,0.733,0.7620000000000001,5000,0.0030000000000000027,0.03056868404829436,-0.015000000000000013,0.020000000000000018,5000,0.5811278751278295,0.01960716179786888,0.5695486765745561,0.5926607005832251,5000,0.6317086614277214,0.018888564783954145,0.6217529284420422,0.6435990970811574,5000,0.05058078629989178,0.03451899161969265,0.031170123669109324,0.07171638391576708,5000,0.5015,0.01528434202414718,0.492,0.51,5000,0.488,0.018439088914585778,0.4774999999999999,0.4995,5000,-0.024000000000000004,0.03687817782917156,-0.046,-0.0010000000000000009,5000,0.32999999999999996,0.23266571155486862,0.198,0.4699999999999999,5000,0.35400000000000004,0.2266274475874447,0.21800000000000003,0.4810249999999996,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,ideal_shot,1024,loss,ibm_kingston,False,10,0.751,0.02685351208149713,0.736,0.767,5000,0.748,0.024855135843076352,0.733,0.762,5000,0.0030000000000000027,0.03056868404829436,-0.015000000000000013,0.020000000000000018,5000,0.5811278751278295,0.01960716179786888,0.5695544273401144,0.5927782073529204,5000,0.6317086614277214,0.018888564783954145,0.6215809434923808,0.6431721668007317,5000,0.05058078629989178,0.03451899161969265,0.03162774305138736,0.07242284883288666,5000,0.50998,0.019836095045816512,0.4982800000000001,0.5217702500000001,5000,0.47850000000000004,0.028190818048120247,0.46099999999999997,0.49450000000000005,5000,-0.043,0.056381636096240494,-0.077,-0.011,5000,0.5559999999999999,0.16500505042775712,0.458,0.6519999999999999,5000,0.599,0.18988007911427793,0.477,0.7020249999999997,5000,0.045,0.024608038433722338,0.031999999999999994,0.06000000000000001,5000,0.088,0.03966526608171605,0.06500000000000002,0.11200000000000002,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,confidence,ibm_kingston,True,10,0.624,0.023664319132398488,0.61,0.637,5000,0.6289999999999999,0.04840798832148816,0.602,0.659,5000,-0.004999999999999982,0.04648775226993785,-0.031999999999999994,0.02100000000000003,5000,0.8980248099748278,0.06847359367727861,0.8548701230515611,0.9380396672403672,5000,0.8927457935805434,0.08685359415940677,0.8427081301402534,0.9455182508598838,5000,-0.005279016394284575,0.11542181122008685,-0.06898141373722173,0.06707196243284262,5000,0.5086900000000001,0.03184118402321119,0.48918950000000005,0.5260999999999999,5000,0.508,0.04224268509984237,0.483,0.5325000000000001,5000,0.016000000000000004,0.08448537019968475,-0.03500000000000002,0.06600000000000002,5000,0.6890000000000001,0.21444761079988225,0.5589999999999999,0.8100249999999998,5000,0.673,0.17230786401090348,0.5700000000000001,0.772,5000,0.068,0.043410188256265886,0.044,0.095,5000,0.10900000000000001,0.04458450154232721,0.08399999999999999,0.136,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,low_risk_anchor,eff_su2,1,2,noisy_shot,128,correctness,ibm_kingston,True,10,0.624,0.023664319132398488,0.61,0.638,5000,0.6289999999999999,0.04840798832148816,0.602,0.6570249999999996,5000,-0.004999999999999982,0.04648775226993785,-0.032999999999999974,0.02200000000000002,5000,0.8980248099748278,0.06847359367727861,0.8571943513457663,0.9363845670633019,5000,0.8927457935805434,0.08685359415940677,0.8423261774622428,0.9463293840822121,5000,-0.005279016394284575,0.11542181122008685,-0.0686686451950809,0.07016031686257326,5000,0.49749999999999994,0.023243876134968932,0.483,0.5109999999999999,5000,0.4835,0.013753787357185184,0.475,0.4915,5000,-0.03299999999999999,0.027507574714370344,-0.04899999999999999,-0.016999999999999998,5000,0.187,0.175122179571229,0.08600000000000001,0.29400000000000004,5000,0.22000000000000003,0.19113694915775267,0.10600000000000001,0.3310249999999996,5000,0.0,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,5000,sample_sd,95% percentile bootstrap over simulator_seeds_within_fixed_target,simulator_seeds_within_fixed_target,5000
