target_id,structural_cell_id,model_seed,data_seed,risk_role,fm_kind,reps,depth,mode,shots,attack,train_accuracy,test_accuracy,accuracy_gap,train_loss,test_loss,loss_gap,roc_auc,balanced_accuracy,membership_advantage,crossfit_tpr,crossfit_fpr,tpr_at_5pct_fpr,tpr_at_10pct_fpr
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,43,low_risk_anchor,eff_su2,1,2,noisy_shot,512,loss,0.73,0.705,0.025000000000000012,0.6588524798331783,0.7119604015070945,0.05310792167391627,0.51615,0.503,0.0060000000000000105,0.503,0.497,0.074,0.11299999999999999
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,confidence,0.733,0.715,0.018000000000000016,0.6317937468346209,0.6716024201596156,0.03980867332499475,0.49897,0.5015,0.0029999999999999914,0.35,0.347,0.075,0.128
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,correctness,0.733,0.715,0.018000000000000016,0.6317937468346209,0.6716024201596156,0.03980867332499475,0.509,0.4805,-0.039,0.42699999999999994,0.466,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s43,eff_su2_r1_d2,43,43,low_risk_anchor,eff_su2,1,2,noisy_shot,1024,loss,0.733,0.715,0.018000000000000016,0.6317937468346209,0.6716024201596156,0.03980867332499475,0.52047,0.5095,0.018999999999999996,0.45199999999999996,0.433,0.075,0.131
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,exact,0,confidence,0.8,0.71,0.09000000000000008,0.49842420816654337,0.6355740142427385,0.13714980607619515,0.5016999999999999,0.45499999999999996,-0.08999999999999997,0.62,0.71,0.05,0.1
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,exact,0,correctness,0.8,0.71,0.09000000000000008,0.49842420816654337,0.6355740142427385,0.13714980607619515,0.545,0.545,0.09000000000000008,0.8,0.71,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,exact,0,loss,0.8,0.71,0.09000000000000008,0.49842420816654337,0.6355740142427385,0.13714980607619515,0.5421,0.54,0.08000000000000007,0.65,0.57,0.05,0.1
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,confidence,0.683,0.604,0.07900000000000003,0.8023742598553218,0.9039911034643302,0.10161684360900836,0.49321000000000004,0.48949999999999994,-0.020999999999999994,0.503,0.524,0.06,0.10600000000000001
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,correctness,0.683,0.604,0.07900000000000003,0.8023742598553218,0.9039911034643302,0.10161684360900836,0.5395000000000001,0.53,0.06000000000000002,0.597,0.537,0.0,0.0
MNIST_QNN_eff_su2_r1_d2_s44,eff_su2_r1_d2,44,43,low_risk_anchor,eff_su2,1,2,ideal_shot,128,loss,0.683,0.604,0.07900000000000003,0.8023742598553218,0.9039911034643302,0.10161684360900836,0.53045,0.5325,0.06499999999999999,0.599,0.534,0.063,0.10500000000000001
