experiment,dataset,architecture,fm_kind,reps,depth,n_wires,model_seed,data_seed,structural_cell_id,risk_role,comparison_group,selection_order,original_acc_train,original_acc_test,original_gap,selection_basis,target_id,mode,shots,simulator_seed,transpiler_seed,backend_name,noise_model_loaded,quantum_execution_scope,train_accuracy,test_accuracy,accuracy_gap,train_loss,test_loss,loss_gap,n_member,n_nonmember,fpr_resolution,attack,roc_auc,auc_record_ci95_low,auc_record_ci95_high,auc_record_bootstrap_valid,auc_record_ci_method,auc_record_bootstrap_unit,auc_record_bootstrap_replicates,balanced_accuracy,membership_advantage,crossfit_tpr,crossfit_fpr,crossfit_folds,tpr_at_5pct_fpr,attained_fpr_for_5pct,tpr_at_10pct_fpr,attained_fpr_for_10pct,exact_train_accuracy,exact_test_accuracy,exact_accuracy_gap,exact_train_loss,exact_test_loss,exact_loss_gap,exact_roc_auc,exact_balanced_accuracy,exact_membership_advantage,exact_crossfit_tpr,exact_crossfit_fpr,exact_tpr_at_5pct_fpr,exact_tpr_at_10pct_fpr,delta_train_accuracy_from_exact,delta_test_accuracy_from_exact,delta_accuracy_gap_from_exact,delta_train_loss_from_exact,delta_test_loss_from_exact,delta_loss_gap_from_exact,delta_roc_auc_from_exact,delta_balanced_accuracy_from_exact,delta_membership_advantage_from_exact,delta_crossfit_tpr_from_exact,delta_crossfit_fpr_from_exact,delta_tpr_at_5pct_fpr_from_exact,delta_tpr_at_10pct_fpr_from_exact
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,0.61,0.62,-0.010000000000000009,0.8998032276565209,0.9543590799346566,0.05455585227813575,100,100,0.01,confidence,0.4896,0.406395,0.5703075,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.465,-0.06999999999999995,0.55,0.62,5,0.05,0.04,0.13,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.4903,0.515,0.03,0.26,0.23,0.03,0.09,-0.18000000000000005,-0.13,-0.050000000000000044,0.3525165475765243,0.3502488816529512,-0.002267665923573081,-0.0007000000000000339,-0.04999999999999999,-0.09999999999999995,0.29000000000000004,0.39,0.020000000000000004,0.04000000000000001
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,0.61,0.62,-0.010000000000000009,0.8998032276565209,0.9543590799346566,0.05455585227813575,100,100,0.01,correctness,0.495,0.42500000000000004,0.56,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.47,-0.06,0.07,0.13,5,0.0,0.0,0.0,0.0,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.52,0.52,0.040000000000000036,0.79,0.75,0.0,0.0,-0.18000000000000005,-0.13,-0.050000000000000044,0.3525165475765243,0.3502488816529512,-0.002267665923573081,-0.025000000000000022,-0.050000000000000044,-0.10000000000000003,-0.72,-0.62,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,4,2026,ibm_kingston,False,full_main_quantum_stack,0.7,0.58,0.12,0.7087518099485897,0.9319423392787576,0.22319052933016792,100,100,0.01,loss,0.5654,0.482,0.6459,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.595,0.19000000000000006,0.54,0.35,5,0.05,0.05,0.09,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.5128999999999999,0.515,0.030000000000000027,0.33,0.3,0.03,0.09,-0.09000000000000008,-0.17000000000000004,0.07999999999999996,0.16146512986859307,0.32783214099705216,0.16636701112845909,0.0525000000000001,0.07999999999999996,0.16000000000000003,0.21000000000000002,0.04999999999999999,0.020000000000000004,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,4,2026,ibm_kingston,False,full_main_quantum_stack,0.7,0.58,0.12,0.7087518099485897,0.9319423392787576,0.22319052933016792,100,100,0.01,confidence,0.5693,0.4904,0.6506025000000001,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.54,0.08000000000000007,0.55,0.47,5,0.03,0.04,0.06,0.09,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.4903,0.515,0.03,0.26,0.23,0.03,0.09,-0.09000000000000008,-0.17000000000000004,0.07999999999999996,0.16146512986859307,0.32783214099705216,0.16636701112845909,0.07900000000000001,0.025000000000000022,0.05000000000000007,0.29000000000000004,0.23999999999999996,0.0,-0.03
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,4,2026,ibm_kingston,False,full_main_quantum_stack,0.7,0.58,0.12,0.7087518099485897,0.9319423392787576,0.22319052933016792,100,100,0.01,correctness,0.56,0.495,0.625,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.5599999999999999,0.12,0.7,0.58,5,0.0,0.0,0.0,0.0,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.52,0.52,0.040000000000000036,0.79,0.75,0.0,0.0,-0.09000000000000008,-0.17000000000000004,0.07999999999999996,0.16146512986859307,0.32783214099705216,0.16636701112845909,0.040000000000000036,0.039999999999999925,0.07999999999999996,-0.09000000000000008,-0.17000000000000004,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,5,2026,ibm_kingston,False,full_main_quantum_stack,0.66,0.63,0.030000000000000027,0.8540590905351564,0.872439688675513,0.01838059814035664,100,100,0.01,loss,0.5246999999999999,0.446195,0.605505,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.54,0.07999999999999999,0.29,0.21,5,0.09,0.05,0.14,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.5128999999999999,0.515,0.030000000000000027,0.33,0.3,0.03,0.09,-0.13,-0.12,-0.010000000000000009,0.3067724104551598,0.2683294903938076,-0.03844292006135219,0.011800000000000033,0.025000000000000022,0.04999999999999996,-0.040000000000000036,-0.09,0.06,0.05000000000000002
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,5,2026,ibm_kingston,False,full_main_quantum_stack,0.66,0.63,0.030000000000000027,0.8540590905351564,0.872439688675513,0.01838059814035664,100,100,0.01,confidence,0.5387000000000001,0.458295,0.6178025,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.505,0.010000000000000009,0.45,0.44,5,0.09,0.05,0.15,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.4903,0.515,0.03,0.26,0.23,0.03,0.09,-0.13,-0.12,-0.010000000000000009,0.3067724104551598,0.2683294903938076,-0.03844292006135219,0.048400000000000054,-0.010000000000000009,-0.01999999999999999,0.19,0.21,0.06,0.06
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,5,2026,ibm_kingston,False,full_main_quantum_stack,0.66,0.63,0.030000000000000027,0.8540590905351564,0.872439688675513,0.01838059814035664,100,100,0.01,correctness,0.515,0.44999999999999996,0.5800000000000001,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.485,-0.030000000000000027,0.51,0.54,5,0.0,0.0,0.0,0.0,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.52,0.52,0.040000000000000036,0.79,0.75,0.0,0.0,-0.13,-0.12,-0.010000000000000009,0.3067724104551598,0.2683294903938076,-0.03844292006135219,-0.0050000000000000044,-0.03500000000000003,-0.07000000000000006,-0.28,-0.20999999999999996,0.0,0.0
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,6,2026,ibm_kingston,False,full_main_quantum_stack,0.65,0.74,-0.08999999999999997,0.839831227872055,0.6801905159302987,-0.15964071194175633,100,100,0.01,loss,0.45999999999999996,0.37820000000000004,0.5409124999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.52,0.04000000000000001,0.14,0.1,5,0.08,0.05,0.18,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.5128999999999999,0.515,0.030000000000000027,0.33,0.3,0.03,0.09,-0.14,-0.010000000000000009,-0.13,0.2925445477920584,0.07608031764859324,-0.21646423014346516,-0.05289999999999995,0.0050000000000000044,0.009999999999999981,-0.19,-0.19999999999999998,0.05,0.09
multiseed_factorial,MNIST,QNN,eff_su2,1,2,6,43,43,eff_su2_r1_d2,low_risk_anchor,eff_su2_repetition_d2,1,0.865,0.71,0.155,predeclared_from_existing_noiseless_sweep_before_noisy_outcomes,MNIST_QNN_eff_su2_r1_d2_s43,ideal_shot,128,6,2026,ibm_kingston,False,full_main_quantum_stack,0.65,0.74,-0.08999999999999997,0.839831227872055,0.6801905159302987,-0.15964071194175633,100,100,0.01,confidence,0.5099,0.42839,0.5912999999999999,5000,95% stratified percentile bootstrap over member/nonmember records,records_within_fixed_target_condition,5000,0.505,0.010000000000000009,0.32,0.31,5,0.08,0.05,0.19,0.1,0.79,0.75,0.040000000000000036,0.5472866800799966,0.6041101982817054,0.056823518201708834,0.4903,0.515,0.03,0.26,0.23,0.03,0.09,-0.14,-0.010000000000000009,-0.13,0.2925445477920584,0.07608031764859324,-0.21646423014346516,0.019600000000000006,-0.010000000000000009,-0.01999999999999999,0.06,0.07999999999999999,0.05,0.1
