fpr,tpr,threshold
0.0,0.0,inf
0.0,0.025,0.62108546
0.05,0.025,0.619408
0.05,0.05,0.6163587
0.1,0.05,0.6132545
0.1,0.075,0.61168283
0.125,0.075,0.6110982
0.125,0.2,0.5566117
0.15,0.2,0.5527851
0.15,0.25,0.5523142
0.225,0.25,0.5481766
0.225,0.275,0.54638857
0.3,0.275,0.5423629
0.3,0.45,0.5367116
0.325,0.45,0.5365021
0.325,0.475,0.5360139
0.35,0.475,0.53493243
0.35,0.55,0.5318786
0.4,0.55,0.5306798
0.4,0.6,0.5297278
0.45,0.6,0.52949643
0.45,0.625,0.5292895
0.525,0.625,0.5288457
0.525,0.7,0.5288074
0.575,0.7,0.5268895
0.575,0.725,0.5266501
0.65,0.725,0.5250866
0.65,0.775,0.5206544
0.75,0.775,0.5180947
0.75,0.825,0.51706797
0.775,0.825,0.51699424
0.775,0.925,0.4113647
0.8,0.925,0.3566468
0.8,0.95,0.28504434
0.825,0.95,0.2805652
0.825,0.975,0.27849397
0.9,0.975,0.24803077
0.9,1.0,0.23104249
1.0,1.0,0.2004588
