source_label,pair_id,z_run_id,zz_run_id,n_wires,depth,reps,pad_mode,ql_ent,ql_op,ql_rev,z_train,zz_train,z_test,zz_test,z_gap,zz_gap,delta_train_abs,delta_test_abs,delta_gap_abs,mean_test_acc,mean_gap
Blobs_QNN,Blobs_QNN_z20051_zz20052,20051,20052,4,5,4,repeatlast,full,cx,False,1.0,1.0,0.58,0.58,0.42000000000000004,0.42000000000000004,0.0,0.0,0.0,0.58,0.42000000000000004
Blobs_QNN,Blobs_QNN_z20061_zz20062,20061,20062,4,5,4,zero,full,cx,False,1.0,1.0,0.58,0.58,0.42000000000000004,0.42000000000000004,0.0,0.0,0.0,0.58,0.42000000000000004
Blobs_QNN,Blobs_QNN_z3871_zz3872,3871,3872,4,2,5,wrap,linear,crz,False,0.84,0.84,0.56,0.56,0.2799999999999999,0.2799999999999999,0.0,0.0,0.0,0.56,0.2799999999999999
Blobs_QNN,Blobs_QNN_z3881_zz3882,3881,3882,4,2,5,repeatlast,linear,crz,False,0.84,0.84,0.56,0.56,0.2799999999999999,0.2799999999999999,0.0,0.0,0.0,0.56,0.2799999999999999
Blobs_QNN,Blobs_QNN_z3891_zz3892,3891,3892,4,2,5,zero,linear,crz,False,0.84,0.84,0.56,0.56,0.2799999999999999,0.2799999999999999,0.0,0.0,0.0,0.56,0.2799999999999999
Blobs_QNN,Blobs_QNN_z11191_zz11192,11191,11192,4,6,4,wrap,pairwise,cx,False,1.0,1.0,0.56,0.56,0.43999999999999995,0.43999999999999995,0.0,0.0,0.0,0.56,0.43999999999999995
Blobs_QNN,Blobs_QNN_z11201_zz11202,11201,11202,4,6,4,repeatlast,pairwise,cx,False,1.0,1.0,0.56,0.56,0.43999999999999995,0.43999999999999995,0.0,0.0,0.0,0.56,0.43999999999999995
Blobs_QNN,Blobs_QNN_z11211_zz11212,11211,11212,4,6,4,zero,pairwise,cx,False,1.0,1.0,0.56,0.56,0.43999999999999995,0.43999999999999995,0.0,0.0,0.0,0.56,0.43999999999999995
Blobs_QNN,Blobs_QNN_z22471_zz22472,22471,22472,4,6,5,wrap,full,crz,False,1.0,1.0,0.54,0.54,0.45999999999999996,0.45999999999999996,0.0,0.0,0.0,0.54,0.45999999999999996
Blobs_QNN,Blobs_QNN_z22481_zz22482,22481,22482,4,6,5,repeatlast,full,crz,False,1.0,1.0,0.54,0.54,0.45999999999999996,0.45999999999999996,0.0,0.0,0.0,0.54,0.45999999999999996
Blobs_QNN,Blobs_QNN_z22491_zz22492,22491,22492,4,6,5,zero,full,crz,False,1.0,1.0,0.54,0.54,0.45999999999999996,0.45999999999999996,0.0,0.0,0.0,0.54,0.45999999999999996
Blobs_QNN,Blobs_QNN_z6811_zz6812,6811,6812,2,2,3,wrap,linear,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z6821_zz6822,6821,6822,2,2,3,repeatlast,linear,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z6831_zz6832,6831,6832,2,2,3,zero,linear,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z15811_zz15812,15811,15812,2,2,3,wrap,pairwise,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z15821_zz15822,15821,15822,2,2,3,repeatlast,pairwise,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z15831_zz15832,15831,15832,2,2,3,zero,pairwise,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z24811_zz24812,24811,24812,2,2,3,wrap,full,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z24821_zz24822,24821,24822,2,2,3,repeatlast,full,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z24831_zz24832,24831,24832,2,2,3,zero,full,swap,False,0.68,0.68,0.52,0.52,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.52,0.16000000000000003
Blobs_QNN,Blobs_QNN_z1281_zz1282,1281,1282,3,5,3,zero,linear,cx,False,0.92,0.92,0.5,0.5,0.42000000000000004,0.42000000000000004,0.0,0.0,0.0,0.5,0.42000000000000004
Blobs_QNN,Blobs_QNN_z10281_zz10282,10281,10282,3,5,3,zero,pairwise,cx,False,0.92,0.92,0.5,0.5,0.42000000000000004,0.42000000000000004,0.0,0.0,0.0,0.5,0.42000000000000004
Circles_QNN,Circles_QNN_z7351_zz7352,7351,7352,2,6,1,wrap,linear,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z7361_zz7362,7361,7362,2,6,1,repeatlast,linear,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z7371_zz7372,7371,7372,2,6,1,zero,linear,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z7981_zz7982,7981,7982,3,5,2,wrap,linear,swap,False,0.82,0.82,0.76,0.76,0.05999999999999994,0.05999999999999994,0.0,0.0,0.0,0.76,0.05999999999999994
Circles_QNN,Circles_QNN_z16351_zz16352,16351,16352,2,6,1,wrap,pairwise,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z16361_zz16362,16361,16362,2,6,1,repeatlast,pairwise,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z16371_zz16372,16371,16372,2,6,1,zero,pairwise,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z16981_zz16982,16981,16982,3,5,2,wrap,pairwise,swap,False,0.82,0.82,0.76,0.76,0.05999999999999994,0.05999999999999994,0.0,0.0,0.0,0.76,0.05999999999999994
Circles_QNN,Circles_QNN_z25351_zz25352,25351,25352,2,6,1,wrap,full,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z25361_zz25362,25361,25362,2,6,1,repeatlast,full,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z25371_zz25372,25371,25372,2,6,1,zero,full,swap,False,0.78,0.78,0.76,0.76,0.020000000000000018,0.020000000000000018,0.0,0.0,0.0,0.76,0.020000000000000018
Circles_QNN,Circles_QNN_z25981_zz25982,25981,25982,3,5,2,wrap,full,swap,False,0.82,0.82,0.76,0.76,0.05999999999999994,0.05999999999999994,0.0,0.0,0.0,0.76,0.05999999999999994
Circles_QNN,Circles_QNN_z5721_zz5722,5721,5722,3,5,1,zero,linear,rzz,False,0.86,0.86,0.75,0.75,0.10999999999999999,0.10999999999999999,0.0,0.0,0.0,0.75,0.10999999999999999
Circles_QNN,Circles_QNN_z7671_zz7672,7671,7672,3,3,1,zero,linear,swap,False,0.79,0.79,0.75,0.75,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.75,0.040000000000000036
Circles_QNN,Circles_QNN_z7971_zz7972,7971,7972,3,5,1,zero,linear,swap,False,0.78,0.78,0.75,0.75,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.75,0.030000000000000027
Circles_QNN,Circles_QNN_z8411_zz8412,8411,8412,4,3,1,repeatlast,linear,swap,False,0.78,0.78,0.75,0.75,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.75,0.030000000000000027
Circles_QNN,Circles_QNN_z14721_zz14722,14721,14722,3,5,1,zero,pairwise,rzz,False,0.86,0.86,0.75,0.75,0.10999999999999999,0.10999999999999999,0.0,0.0,0.0,0.75,0.10999999999999999
Circles_QNN,Circles_QNN_z16671_zz16672,16671,16672,3,3,1,zero,pairwise,swap,False,0.79,0.79,0.75,0.75,0.040000000000000036,0.040000000000000036,0.0,0.0,0.0,0.75,0.040000000000000036
Circles_QNN,Circles_QNN_z16971_zz16972,16971,16972,3,5,1,zero,pairwise,swap,False,0.78,0.78,0.75,0.75,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.75,0.030000000000000027
Circles_QNN,Circles_QNN_z17871_zz17872,17871,17872,4,6,1,zero,pairwise,swap,False,0.78,0.78,0.75,0.75,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.75,0.030000000000000027
Circles_QNN,Circles_QNN_z26261_zz26262,26261,26262,4,2,1,repeatlast,full,swap,False,0.78,0.78,0.75,0.75,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.75,0.030000000000000027
Circles_QNN,Circles_QNN_z1671_zz1672,1671,1672,4,3,1,zero,linear,cx,False,0.86,0.86,0.74,0.74,0.12,0.12,0.0,0.0,0.0,0.74,0.12
Circles_QNN,Circles_QNN_z12911_zz12912,12911,12912,4,3,1,repeatlast,pairwise,crz,False,0.86,0.86,0.74,0.74,0.12,0.12,0.0,0.0,0.0,0.74,0.12
Circles_QNN,Circles_QNN_z19971_zz19972,19971,19972,4,5,1,zero,full,cx,False,0.86,0.86,0.74,0.74,0.12,0.12,0.0,0.0,0.0,0.74,0.12
Circles_QNN,Circles_QNN_z1361_zz1362,1361,1362,3,6,1,repeatlast,linear,cx,False,0.85,0.85,0.73,0.73,0.12,0.12,0.0,0.0,0.0,0.73,0.12
Circles_QNN,Circles_QNN_z3751_zz3752,3751,3752,4,2,1,wrap,linear,crz,False,0.86,0.86,0.73,0.73,0.13,0.13,0.0,0.0,0.0,0.73,0.13
Circles_QNN,Circles_QNN_z10361_zz10362,10361,10362,3,6,1,repeatlast,pairwise,cx,False,0.85,0.85,0.73,0.73,0.12,0.12,0.0,0.0,0.0,0.73,0.12
Circles_QNN,Circles_QNN_z21641_zz21642,21641,21642,3,6,2,repeatlast,full,crz,False,0.86,0.86,0.73,0.73,0.13,0.13,0.0,0.0,0.0,0.73,0.13
Circles_QNN,Circles_QNN_z24381_zz24382,24381,24382,4,4,3,zero,full,rzz,False,0.85,0.85,0.73,0.73,0.12,0.12,0.0,0.0,0.0,0.73,0.12
Circles_QNN,Circles_QNN_z781_zz782,781,782,3,2,2,wrap,linear,cx,False,0.88,0.88,0.72,0.72,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.72,0.16000000000000003
Circles_QNN,Circles_QNN_z3301_zz3302,3301,3302,3,4,1,wrap,linear,crz,False,0.85,0.85,0.72,0.72,0.13,0.13,0.0,0.0,0.0,0.72,0.13
Circles_QNN,Circles_QNN_z5741_zz5742,5741,5742,3,5,2,repeatlast,linear,rzz,False,0.87,0.87,0.72,0.72,0.15000000000000002,0.15000000000000002,0.0,0.0,0.0,0.72,0.15000000000000002
Circles_QNN,Circles_QNN_z9781_zz9782,9781,9782,3,2,2,wrap,pairwise,cx,False,0.88,0.88,0.72,0.72,0.16000000000000003,0.16000000000000003,0.0,0.0,0.0,0.72,0.16000000000000003
Circles_QNN,Circles_QNN_z12301_zz12302,12301,12302,3,4,1,wrap,pairwise,crz,False,0.85,0.85,0.72,0.72,0.13,0.13,0.0,0.0,0.0,0.72,0.13
