source_label,comparison,feature_maps,n_exact_pairs,mean_delta_gap,ci95_low,ci95_high,fraction_positive,median_delta_gap
Moons_QNN,reps:1->5,"z,zz",4320,0.1545925925925926,0.15134224537037036,0.15778310185185182,0.8530092592592593,0.18000000000000005
Moons_QNN,depth:2->6,"z,zz",4320,0.015800925925925916,0.014171180555555545,0.01746782407407406,0.500462962962963,1.1102230246251565e-16
Blobs_QNN,reps:1->5,"z,zz",2160,0.15887037037037036,0.15453703703703703,0.1631949074074074,0.9231481481481482,0.15999999999999992
Blobs_QNN,depth:2->6,"z,zz",2160,0.04829629629629629,0.04437939814814814,0.05221296296296295,0.6287037037037037,0.020000000000000018
Circles_QNN,reps:1->5,"z,zz",2160,0.022212962962962962,0.019893287037037036,0.02460185185185185,0.5560185185185185,0.010000000000000009
Circles_QNN,depth:2->6,"z,zz",2160,0.012851851851851849,0.011259259259259259,0.014398263888888886,0.5486111111111112,0.010000000000000009
MNIST_QNN,reps:1->5,"z,zz",288,0.0673263888888889,0.058645399305555554,0.07586979166666664,0.7847222222222222,0.05499999999999999
MNIST_QNN,depth:2->6,"z,zz",480,0.14405208333333336,0.13379140625,0.15419817708333333,0.83125,0.1475
